Sample ID	Score	Activity
NCGC00260691	0.20753	0
NCGC00260692	0.09917	0
NCGC00260693	0.12157	0
NCGC00260696	0.40342	0
NCGC00260698	0.41963	0
NCGC00260703	0.09774	0
NCGC00260706	0.19429	0
NCGC00260707	0.19142	0
NCGC00260708	0.07793	0
NCGC00260713	0.53615	1
NCGC00260716	0.11540	0
NCGC00260728	0.07971	0
NCGC00260731	0.40035	0
NCGC00260742	0.43140	0
NCGC00260743	0.11146	0
NCGC00260751	0.05982	0
NCGC00260757	0.10723	0
NCGC00260770	0.08051	0
NCGC00260775	0.09540	0
NCGC00260782	0.15725	0
NCGC00260785	0.64811	1
NCGC00260789	0.28927	0
NCGC00260790	0.30899	0
NCGC00260795	0.76261	1
NCGC00260798	0.44054	0
NCGC00260802	0.14314	0
NCGC00260803	0.59768	1
NCGC00260811	0.13293	0
NCGC00260815	0.35469	0
NCGC00260817	0.09489	0
NCGC00260821	0.27225	0
NCGC00260822	0.60761	1
NCGC00260823	0.21224	0
NCGC00260826	0.14866	0
NCGC00260830	0.42539	0
NCGC00260831	0.51448	1
NCGC00260833	0.65738	1
NCGC00260834	0.60955	1
NCGC00260840	0.62328	1
NCGC00260846	0.20663	0
NCGC00260850	0.29014	0
NCGC00260852	0.21259	0
NCGC00260858	0.52625	1
NCGC00260866	0.29207	0
NCGC00260867	0.08480	0
NCGC00260869	0.49898	0
NCGC00260871	0.43134	0
NCGC00260875	0.34972	0
NCGC00260876	0.08723	0
NCGC00260881	0.12235	0
NCGC00260889	0.10820	0
NCGC00260890	0.16934	0
NCGC00260892	0.17699	0
NCGC00260910	0.28556	0
NCGC00260911	0.24569	0
NCGC00260921	0.39640	0
NCGC00260940	0.42698	0
NCGC00260947	0.72703	1
NCGC00260948	0.08307	0
NCGC00260957	0.58230	1
NCGC00260962	0.36195	0
NCGC00260972	0.30828	0
NCGC00260979	0.53994	1
NCGC00260980	0.49214	0
NCGC00260982	0.12510	0
NCGC00260990	0.51714	1
NCGC00260993	0.55206	1
NCGC00261003	0.46655	0
NCGC00261005	0.10753	0
NCGC00261007	0.09168	0
NCGC00261008	0.56082	1
NCGC00261009	0.50065	1
NCGC00261013	0.23987	0
NCGC00261018	0.13915	0
NCGC00261019	0.18642	0
NCGC00261025	0.14850	0
NCGC00261026	0.53853	1
NCGC00261028	0.18695	0
NCGC00261030	0.23639	0
NCGC00261037	0.22653	0
NCGC00261049	0.46149	0
NCGC00261052	0.26654	0
NCGC00261053	0.02664	0
NCGC00261057	0.16944	0
NCGC00261058	0.42225	0
NCGC00261060	0.14072	0
NCGC00261065	0.63112	1
NCGC00261071	0.55401	1
NCGC00261075	0.12901	0
NCGC00261076	0.17656	0
NCGC00261079	0.08248	0
NCGC00261080	0.59461	1
NCGC00261081	0.41540	0
NCGC00261085	0.04893	0
NCGC00261101	0.44040	0
NCGC00261108	0.38630	0
NCGC00261110	0.19547	0
NCGC00261113	0.28262	0
NCGC00261119	0.26673	0
NCGC00261123	0.60533	1
NCGC00261129	0.03360	0
NCGC00261130	0.24337	0
NCGC00261133	0.26763	0
NCGC00261141	0.21782	0
NCGC00261142	0.65714	1
NCGC00261146	0.11678	0
NCGC00261147	0.66746	1
NCGC00261150	0.11843	0
NCGC00261153	0.25841	0
NCGC00261155	0.48549	0
NCGC00261160	0.51508	1
NCGC00261161	0.15612	0
NCGC00261162	0.24820	0
NCGC00261163	0.53480	1
NCGC00261165	0.24391	0
NCGC00261166	0.54808	1
NCGC00261169	0.25560	0
NCGC00261170	0.42150	0
NCGC00261176	0.06668	0
NCGC00261177	0.16072	0
NCGC00261178	0.43249	0
NCGC00261183	0.31262	0
NCGC00261189	0.39401	0
NCGC00261190	0.40327	0
NCGC00261192	0.43191	0
NCGC00261201	0.35749	0
NCGC00261215	0.36318	0
NCGC00261238	0.09119	0
NCGC00261246	0.14750	0
NCGC00261248	0.13659	0
NCGC00261254	0.09551	0
NCGC00261260	0.56560	1
NCGC00261261	0.09931	0
NCGC00261270	0.22679	0
NCGC00261272	0.36526	0
NCGC00261286	0.31428	0
NCGC00261290	0.34320	0
NCGC00261293	0.14442	0
NCGC00261294	0.24676	0
NCGC00261297	0.26677	0
NCGC00261304	0.46462	0
NCGC00261313	0.24079	0
NCGC00261321	0.44156	0
NCGC00261327	0.13540	0
NCGC00261330	0.14747	0
NCGC00261332	0.62419	1
NCGC00261333	0.42977	0
NCGC00261336	0.18526	0
NCGC00261340	0.18406	0
NCGC00261342	0.19168	0
NCGC00261343	0.29311	0
NCGC00261348	0.09950	0
NCGC00261349	0.27636	0
NCGC00261352	0.64000	1
NCGC00261364	0.15354	0
NCGC00261367	0.18036	0
NCGC00261380	0.39023	0
NCGC00261381	0.52158	1
NCGC00261382	0.63557	1
NCGC00261384	0.36009	0
NCGC00261389	0.53198	1
NCGC00261390	0.08870	0
NCGC00261392	0.34738	0
NCGC00261395	0.46038	0
NCGC00261398	0.52537	1
NCGC00261399	0.58848	1
NCGC00261404	0.20914	0
NCGC00261406	0.22649	0
NCGC00261420	0.44049	0
NCGC00261423	0.26350	0
NCGC00261424	0.22941	0
NCGC00261426	0.49859	0
NCGC00261440	0.07593	0
NCGC00261441	0.51923	1
NCGC00261446	0.37338	0
NCGC00261470	0.14494	0
NCGC00261473	0.16844	0
NCGC00261474	0.16967	0
NCGC00261475	0.44379	0
NCGC00261480	0.26061	0
NCGC00261487	0.35439	0
NCGC00261503	0.18996	0
NCGC00261506	0.51270	1
NCGC00261507	0.16023	0
NCGC00261510	0.32553	0
NCGC00261519	0.03498	0
NCGC00261529	0.42262	0
NCGC00261541	0.15541	0
NCGC00261542	0.38590	0
NCGC00261544	0.30548	0
NCGC00261545	0.33606	0
NCGC00261554	0.28982	0
NCGC00261563	0.58748	1
NCGC00261565	0.41962	0
NCGC00261568	0.40323	0
NCGC00261577	0.36820	0
NCGC00261578	0.34101	0
NCGC00261579	0.27901	0
NCGC00261582	0.24560	0
NCGC00261583	0.35383	0
NCGC00261593	0.33547	0
NCGC00261597	0.34196	0
NCGC00261598	0.08325	0
NCGC00261601	0.35889	0
NCGC00261602	0.28714	0
NCGC00261607	0.23925	0
NCGC00261611	0.36714	0
NCGC00261619	0.65899	1
NCGC00261620	0.30115	0
NCGC00261624	0.13464	0
NCGC00261627	0.30159	0
NCGC00261633	0.24175	0
NCGC00261638	0.22876	0
NCGC00261639	0.19711	0
NCGC00261641	0.35129	0
NCGC00261643	0.58557	1
NCGC00261649	0.10405	0
NCGC00261653	0.33144	0
NCGC00261657	0.01818	0
NCGC00261662	0.46463	0
NCGC00261663	0.46276	0
NCGC00261672	0.11948	0
NCGC00261679	0.35991	0
NCGC00261682	0.38574	0
NCGC00261683	0.42451	0
NCGC00261686	0.27339	0
NCGC00261691	0.18961	0
NCGC00261693	0.60919	1
NCGC00261704	0.29387	0
NCGC00261713	0.47956	0
NCGC00261716	0.14866	0
NCGC00261717	0.49075	0
NCGC00261718	0.09822	0
NCGC00261730	0.27444	0
NCGC00261732	0.03224	0
NCGC00261737	0.59849	1
NCGC00261738	0.10554	0
NCGC00261739	0.57486	1
NCGC00261744	0.17619	0
NCGC00261752	0.30716	0
NCGC00261764	0.64748	1
NCGC00261767	0.14686	0
NCGC00261776	0.49011	0
NCGC00261782	0.55347	1
NCGC00261787	0.38469	0
NCGC00261802	0.70256	1
NCGC00261804	0.49884	0
NCGC00261808	0.22438	0
NCGC00261812	0.51517	1
NCGC00261813	0.35391	0
NCGC00261816	0.16818	0
NCGC00261817	0.17256	0
NCGC00261820	0.17364	0
NCGC00261824	0.23965	0
NCGC00261825	0.38548	0
NCGC00261826	0.35918	0
NCGC00261828	0.29749	0
NCGC00261833	0.52802	1
NCGC00261835	0.29046	0
NCGC00261838	0.25978	0
NCGC00261840	0.39433	0
NCGC00261842	0.53267	1
NCGC00261853	0.53474	1
NCGC00261856	0.33790	0
NCGC00261860	0.53131	1
NCGC00261861	0.66635	1
NCGC00261866	0.10642	0
NCGC00261869	0.12521	0
NCGC00261873	0.58365	1
NCGC00261877	0.30619	0
NCGC00261882	0.50703	1
NCGC00261900	0.41315	0
NCGC00261903	0.41417	0
NCGC00261906	0.38302	0
NCGC00261910	0.56534	1
NCGC00261913	0.07155	0
NCGC00261914	0.27283	0
NCGC00261915	0.52773	1
NCGC00261916	0.50981	1
NCGC00261921	0.11972	0
NCGC00261924	0.68761	1
NCGC00261926	0.36590	0
NCGC00261933	0.47434	0
NCGC00261935	0.23519	0
NCGC00261939	0.49120	0
NCGC00261941	0.32443	0
NCGC00261944	0.55153	1
NCGC00261947	0.52303	1
NCGC00261948	0.60143	1
NCGC00261949	0.13754	0
NCGC00261958	0.28177	0
NCGC00356938	0.11411	0
NCGC00356939	0.17054	0
NCGC00356940	0.29567	0
NCGC00356941	0.23701	0
NCGC00356942	0.32309	0
NCGC00356943	0.55368	1
NCGC00356944	0.03281	0
NCGC00356945	0.02829	0
NCGC00356946	0.34551	0
NCGC00356947	0.14730	0
NCGC00356948	0.30294	0
NCGC00356949	0.26484	0
NCGC00356950	0.15059	0
NCGC00356951	0.04790	0
NCGC00356952	0.18086	0
NCGC00356953	0.33195	0
NCGC00356954	0.04394	0
NCGC00356955	0.35849	0
NCGC00356956	0.49001	0
NCGC00356957	0.62824	1
NCGC00356958	0.24044	0
NCGC00356959	0.25148	0
NCGC00356960	0.20919	0
NCGC00356961	0.26668	0
NCGC00356962	0.38016	0
NCGC00356963	0.13182	0
NCGC00356964	0.07392	0
NCGC00356965	0.16732	0
NCGC00356966	0.04307	0
NCGC00356967	0.06823	0
NCGC00356968	0.34724	0
NCGC00356969	0.06692	0
NCGC00356970	0.26490	0
NCGC00356971	0.14618	0
NCGC00356972	0.14729	0
NCGC00356973	0.06003	0
NCGC00356974	0.18288	0
NCGC00356975	0.21017	0
NCGC00356976	0.36809	0
NCGC00356977	0.17527	0
NCGC00356978	0.25120	0
NCGC00356979	0.05141	0
NCGC00356980	0.09257	0
NCGC00356981	0.06920	0
NCGC00356982	0.32414	0
NCGC00356983	0.19042	0
NCGC00356985	0.12870	0
NCGC00356986	0.42281	0
NCGC00356987	0.46192	0
NCGC00356988	0.56052	1
NCGC00356989	0.35996	0
NCGC00356990	0.30811	0
NCGC00356991	0.14119	0
NCGC00356992	0.69519	1
NCGC00356993	0.42233	0
NCGC00356994	0.24064	0
NCGC00356995	0.39928	0
NCGC00356996	0.03538	0
