Sample ID	Score	Activity
NCGC00261900-01	0.0857	0
NCGC00260869-01	0.05067	0
NCGC00261776-01	0.08067	0
NCGC00261380-01	0.02667	0
NCGC00261842-01	0.08	0
NCGC00261662-01	0.05322	0
NCGC00261190-01	0.034	0
NCGC00260731-01	0.03968	0
NCGC00261926-01	0.06857	0
NCGC00261579-01	0.034	0
NCGC00260921-01	0.02133	0
NCGC00261119-01	0.01013	0
NCGC00260957-01	0.06044	0
NCGC00261812-01	0.07254	0
NCGC00260831-01	0.08856	0
NCGC00261544-01	0.02533	0
NCGC00261619-01	0.034	0
NCGC00261633-01	0.03994	0
NCGC00261395-01	0.08603	0
NCGC00261717-01	0.08261	0
NCGC00261947-01	0.10272	0
NCGC00261424-01	0.03621	0
NCGC00261861-01	0.04225	0
NCGC00261924-01	0.04947	0
NCGC00261052-01	0.0665	0
NCGC00261683-01	0.05111	0
NCGC00261026-01	0.11344	0
NCGC00261057-01	0.03165	0
NCGC00261738-01	0.02311	0
NCGC00261348-01	0.0181	0
NCGC00261503-01	0.03733	0
NCGC00260693-01	0.01967	0
NCGC00260703-01	0.01033	0
NCGC00260716-01	0.00133	0
NCGC00260782-01	0.06144	0
NCGC00260802-01	0.01	0
NCGC00260823-01	0.00889	0
NCGC00261313-01	0.18579	0
NCGC00260757-01	0.00667	0
NCGC00260826-01	0.00722	0
NCGC00261005-01	0.00733	0
NCGC00260980-01	0.06082	0
NCGC00261816-01	0.04354	0
NCGC00260698-01	0.04554	0
NCGC00260889-01	0.049	0
NCGC00260811-01	0.01267	0
NCGC00261165-01	0.06489	0
NCGC00261060-01	0.01216	0
NCGC00261541-01	0.0118	0
NCGC00261649-01	0.00644	0
NCGC00261110-01	0.04067	0
NCGC00261130-01	0.04802	0
NCGC00260846-01	0.044	0
NCGC00261030-01	0.00422	0
NCGC00261162-01	0.0045	0
NCGC00261058-01	0.05867	0
NCGC00261404-01	0.03867	0
NCGC00261423-01	0.04703	0
NCGC00261856-01	0.01533	0
NCGC00261342-01	0.04678	0
NCGC00261935-01	0.02244	0
NCGC00261069-01	0.017	0
NCGC00261101-01	0.04833	0
NCGC00261183-01	0.03067	0
NCGC00261716-01	0.04324	0
NCGC00260742-01	0.07606	0
NCGC00261529-01	0.02716	0
NCGC00261170-01	0.02267	0
NCGC00261565-01	0.04658	0
NCGC00260990-01	0.09822	0
NCGC00261340-01	0.02367	0
NCGC00261079-01	0.03522	0
NCGC00261389-01	0.08887	0
NCGC00261744-01	0.02993	0
NCGC00261420-01	0.02981	0
NCGC00261215-01	0.09114	0
NCGC00261826-01	0.04987	0
NCGC00260706-01	0.01933	0
NCGC00261123-01	0.05258	0
NCGC00261367-01	0.03022	0
NCGC00261507-01	0.03	0
NCGC00261169-01	0.05557	0
NCGC00261730-01	0.01267	0
NCGC00261624-01	0.01667	0
NCGC00261641-01	0.03133	0
NCGC00261853-01	0.0535	0
NCGC00260911-01	0.05799	0
NCGC00260798-01	0.06833	0
NCGC00261384-01	0.06156	0
NCGC00260785-01	0.14006	0
NCGC00261597-01	0.0394	0
NCGC00261025-01	0.009	0
NCGC00260789-01	0.01489	0
NCGC00260866-01	0.03867	0
NCGC00261189-01	0.02733	0
NCGC00261270-01	0.03036	0
NCGC00261611-01	0.05709	0
NCGC00261160-01	0.03861	0
NCGC00261085-01	0.00733	0
NCGC00261817-01	0.02103	0
NCGC00261866-01	0.014	0
NCGC00260852-01	0.03211	0
NCGC00261290-01	0.05267	0
NCGC00261304-01	0.08167	0
NCGC00261704-01	0.02879	0
NCGC00260850-01	0.02217	0
NCGC00260972-01	0.0351	0
NCGC00261364-01	0.01511	0
NCGC00261392-01	0.03933	0
NCGC00261638-01	0.05	0
NCGC00261820-01	0.056	0
NCGC00261808-01	0.05357	0
NCGC00260790-01	0.02364	0
NCGC00260940-01	0.0201	0
NCGC00261081-01	0.0566	0
NCGC00261506-01	0.08314	0
NCGC00261133-01	0.03139	0
NCGC00261399-01	0.11878	0
NCGC00260696-01	0.01733	0
NCGC00261903-01	0.02711	0
NCGC00261178-01	0.06633	0
NCGC00261568-01	0.05	0
NCGC00260830-01	0.044	0
NCGC00261113-01	0.016	0
NCGC00261327-01	0.02439	0
NCGC00261602-01	0.04564	0
NCGC00260858-01	0.06	0
NCGC00261071-01	0.08283	0
NCGC00261076-01	0.0385	0
NCGC00261192-01	0.0849	0
NCGC00261495-01	0.078	0
NCGC00261577-01	0.03682	0
NCGC00261510-01	0.04933	0
NCGC00261679-01	0.01622	0
NCGC00261941-01	0.04533	0
NCGC00261343-01	0.019	0
NCGC00261607-01	0.04933	0
NCGC00261782-01	0.07953	0
NCGC00261914-01	0.03413	0
NCGC00261475-01	0.06219	0
NCGC00261764-01	0.0697	0
NCGC00261802-01	0.10261	0
NCGC00261813-01	0.08717	0
NCGC00260795-01	0.53414	1
NCGC00261352-01	0.0725	0
NCGC00261009-01	0.04156	0
NCGC00261944-01	0.05517	0
NCGC00261166-01	0.06553	0
NCGC00261332-01	0.08757	0
NCGC00261333-01	0.07247	0
NCGC00261260-01	0.06767	0
NCGC00261915-01	0.06604	0
NCGC00261238-01	0.012	0
NCGC00261682-01	0.05328	0
NCGC00261049-01	0.05857	0
NCGC00260910-01	0.06524	0
NCGC00261272-01	0.04415	0
NCGC00260708-01	0.01467	0
NCGC00261390-01	0.076	0
NCGC00260948-01	0.00889	0
NCGC00261840-01	0.66319	1
NCGC00260881-01	0.00577	0
NCGC00261153-01	0.05629	0
NCGC00261406-01	0.00378	0
NCGC00261053-01	0.01133	0
NCGC00261129-01	0.01467	0
NCGC00261381-01	0.09533	0
NCGC00261426-01	0.0665	0
NCGC00260979-01	0.13667	0
NCGC00260993-01	0.26	0
NCGC00261108-01	0.03167	0
NCGC00261441-01	0.0798	0
NCGC00261877-01	0.01656	0
NCGC00260815-01	0.04733	0
NCGC00261542-01	0.02111	0
NCGC00261958-01	0.01711	0
NCGC00261787-01	0.03022	0
NCGC00261065-01	0.08672	0
NCGC00261804-01	0.06126	0
NCGC00260875-01	0.04727	0
NCGC00261451-01	0.00227	0
NCGC00261739-01	0.08017	0
NCGC00261948-01	0.15737	0
NCGC00261382-01	0.14805	0
NCGC00261663-01	0.07562	0
NCGC00260892-01	0.04667	0
NCGC00261297-01	0.03923	0
NCGC00261321-01	0.03378	0
NCGC00261446-01	0.05098	0
NCGC00261474-01	0.00733	0
NCGC00260834-01	0.12312	0
NCGC00260840-01	0.30128	0
NCGC00260947-01	0.06544	0
NCGC00261080-01	0.06347	0
NCGC00261563-01	0.17939	0
NCGC00261873-01	0.12098	0
NCGC00260803-01	0.1767	0
NCGC00260833-01	0.30256	0
NCGC00261008-01	0.17678	0
NCGC00261155-01	0.07743	0
NCGC00261643-01	0.19833	0
NCGC00261037-01	0.02327	0
NCGC00261126-01	0.126	0
NCGC00260871-01	0.03946	0
NCGC00260713-01	0.05317	0
NCGC00261487-01	0.02117	0
NCGC00261545-01	0.09078	0
NCGC00261480-01	0.02728	0
NCGC00261838-01	0.01528	0
NCGC00261627-01	0.01222	0
NCGC00261639-01	0.04211	0
NCGC00261177-01	0.00333	0
NCGC00260692-01	0.00533	0
NCGC00260775-01	0.00667	0
NCGC00260876-01	0.002	0
NCGC00261598-01	0.0	0
NCGC00260707-01	0.01578	0
NCGC00261554-01	0.01733	0
NCGC00261713-01	0.06394	0
NCGC00261737-01	0.08881	0
NCGC00261882-01	0.0319	0
NCGC00261933-01	0.07544	0
NCGC00261201-01	0.05239	0
NCGC00261398-01	0.07083	0
NCGC00261601-01	0.00667	0
NCGC00261003-01	0.03267	0
NCGC00261019-01	0.008	0
NCGC00261519-01	0.00962	0
NCGC00261732-01	0.00733	0
NCGC00261718-01	0.00804	0
NCGC00260743-01	0.01133	0
NCGC00260751-01	0.00467	0
NCGC00260867-01	0.049	0
NCGC00260982-01	0.00533	0
NCGC00261176-01	0.0	0
NCGC00261289-01	0.002	0
NCGC00261440-01	0.016	0
NCGC00261657-01	0.0	0
NCGC00260822-01	0.03541	0
NCGC00261142-01	0.06546	0
NCGC00261582-01	0.00733	0
NCGC00261825-01	0.04269	0
NCGC00261833-01	0.0355	0
NCGC00261835-01	0.006	0
NCGC00261860-01	0.06333	0
NCGC00261906-01	0.056	0
NCGC00261916-01	0.029	0
NCGC00261939-01	0.02233	0
NCGC00261869-01	0.00533	0
NCGC00261163-01	0.06483	0
NCGC00261653-01	0.02233	0
NCGC00261248-01	0.01233	0
NCGC00260770-01	0.012	0
NCGC00261013-01	0.014	0
NCGC00261910-01	0.038	0
NCGC00261686-01	0.013	0
NCGC00261147-01	0.04738	0
NCGC00261578-01	0.04753	0
NCGC00261336-01	0.008	0
NCGC00261593-01	0.0413	0
NCGC00260821-01	0.00817	0
NCGC00261007-01	0.02533	0
NCGC00261246-01	0.00933	0
NCGC00261949-01	0.00933	0
NCGC00260890-01	0.02822	0
NCGC00261294-01	0.05067	0
NCGC00261330-01	0.01333	0
NCGC00261470-01	0.01369	0
NCGC00260691-01	0.01867	0
NCGC00261693-01	0.04917	0
NCGC00261293-01	0.02875	0
NCGC00261018-01	0.02	0
NCGC00261075-01	0.015	0
NCGC00261150-01	0.01355	0
NCGC00261767-01	0.03634	0
NCGC00261824-01	0.01089	0
NCGC00261146-01	0.00761	0
NCGC00260817-01	0.015	0
NCGC00261161-01	0.01843	0
NCGC00260728-01	0.00133	0
NCGC00261286-01	0.01333	0
NCGC00261254-01	0.035	0
NCGC00261261-01	0.05452	0
NCGC00261691-01	0.03306	0
NCGC00261921-01	0.02	0
NCGC00260962-01	0.024	0
NCGC00261028-01	0.01778	0
NCGC00261349-01	0.01867	0
NCGC00261583-01	0.034	0
NCGC00261672-01	0.01394	0
NCGC00261620-01	0.01487	0
NCGC00261141-01	0.01944	0
NCGC00261752-01	0.04389	0
NCGC00261828-01	0.05078	0
NCGC00261913-01	0.028	0
NCGC00261473-01	0.03156	0
NCGC00356953-01	0.04567	0
NCGC00357009-01	0.006	0
NCGC00357188-01	0.03977	0
NCGC00357201-01	0.57667	1
NCGC00357189-01	0.00317	0
NCGC00357163-01	0.00133	0
NCGC00357001-01	0.05862	0
NCGC00357030-01	0.068	0
NCGC00357123-01	0.01533	0
NCGC00357091-01	0.026	0
NCGC00357004-01	0.0443	0
NCGC00357103-01	0.0	0
NCGC00357289-01	0.06315	0
NCGC00357082-01	0.002	0
NCGC00356999-01	0.01212	0
NCGC00357116-01	0.0	0
NCGC00357010-01	0.02309	0
NCGC00357057-01	0.0316	0
NCGC00357171-01	0.00067	0
NCGC00356964-01	0.02133	0
NCGC00356995-01	0.27267	0
NCGC00357062-01	0	0
NCGC00357205-01	0.00793	0
NCGC00357185-01	0.002	0
NCGC00357028-01	0.00325	0
NCGC00357064-01	0.008	0
NCGC00357196-01	0.01922	0
NCGC00357271-01	0.03758	0
NCGC00357213-01	0.012	0
NCGC00357198-01	0.0	0
NCGC00357079-01	0.01467	0
NCGC00356984-01	0.57667	1
NCGC00357080-01	0.009	0
NCGC00357173-01	0.0	0
NCGC00357277-01	0.01933	0
NCGC00357240-01	0.01	0
NCGC00357145-01	0.00133	0
NCGC00357157-01	0.00046	0
NCGC00357160-01	0.06483	0
NCGC00357107-01	0.004	0
NCGC00357106-01	0.0145	0
NCGC00357047-01	0.002	0
NCGC00357174-01	0.002	0
NCGC00357090-01	0.002	0
NCGC00357204-01	0.00267	0
NCGC00357214-01	0.00133	0
NCGC00357124-01	0.00933	0
NCGC00356983-01	0.00965	0
NCGC00357092-01	0.00017	0
NCGC00357042-01	0.00067	0
NCGC00357036-01	0.0	0
NCGC00357089-01	0.03933	0
NCGC00357170-01	0.08267	0
NCGC00357132-01	0.48593	0
NCGC00357265-01	0.00133	0
NCGC00357260-01	0.00317	0
NCGC00357023-01	0.01426	0
NCGC00357114-01	0.002	0
NCGC00357033-01	0.002	0
NCGC00357120-01	0.01067	0
NCGC00356963-01	0.00867	0
NCGC00357055-01	0.012	0
NCGC00357139-01	0.00133	0
NCGC00357026-01	0	0
NCGC00357242-01	0.015	0
NCGC00357161-01	0.0	0
NCGC00357279-01	0.0	0
NCGC00357288-01	0.12766	0
NCGC00356973-01	0.006	0
NCGC00357143-01	0.002	0
NCGC00357182-01	0.00067	0
NCGC00356971-01	0.00556	0
NCGC00357084-01	0.00217	0
NCGC00357112-01	0.0	0
NCGC00356962-01	0.00067	0
NCGC00356993-01	0.0505	0
NCGC00357284-01	0.07448	0
NCGC00357046-01	0.004	0
NCGC00357000-01	0.03111	0
NCGC00357012-01	0.0365	0
NCGC00356939-01	0.00467	0
NCGC00356955-01	0.01152	0
NCGC00357262-01	0.0195	0
NCGC00356991-01	0.03039	0
NCGC00357203-01	0.02894	0
NCGC00357049-01	0.01133	0
NCGC00357164-01	0.00533	0
NCGC00357073-01	0.00133	0
NCGC00357043-01	0.00267	0
NCGC00357269-01	0.0012	0
NCGC00357266-01	0.00667	0
NCGC00357076-01	0.00187	0
NCGC00357153-01	0.00089	0
NCGC00357138-01	0.0	0
NCGC00357071-01	0.00333	0
NCGC00357274-01	0.012	0
NCGC00356981-01	0.0	0
NCGC00357278-01	0.00567	0
NCGC00357113-01	0.00933	0
NCGC00357218-01	0.00333	0
NCGC00357018-01	0.00067	0
NCGC00357048-01	0.004	0
NCGC00357162-01	0.01133	0
NCGC00356941-01	0.036	0
NCGC00357184-01	0.00067	0
NCGC00357238-01	0.03444	0
NCGC00357220-01	0.02317	0
NCGC00357252-01	0.03467	0
NCGC00357159-01	0.00133	0
NCGC00356947-01	0.01533	0
NCGC00357063-01	0.00267	0
NCGC00356982-01	0.00333	0
NCGC00357219-01	0.00133	0
NCGC00357037-01	0.0	0
NCGC00356975-01	0.00067	0
NCGC00357169-01	0.025	0
NCGC00357022-01	0.006	0
NCGC00357165-01	0.02	0
NCGC00357122-01	0.00967	0
NCGC00357212-01	0.00822	0
NCGC00357263-01	0.00533	0
NCGC00357052-01	0.00267	0
NCGC00356952-01	0.032	0
NCGC00357225-01	0.002	0
NCGC00357105-01	0.00533	0
NCGC00356944-01	0.00067	0
NCGC00356977-01	0.00767	0
NCGC00357053-01	0.00467	0
NCGC00357202-01	0.00133	0
NCGC00357013-01	0.03151	0
NCGC00357131-01	0.00067	0
NCGC00357127-01	0.0	0
NCGC00357147-01	0.00667	0
NCGC00357267-01	0.00067	0
NCGC00356979-01	0.00333	0
NCGC00357179-01	0.00067	0
NCGC00356945-01	0.00733	0
NCGC00357068-01	0.006	0
NCGC00357002-01	0.02142	0
NCGC00356974-01	0.0	0
NCGC00357109-01	0.01983	0
NCGC00356988-01	0.03389	0
NCGC00357117-01	0.03072	0
NCGC00357239-01	0.0	0
NCGC00356961-01	0.00133	0
NCGC00356966-01	0.00267	0
NCGC00356996-01	0.0	0
NCGC00356950-01	0.01033	0
NCGC00356969-01	0.00267	0
NCGC00357050-01	0.01267	0
NCGC00357258-01	0.00933	0
NCGC00357186-01	0.00067	0
NCGC00357115-01	0.00194	0
NCGC00356940-01	0.02278	0
NCGC00357130-01	0.0	0
NCGC00356959-01	0.0	0
NCGC00356985-01	0.0	0
NCGC00357125-01	0.0	0
NCGC00357270-01	0.0005	0
NCGC00357031-01	0.00233	0
NCGC00357137-01	0.00111	0
NCGC00357102-01	0.00267	0
NCGC00357228-01	0.00067	0
NCGC00356965-01	0.006	0
NCGC00357151-01	0.012	0
NCGC00357280-01	0.048	0
NCGC00357097-01	0.004	0
NCGC00357272-01	0.00107	0
NCGC00357229-01	0.00867	0
NCGC00357200-01	0.002	0
NCGC00357273-01	0.006	0
NCGC00357088-01	0.00067	0
NCGC00357101-01	0.00306	0
NCGC00357287-01	0.00022	0
NCGC00357253-01	0.01642	0
NCGC00357177-01	0.02609	0
NCGC00357152-01	0.07733	0
NCGC00357140-01	0.00083	0
NCGC00357086-01	0.0	0
NCGC00357150-01	0.00961	0
NCGC00357040-01	0.01467	0
NCGC00357232-01	0.00183	0
NCGC00357172-01	0.00067	0
NCGC00357135-01	0.0	0
NCGC00357207-01	0.63267	1
NCGC00356990-01	0.018	0
NCGC00357276-01	0.0	0
NCGC00357016-01	0.0	0
NCGC00357247-01	0.00533	0
NCGC00357183-01	0.01533	0
NCGC00357286-01	0.00067	0
NCGC00357255-01	0.00622	0
NCGC00357025-01	0.00945	0
NCGC00357008-01	0.008	0
NCGC00356987-01	0.0	0
NCGC00357128-01	0.02833	0
NCGC00357129-01	0.01467	0
NCGC00356978-01	0.03067	0
NCGC00357072-01	0.07254	0
NCGC00357195-01	0.00267	0
NCGC00357215-01	0.002	0
NCGC00357038-01	0.06172	0
NCGC00357208-01	0.03067	0
NCGC00357099-01	0.03067	0
NCGC00357007-01	0.00867	0
NCGC00356989-01	0.0286	0
NCGC00357246-01	0.00533	0
NCGC00357081-01	0.04911	0
NCGC00357281-01	0.01133	0
NCGC00357244-01	0.07267	0
NCGC00357194-01	0.024	0
NCGC00357193-01	0.00133	0
NCGC00357006-01	0.00267	0
NCGC00357041-01	0.01706	0
NCGC00357074-01	0.00267	0
NCGC00357166-01	0.005	0
NCGC00357070-01	0.002	0
NCGC00357222-01	0.0	0
NCGC00357245-01	0.00147	0
NCGC00357217-01	0.00533	0
NCGC00357015-01	0.00567	0
NCGC00357261-01	0.00533	0
NCGC00357060-01	0.02	0
NCGC00357104-01	0.01067	0
NCGC00357248-01	0.00333	0
NCGC00357176-01	0.01	0
NCGC00357187-01	0.13133	0
NCGC00357066-01	0.00311	0
NCGC00357154-01	0.012	0
NCGC00357216-01	0.00791	0
NCGC00357148-01	0.019	0
NCGC00357078-01	0.008	0
NCGC00357027-01	0.00133	0
NCGC00357134-01	0.06579	0
NCGC00357180-01	0.06467	0
NCGC00356986-01	0.01028	0
NCGC00356946-01	0.00467	0
NCGC00356970-01	0.032	0
NCGC00357191-01	0.01244	0
NCGC00357077-01	0.02933	0
NCGC00357069-01	0.04956	0
NCGC00356958-01	0.00639	0
NCGC00357121-01	0.00467	0
NCGC00357067-01	0.01333	0
NCGC00357243-01	0.004	0
NCGC00357100-01	0.0	0
NCGC00356960-01	0.00067	0
NCGC00357136-01	0.00517	0
NCGC00357158-01	0.00867	0
NCGC00356942-01	0.00717	0
NCGC00357126-01	0.00733	0
NCGC00357110-01	0.00867	0
NCGC00357178-01	0.00467	0
NCGC00357167-01	0.00133	0
NCGC00357096-01	0.00133	0
NCGC00357230-01	0.012	0
NCGC00357257-01	0.02133	0
NCGC00356951-01	0.0	0
NCGC00357241-01	0.002	0
NCGC00357024-01	0.002	0
NCGC00357233-01	0.002	0
NCGC00357197-01	0.00267	0
NCGC00357149-01	0.07011	0
NCGC00357142-01	0.00617	0
NCGC00357231-01	0.00778	0
NCGC00357044-01	0.0	0
NCGC00357209-01	0.00467	0
NCGC00357045-01	0.01333	0
NCGC00357075-01	0.00333	0
NCGC00356938-01	0.00133	0
NCGC00357065-01	0.00867	0
NCGC00357094-01	0.02372	0
NCGC00357083-01	0.00711	0
NCGC00357085-01	0.02333	0
NCGC00357236-01	0.006	0
NCGC00357035-01	0.004	0
NCGC00357108-01	0.16867	0
NCGC00357235-01	0.00133	0
NCGC00357224-01	0.006	0
NCGC00357211-01	0.00333	0
NCGC00357039-01	0.0	0
NCGC00357264-01	0.20667	0
NCGC00357285-01	0.01367	0
NCGC00357032-01	0.00067	0
NCGC00357146-01	0.00267	0
NCGC00357059-01	0.00467	0
NCGC00357061-01	0.00133	0
NCGC00357190-01	0.02328	0
NCGC00356943-01	0.04556	0
NCGC00357237-01	0.02111	0
NCGC00357005-01	0.025	0
NCGC00357251-01	0.04225	0
NCGC00357034-01	0.00383	0
NCGC00356992-01	0.41333	0
NCGC00357254-01	0.002	0
NCGC00357199-01	0.014	0
NCGC00356957-01	0.03732	0
NCGC00356968-01	0.0	0
NCGC00357268-01	0.0055	0
NCGC00357256-01	0.002	0
NCGC00357141-01	0.01067	0
