Sample ID	Score	Activity
NCGC00261900-01	-0.35936	0
NCGC00260869-01	-0.01718	0
NCGC00261776-01	0.16031	1
NCGC00261380-01	-0.69287	0
NCGC00261842-01	0.17068	1
NCGC00261662-01	0.95197	1
NCGC00261190-01	0.63084	1
NCGC00260731-01	0.62812	1
NCGC00261926-01	-0.65572	0
NCGC00261579-01	-0.39933	0
NCGC00260921-01	-0.11729	0
NCGC00261119-01	-0.35715	0
NCGC00260957-01	-0.02169	0
NCGC00261812-01	0.37302	1
NCGC00260831-01	-0.33321	0
NCGC00261544-01	-0.09029	0
NCGC00261619-01	0.0798	1
NCGC00261633-01	-0.03908	0
NCGC00261395-01	-0.02654	0
NCGC00261717-01	-0.56889	0
NCGC00261947-01	-0.02656	0
NCGC00261424-01	0.34569	1
NCGC00261861-01	0.53927	1
NCGC00261924-01	0.15677	1
NCGC00261052-01	0.18417	1
NCGC00261683-01	-0.21795	0
NCGC00261026-01	0.60511	1
NCGC00261057-01	-2.44792	0
NCGC00261738-01	-0.39704	0
NCGC00261348-01	-2.22683	0
NCGC00261503-01	-1.19512	0
NCGC00260693-01	-0.72941	0
NCGC00260703-01	-0.84789	0
NCGC00260716-01	-2.02006	0
NCGC00260782-01	-0.50626	0
NCGC00260802-01	-0.87208	0
NCGC00260823-01	-0.19663	0
NCGC00261313-01	0.2511	1
NCGC00260757-01	-1.21353	0
NCGC00260826-01	-0.73134	0
NCGC00261005-01	-0.54077	0
NCGC00260980-01	-0.04991	0
NCGC00261816-01	-1.44677	0
NCGC00260698-01	-0.62072	0
NCGC00260889-01	-0.13185	0
NCGC00260811-01	-0.27304	0
NCGC00261165-01	-0.90437	0
NCGC00261060-01	-0.38512	0
NCGC00261541-01	0.19712	1
NCGC00261649-01	-0.19175	0
NCGC00261110-01	-0.57488	0
NCGC00261130-01	-0.29844	0
NCGC00260846-01	0.92437	1
NCGC00261030-01	-0.17518	0
NCGC00261162-01	0.6201	1
NCGC00261058-01	-0.31608	0
NCGC00261404-01	-0.37659	0
NCGC00261423-01	0.22536	1
NCGC00261856-01	-0.35984	0
NCGC00261342-01	-0.70274	0
NCGC00261935-01	0.83329	1
NCGC00261069-01	0.04828	1
NCGC00261101-01	-0.2326	0
NCGC00261183-01	0.66062	1
NCGC00261716-01	-1.02919	0
NCGC00260742-01	-0.1429	0
NCGC00261529-01	-0.12554	0
NCGC00261170-01	-0.43855	0
NCGC00261565-01	-1.00582	0
NCGC00260990-01	1.16498	1
NCGC00261340-01	0.18239	1
NCGC00261079-01	-0.80112	0
NCGC00261389-01	-0.45142	0
NCGC00261744-01	-0.67091	0
NCGC00261420-01	0.13992	1
NCGC00261215-01	-0.09776	0
NCGC00261826-01	-0.81234	0
NCGC00260706-01	0.45513	1
NCGC00261123-01	0.34403	1
NCGC00261367-01	-0.71793	0
NCGC00261507-01	-0.18059	0
NCGC00261169-01	0.20144	1
NCGC00261730-01	-0.47119	0
