Sample ID	Score	Activity
NCGC00261900-01	0.031212	1
NCGC00261866-01	0.023141	1
NCGC00261643-01	0.014925	0
NCGC00357189-01	0.025658	1
NCGC00357184-01	0.013727	0
NCGC00357007-01	0.067707	1
NCGC00357119-01	0.010318	0
NCGC00260869-01	0.010680	0
NCGC00260852-01	0.018780	0
NCGC00261037-01	0.015165	0
NCGC00357163-01	0.019367	0
NCGC00357238-01	0.020155	0
NCGC00356989-01	0.032562	1
NCGC00357003-01	0.010479	0
NCGC00261776-01	0.037147	1
NCGC00261290-01	0.027184	1
NCGC00261126-01	0.029524	1
NCGC00357001-01	0.014236	0
NCGC00357220-01	0.018340	0
NCGC00357246-01	0.028878	1
NCGC00357058-01	0.018602	0
NCGC00261380-01	0.029127	1
NCGC00261304-01	0.030367	1
NCGC00260871-01	0.023955	1
NCGC00357030-01	0.044088	1
NCGC00357252-01	0.019562	0
NCGC00357081-01	0.027398	1
NCGC00357275-01	0.020235	0
NCGC00261842-01	0.028281	1
NCGC00261704-01	0.019423	0
NCGC00260713-01	0.034649	1
NCGC00357123-01	0.034319	1
NCGC00357159-01	0.012736	0
NCGC00357281-01	0.036232	1
NCGC00357014-01	0.035380	1
NCGC00261662-01	0.028242	1
NCGC00260850-01	0.045178	1
NCGC00261487-01	0.011821	0
NCGC00357091-01	0.014472	0
NCGC00356947-01	0.009246	0
NCGC00357244-01	0.010696	0
NCGC00357011-01	0.026004	1
NCGC00261190-01	0.013379	0
NCGC00260972-01	0.031225	1
NCGC00261545-01	0.031212	1
NCGC00357004-01	0.017131	0
NCGC00357063-01	0.011433	0
NCGC00357194-01	0.016717	0
NCGC00356976-01	0.023373	1
NCGC00260731-01	0.019253	0
NCGC00261364-01	0.011124	0
NCGC00261480-01	0.021548	1
NCGC00357103-01	0.011909	0
NCGC00356982-01	0.011382	0
NCGC00357193-01	0.010940	0
NCGC00357175-01	0.028766	1
NCGC00261926-01	0.028629	1
NCGC00261392-01	0.022437	1
NCGC00261838-01	0.017548	0
NCGC00357289-01	0.031852	1
NCGC00357219-01	0.018236	0
NCGC00357006-01	0.016823	0
NCGC00357021-01	0.014804	0
NCGC00261579-01	0.020660	1
NCGC00261638-01	0.018137	0
NCGC00261627-01	0.019920	0
NCGC00357082-01	0.019415	0
NCGC00357037-01	0.015937	0
NCGC00357041-01	0.012229	0
NCGC00357221-01	0.017799	0
NCGC00260921-01	0.026031	1
NCGC00261820-01	0.013380	0
NCGC00261639-01	0.010852	0
NCGC00356999-01	0.020753	1
NCGC00356975-01	0.013996	0
NCGC00357074-01	0.013473	0
NCGC00356972-01	0.011574	0
NCGC00261119-01	0.018681	0
NCGC00261808-01	0.008355	0
NCGC00261177-01	0.012287	0
NCGC00357116-01	0.018280	0
NCGC00357169-01	0.010333	0
NCGC00357166-01	0.017632	0
NCGC00357133-01	0.011930	0
NCGC00260957-01	0.056762	1
NCGC00260790-01	0.031090	1
NCGC00260692-01	0.009272	0
NCGC00357010-01	0.015593	0
NCGC00357022-01	0.015792	0
NCGC00357070-01	0.013681	0
NCGC00357181-01	0.018710	0
NCGC00261812-01	0.031880	1
NCGC00260940-01	0.018464	0
NCGC00260775-01	0.011249	0
NCGC00357057-01	0.023303	1
NCGC00357165-01	0.015240	0
NCGC00357222-01	0.015145	0
NCGC00357056-01	0.036980	1
NCGC00260831-01	0.016604	0
NCGC00261081-01	0.032269	1
NCGC00260876-01	0.010751	0
NCGC00357171-01	0.011674	0
NCGC00357122-01	0.019558	0
NCGC00357245-01	0.012878	0
NCGC00356980-01	0.011209	0
NCGC00261544-01	0.023844	1
NCGC00261506-01	0.036371	1
NCGC00261598-01	0.011586	0
NCGC00356964-01	0.012849	0
NCGC00357212-01	0.019831	0
NCGC00357217-01	0.013361	0
NCGC00357206-01	0.020061	0
NCGC00261619-01	0.039205	1
NCGC00261133-01	0.028306	1
NCGC00260707-01	0.019568	0
NCGC00356995-01	0.014640	0
NCGC00357263-01	0.090492	1
NCGC00357015-01	0.012836	0
NCGC00357250-01	0.012577	0
NCGC00261633-01	0.018244	0
NCGC00261399-01	0.039757	1
NCGC00261554-01	0.021719	1
NCGC00357062-01	0.023213	1
NCGC00357052-01	0.016110	0
NCGC00357261-01	0.024554	1
NCGC00357227-01	0.017817	0
NCGC00261395-01	0.026078	1
NCGC00260696-01	0.021596	1
NCGC00261713-01	0.035034	1
NCGC00357205-01	0.019602	0
NCGC00356952-01	0.015966	0
NCGC00357060-01	0.016268	0
NCGC00356997-01	0.021643	1
NCGC00261717-01	0.027838	1
NCGC00261903-01	0.033173	1
NCGC00261737-01	0.024676	1
NCGC00357185-01	0.020595	1
NCGC00357225-01	0.016780	0
NCGC00357104-01	0.020305	1
NCGC00356998-01	0.021171	1
NCGC00261947-01	0.030494	1
NCGC00261178-01	0.032126	1
NCGC00261882-01	0.011844	0
NCGC00357028-01	0.013345	0
NCGC00357105-01	0.017123	0
NCGC00357248-01	0.018017	0
NCGC00357282-01	0.016372	0
NCGC00261424-01	0.022580	1
NCGC00261568-01	0.015099	0
NCGC00261933-01	0.021838	1
NCGC00357064-01	0.016002	0
NCGC00356944-01	0.016099	0
NCGC00357176-01	0.016160	0
NCGC00357029-01	0.023943	1
NCGC00261861-01	0.045727	1
NCGC00260830-01	0.022580	1
NCGC00261201-01	0.011777	0
NCGC00357196-01	0.030643	1
NCGC00356977-01	0.020223	0
NCGC00357187-01	0.015346	0
NCGC00356948-01	0.031367	1
NCGC00261924-01	0.035943	1
NCGC00261113-01	0.016852	0
NCGC00261398-01	0.013674	0
NCGC00357271-01	0.027790	1
NCGC00357053-01	0.019823	0
NCGC00357066-01	0.016145	0
NCGC00357054-01	0.011668	0
NCGC00261052-01	0.022870	1
NCGC00261327-01	0.017022	0
NCGC00261601-01	0.013621	0
NCGC00357213-01	0.019023	0
NCGC00357202-01	0.018451	0
NCGC00357154-01	0.013264	0
NCGC00356956-01	0.026385	1
NCGC00261683-01	0.008162	0
NCGC00261602-01	0.023918	1
NCGC00261003-01	0.012060	0
NCGC00357198-01	0.014523	0
NCGC00357013-01	0.019470	0
NCGC00357216-01	0.015142	0
NCGC00356994-01	0.025590	1
NCGC00261026-01	0.036140	1
NCGC00260858-01	0.026638	1
NCGC00261019-01	0.008213	0
NCGC00357079-01	0.012870	0
NCGC00357131-01	0.019827	0
NCGC00357148-01	0.036446	1
NCGC00356949-01	0.017657	0
NCGC00261057-01	0.011845	0
NCGC00261071-01	0.010392	0
NCGC00261519-01	0.011382	0
NCGC00356984-01	0.054206	1
NCGC00357127-01	0.017348	0
NCGC00357078-01	0.016360	0
NCGC00357234-01	0.016454	0
NCGC00261738-01	0.016002	0
NCGC00261076-01	0.018405	0
NCGC00261732-01	0.010772	0
NCGC00357080-01	0.021061	1
NCGC00357147-01	0.022148	1
NCGC00357027-01	0.012405	0
NCGC00356967-01	0.020160	0
NCGC00261348-01	0.009925	0
NCGC00261192-01	0.024237	1
NCGC00261718-01	0.011620	0
NCGC00357173-01	0.015228	0
NCGC00357267-01	0.015877	0
NCGC00357134-01	0.026416	1
NCGC00357111-01	0.016240	0
NCGC00261503-01	0.009431	0
NCGC00261495-01	0.041432	1
NCGC00260743-01	0.011792	0
NCGC00357277-01	0.010187	0
NCGC00356979-01	0.020885	1
NCGC00357180-01	0.041473	1
NCGC00357155-01	0.018602	0
NCGC00260693-01	0.011059	0
NCGC00261577-01	0.017794	0
NCGC00260751-01	0.012899	0
NCGC00357240-01	0.010366	0
NCGC00357179-01	0.017941	0
NCGC00356986-01	0.016920	0
NCGC00357098-01	0.015889	0
NCGC00260703-01	0.010436	0
NCGC00261510-01	0.031807	1
NCGC00260867-01	0.009676	0
NCGC00357145-01	0.018903	0
NCGC00356945-01	0.013514	0
NCGC00356946-01	0.032945	1
NCGC00357156-01	0.016147	0
NCGC00260716-01	0.010256	0
NCGC00261679-01	0.030236	1
NCGC00260982-01	0.009299	0
NCGC00357157-01	0.011122	0
NCGC00357068-01	0.016307	0
NCGC00356970-01	0.015620	0
NCGC00357019-01	0.043206	1
NCGC00260782-01	0.010190	0
NCGC00261941-01	0.013574	0
NCGC00261176-01	0.006321	0
NCGC00357160-01	0.013369	0
NCGC00357002-01	0.015274	0
NCGC00357191-01	0.016659	0
NCGC00357095-01	0.014539	0
NCGC00260802-01	0.010177	0
NCGC00261343-01	0.025567	1
NCGC00261289-01	0.013153	0
NCGC00357107-01	0.011523	0
NCGC00356974-01	0.014235	0
NCGC00357077-01	0.020464	1
NCGC00357226-01	0.013439	0
NCGC00260823-01	0.011566	0
NCGC00261607-01	0.016867	0
NCGC00261440-01	0.008758	0
NCGC00357106-01	0.051192	1
NCGC00357109-01	0.037670	1
