Sample ID	Score	Activity
NCGC00261900-01	0.044909946	0
NCGC00260869-01	0.067478840	0
NCGC00261776-01	0.042211396	0
NCGC00261380-01	0.025760876	0
NCGC00261842-01	0.073575365	0
NCGC00261662-01	0.047545460	0
NCGC00260731-01	0.244663460	0
NCGC00261926-01	0.014251357	0
NCGC00261579-01	0.022985632	0
NCGC00261119-01	0.007689103	0
NCGC00260957-01	0.013956939	0
NCGC00261812-01	0.026379143	0
NCGC00260831-01	0.008678698	0
NCGC00261544-01	0.005790235	0
NCGC00261619-01	0.071309337	0
NCGC00261633-01	0.034087632	0
NCGC00261395-01	0.006346574	0
NCGC00261717-01	0.005490800	0
NCGC00261947-01	0.017916832	0
NCGC00261424-01	0.013056658	0
NCGC00261861-01	0.690352480	1
NCGC00261924-01	0.757688019	1
NCGC00261683-01	0.024090852	0
NCGC00261026-01	0.117593710	0
NCGC00261057-01	0.008392930	0
NCGC00261738-01	0.003392174	0
NCGC00261348-01	0.005318593	0
NCGC00261503-01	0.004916956	0
NCGC00260693-01	0.005710730	0
NCGC00260703-01	0.004014825	0
NCGC00260716-01	0.004614742	0
NCGC00260782-01	0.003747034	0
NCGC00260802-01	0.008733040	0
NCGC00260823-01	0.022596138	0
NCGC00261313-01	0.015268201	0
NCGC00260757-01	0.007605267	0
NCGC00260826-01	0.015874321	0
NCGC00261005-01	0.004031547	0
NCGC00260980-01	0.049307922	0
NCGC00261816-01	0.007759419	0
NCGC00260698-01	0.026085153	0
NCGC00260889-01	0.007417782	0
NCGC00260811-01	0.003607019	0
NCGC00261165-01	0.009580869	0
NCGC00261060-01	0.002996096	0
NCGC00261541-01	0.009186131	0
NCGC00261649-01	0.002217252	0
NCGC00261110-01	0.014657085	0
NCGC00261130-01	0.012455033	0
NCGC00261162-01	0.006283994	0
NCGC00261058-01	0.046301193	0
NCGC00261404-01	0.003812801	0
NCGC00261423-01	0.008516747	0
NCGC00261856-01	0.028813760	0
NCGC00261342-01	0.005031322	0
NCGC00261935-01	0.010064012	0
NCGC00261101-01	0.057027013	0
NCGC00261183-01	0.012777161	0
