Sample ID	Score	Activity
NCGC00261900-01	0.49641127	0
NCGC00260869-01	0.46511883	0
NCGC00261776-01	0.49293231	0
NCGC00261380-01	0.50643313	1
NCGC00261842-01	0.48515429	0
NCGC00261662-01	0.51143246	1
NCGC00261190-01	0.48310757	0
NCGC00260731-01	0.48279870	0
NCGC00261926-01	0.53401099	1
NCGC00261579-01	0.46264334	0
NCGC00260921-01	0.51758621	1
NCGC00261119-01	0.46743992	0
NCGC00260957-01	0.56216384	1
NCGC00261812-01	0.51654992	1
NCGC00260831-01	0.49038374	0
NCGC00261544-01	0.52795193	1
NCGC00261619-01	0.55664579	1
NCGC00261633-01	0.56745303	1
NCGC00261395-01	0.47873894	0
NCGC00261717-01	0.53764099	1
NCGC00261947-01	0.53180643	1
NCGC00261424-01	0.47974609	0
NCGC00261861-01	0.59070850	1
NCGC00261924-01	0.57912274	1
NCGC00261052-01	0.52545624	1
NCGC00261683-01	0.41175432	0
NCGC00261026-01	0.50470800	1
NCGC00261057-01	0.44028292	0
NCGC00261738-01	0.40133255	0
NCGC00261348-01	0.41168634	0
NCGC00261503-01	0.40115813	0
NCGC00260693-01	0.43692997	0
NCGC00260703-01	0.42996381	0
NCGC00260716-01	0.45847790	0
NCGC00260782-01	0.44215803	0
NCGC00260802-01	0.44388867	0
NCGC00260823-01	0.46144247	0
NCGC00261313-01	0.50272829	1
NCGC00260757-01	0.42839166	0
NCGC00260826-01	0.50483104	1
NCGC00261005-01	0.38534666	0
NCGC00260980-01	0.47531772	0
NCGC00261816-01	0.46584539	0
NCGC00260698-01	0.53789603	1
NCGC00260889-01	0.47510142	0
NCGC00260811-01	0.47450688	0
NCGC00261165-01	0.42629155	0
NCGC00261060-01	0.45865137	0
NCGC00261541-01	0.46878906	0
NCGC00261649-01	0.45491250	0
NCGC00261110-01	0.45100483	0
NCGC00261130-01	0.43638188	0
NCGC00260846-01	0.50005089	1
NCGC00261030-01	0.47613990	0
NCGC00261162-01	0.45940406	0
NCGC00261058-01	0.45291034	0
NCGC00261404-01	0.47433514	0
NCGC00261423-01	0.47775832	0
NCGC00261856-01	0.47946572	0
NCGC00261342-01	0.49070672	0
NCGC00261935-01	0.47678485	0
NCGC00261069-01	0.46128759	0
NCGC00261101-01	0.51426403	1
NCGC00261183-01	0.44893361	0
NCGC00261716-01	0.47682457	0
NCGC00260742-01	0.57797660	1
NCGC00261529-01	0.53355081	1
NCGC00261170-01	0.49428564	0
NCGC00261565-01	0.52687284	1
NCGC00260990-01	0.52879796	1
NCGC00261340-01	0.48565519	0
NCGC00261079-01	0.44389670	0
NCGC00261389-01	0.52048290	1
NCGC00261744-01	0.44352805	0
NCGC00261420-01	0.46373973	0
NCGC00261215-01	0.55257873	1
NCGC00261826-01	0.45052336	0
NCGC00260706-01	0.40735783	0
NCGC00261123-01	0.52003298	1
NCGC00261367-01	0.43230259	0
NCGC00261507-01	0.44155976	0
NCGC00261169-01	0.46385408	0
NCGC00261730-01	0.45188840	0
NCGC00261624-01	0.43121134	0
NCGC00261641-01	0.50992769	1
NCGC00261853-01	0.49736527	0
NCGC00260911-01	0.51301563	1
NCGC00260798-01	0.62388545	1
NCGC00261384-01	0.50560354	1
NCGC00260785-01	0.55499852	1
NCGC00261597-01	0.42993020	0
NCGC00261025-01	0.44298085	0
NCGC00260789-01	0.39480265	0
NCGC00260866-01	0.51197052	1
NCGC00261189-01	0.51751016	1
NCGC00261270-01	0.47703651	0
NCGC00261611-01	0.47911202	0
NCGC00261160-01	0.52639993	1
NCGC00261085-01	0.42427592	0
NCGC00261817-01	0.47296687	0
NCGC00261866-01	0.46845758	0
NCGC00260852-01	0.44137938	0
NCGC00261290-01	0.49873067	0
NCGC00261304-01	0.49853376	0
NCGC00261704-01	0.56708170	1
NCGC00260850-01	0.51769418	1
NCGC00260972-01	0.45707050	0
NCGC00261364-01	0.47117704	0
NCGC00261392-01	0.49192077	0
NCGC00261638-01	0.43001863	0
NCGC00261820-01	0.44588297	0
NCGC00261808-01	0.37589910	0
NCGC00260790-01	0.48492531	0
NCGC00260940-01	0.53413438	1
NCGC00261081-01	0.47103298	0
NCGC00261506-01	0.51301029	1
NCGC00261133-01	0.40349101	0
NCGC00261399-01	0.53629740	1
NCGC00260696-01	0.50933922	1
NCGC00261903-01	0.51999410	1
NCGC00261178-01	0.51491419	1
NCGC00261568-01	0.50549805	1
NCGC00260830-01	0.48445058	0
NCGC00261113-01	0.46290708	0
NCGC00261327-01	0.44591414	0
NCGC00261602-01	0.46969155	0
NCGC00260858-01	0.51910712	1
NCGC00261071-01	0.46438990	0
NCGC00261076-01	0.45782978	0
NCGC00261192-01	0.50743945	1
NCGC00261495-01	0.39284353	0
NCGC00261577-01	0.52385020	1
NCGC00261510-01	0.47392698	0
NCGC00261679-01	0.48329971	0
NCGC00261941-01	0.50623015	1
NCGC00261343-01	0.47668856	0
NCGC00261607-01	0.44683338	0
NCGC00261782-01	0.49859626	0
NCGC00261914-01	0.46984585	0
NCGC00261475-01	0.51457832	1
NCGC00261764-01	0.57285255	1
NCGC00261802-01	0.55435644	1
NCGC00261813-01	0.47614002	0
NCGC00260795-01	0.56995935	1
NCGC00261352-01	0.53196669	1
NCGC00261009-01	0.53207213	1
NCGC00261944-01	0.55833643	1
NCGC00261166-01	0.52588418	1
NCGC00261332-01	0.53806286	1
NCGC00261333-01	0.47911280	0
NCGC00261260-01	0.52818952	1
NCGC00261915-01	0.53458781	1
NCGC00261238-01	0.42466839	0
NCGC00261682-01	0.52206037	1
NCGC00261049-01	0.50690586	1
NCGC00260910-01	0.44777528	0
NCGC00261272-01	0.44001770	0
NCGC00260708-01	0.43978458	0
NCGC00261390-01	0.44882534	0
NCGC00260948-01	0.43283564	0
NCGC00261840-01	0.56346116	1
NCGC00260881-01	0.43402794	0
NCGC00261153-01	0.42615703	0
NCGC00261406-01	0.46497682	0
NCGC00261053-01	0.36998135	0
NCGC00261129-01	0.35915024	0
NCGC00261381-01	0.55699337	1
NCGC00261426-01	0.48303107	0
NCGC00260979-01	0.45523703	0
NCGC00260993-01	0.46065911	0
NCGC00261108-01	0.45250734	0
NCGC00261441-01	0.43171109	0
NCGC00261877-01	0.49184467	0
NCGC00260815-01	0.38395223	0
NCGC00261542-01	0.52851615	1
NCGC00261958-01	0.51290406	1
NCGC00261787-01	0.51649769	1
NCGC00261065-01	0.54840543	1
NCGC00261804-01	0.52748258	1
NCGC00260875-01	0.48664608	0
NCGC00261451-01	0.48123557	0
NCGC00261739-01	0.44967993	0
NCGC00261948-01	0.59288745	1
NCGC00261382-01	0.62309055	1
NCGC00261663-01	0.40105375	0
NCGC00260892-01	0.48031030	0
NCGC00261297-01	0.49561805	0
NCGC00261321-01	0.53037844	1
NCGC00261446-01	0.50162501	1
NCGC00261474-01	0.47606911	0
