Sample ID	Score	Activity
NCGC00261900-01	0.032860455	0
NCGC00260869-01	0.018415586	0
NCGC00261776-01	0.052489756	0
NCGC00261380-01	0.866211285	1
NCGC00261842-01	0.088027009	0
NCGC00261662-01	0.472009183	1
NCGC00261190-01	0.034375153	0
NCGC00260731-01	0.032128516	0
NCGC00261926-01	0.011085332	0
NCGC00261579-01	0.018341824	0
NCGC00260921-01	0.023715970	0
NCGC00261119-01	0.018501089	0
NCGC00260957-01	0.790872284	1
NCGC00261812-01	0.316769689	1
NCGC00260831-01	0.025670263	0
NCGC00261544-01	0.029039484	0
NCGC00261619-01	0.156999206	0
NCGC00261633-01	0.012015569	0
NCGC00261395-01	0.053786021	0
NCGC00261717-01	0.083146729	0
NCGC00261947-01	0.034108639	0
NCGC00261424-01	0.013452685	0
NCGC00261861-01	0.061425843	0
NCGC00261924-01	0.024122561	0
NCGC00261052-01	0.009772133	0
NCGC00261683-01	0.025349596	0
NCGC00261026-01	0.250452889	1
NCGC00261057-01	0.009617760	0
NCGC00261738-01	0.010230955	0
NCGC00261348-01	0.005229223	0
NCGC00261503-01	0.005757672	0
NCGC00260693-01	0.008748419	0
NCGC00260703-01	0.007585974	0
NCGC00260716-01	0.005958056	0
NCGC00260782-01	0.006449197	0
NCGC00260802-01	0.006661476	0
NCGC00260823-01	0.006455926	0
NCGC00261313-01	0.006494509	0
NCGC00260757-01	0.006416454	0
NCGC00260826-01	0.006542110	0
NCGC00261005-01	0.006457803	0
NCGC00260980-01	0.017008767	0
NCGC00261816-01	0.017179850	0
NCGC00260698-01	0.010792671	0
NCGC00260889-01	0.020509270	0
NCGC00260811-01	0.016099971	0
NCGC00261165-01	0.006865965	0
NCGC00261060-01	0.004826550	0
NCGC00261541-01	0.007963694	0
NCGC00261649-01	0.004558167	0
NCGC00261110-01	0.010454879	0
NCGC00261130-01	0.020323735	0
NCGC00260846-01	0.020655190	0
NCGC00261030-01	0.011689416	0
NCGC00261162-01	0.023827365	0
NCGC00261058-01	0.051382672	0
NCGC00261404-01	0.021025868	0
NCGC00261423-01	0.157135031	0
NCGC00261856-01	0.194539992	1
NCGC00261342-01	0.010134280	0
NCGC00261935-01	0.010291220	0
NCGC00261069-01	0.038663364	0
NCGC00261101-01	0.213029699	1
NCGC00261183-01	0.013177075	0
NCGC00261716-01	0.012321175	0
NCGC00260742-01	0.024495405	0
NCGC00261529-01	0.025843046	0
NCGC00261170-01	0.492741150	1
NCGC00261565-01	0.010437456	0
NCGC00260990-01	0.124007602	0
NCGC00261340-01	0.024959944	0
NCGC00261079-01	0.011971433	0
NCGC00261389-01	0.005683400	0
