Sample ID	Score	Activity
NCGC00261776-01	1.07	1
NCGC00261380-01	0.192	1
NCGC00261842-01	-1.725	0
NCGC00261662-01	0.983	1
NCGC00261190-01	4.27	1
NCGC00260731-01	-0.982	0
NCGC00261926-01	-0.862	0
NCGC00261579-01	0.061	1
NCGC00260921-01	0.39	1
NCGC00261119-01	-0.206	0
NCGC00261812-01	3.214	1
NCGC00260831-01	-0.934	0
NCGC00261544-01	-0.037	0
NCGC00261619-01	1.77	1
NCGC00261395-01	0.487	1
NCGC00261717-01	0.039	1
NCGC00261947-01	0.315	1
NCGC00261424-01	1.788	1
NCGC00261861-01	1.636	1
NCGC00261924-01	0.058	1
NCGC00261026-01	5.443	1
NCGC00261057-01	-1.548	0
NCGC00261738-01	-0.507	0
NCGC00261348-01	-2.951	0
NCGC00261503-01	-4.188	0
NCGC00260693-01	-1.588	0
NCGC00260703-01	-1.596	0
NCGC00260716-01	-0.896	0
NCGC00260782-01	-0.739	0
NCGC00260802-01	-0.703	0
NCGC00260823-01	-0.82	0
NCGC00260757-01	-0.704	0
NCGC00260826-01	-1.313	0
NCGC00260889-01	-1.431	0
NCGC00260811-01	-2.088	0
NCGC00261165-01	-3.981	0
NCGC00261060-01	-1.544	0
NCGC00261541-01	-1.682	0
NCGC00261649-01	-0.986	0
NCGC00261110-01	-0.795	0
NCGC00261130-01	-0.851	0
NCGC00260846-01	-0.254	0
NCGC00261030-01	0.279	1
NCGC00261162-01	-0.013	0
NCGC00261058-01	0.656	1
NCGC00261404-01	1.285	1
NCGC00261423-01	3.177	1
NCGC00261856-01	-0.544	0
NCGC00261342-01	0.429	1
NCGC00261069-01	0.933	1
NCGC00261101-01	0.014	1
NCGC00261716-01	-1.341	0
NCGC00260742-01	-1.117	0
NCGC00261529-01	-0.136	0
NCGC00261170-01	0.487	1
NCGC00261565-01	-2.384	0
NCGC00260990-01	-0.368	0
NCGC00261340-01	0.73	1
NCGC00261079-01	-1.273	0
NCGC00261389-01	-0.808	0
NCGC00261744-01	-0.263	0
NCGC00261420-01	1.246	1
NCGC00261215-01	-2.067	0
NCGC00261826-01	0.511	1
NCGC00261123-01	0.038	1
NCGC00261367-01	3.3	1
NCGC00261507-01	-0.793	0
NCGC00261169-01	0.739	1
NCGC00261730-01	-2.744	0
NCGC00261624-01	-0.145	0
NCGC00261641-01	-0.753	0
NCGC00261853-01	-0.386	0
NCGC00260911-01	1.076	1
NCGC00261384-01	-0.137	0
NCGC00260785-01	-0.939	0
NCGC00261025-01	-1.296	0
NCGC00260789-01	-1.271	0
NCGC00260866-01	-0.894	0
NCGC00261189-01	1.098	1
NCGC00261270-01	0.826	1
NCGC00261611-01	-1.378	0
NCGC00261817-01	0.063	1
NCGC00261866-01	0.686	1
NCGC00260852-01	-0.476	0
NCGC00261290-01	0.921	1
NCGC00261304-01	-0.017	0
NCGC00261704-01	-0.025	0
NCGC00260850-01	-0.417	0
NCGC00260972-01	-0.23	0
NCGC00261392-01	-0.574	0
NCGC00261638-01	-0.18	0
NCGC00261820-01	-0.022	0
NCGC00261808-01	-1.497	0
NCGC00260790-01	-0.5	0
NCGC00260940-01	-1.11	0
NCGC00261081-01	-0.435	0
NCGC00261506-01	-0.051	0
NCGC00261133-01	1.054	1
NCGC00261399-01	0.139	1
NCGC00260696-01	-0.192	0
NCGC00261903-01	-0.413	0
NCGC00261178-01	1.519	1
NCGC00261568-01	-0.159	0
NCGC00260830-01	-3.902	0
NCGC00261113-01	-1.181	0
NCGC00261327-01	-1.104	0
NCGC00261602-01	-1.992	0
NCGC00260858-01	0.879	1
NCGC00261071-01	0.405	1
NCGC00261076-01	-2.055	0
NCGC00261192-01	-2.398	0
NCGC00261577-01	0.796	1
NCGC00261510-01	-0.459	0
NCGC00261679-01	0.376	1
NCGC00261941-01	2.35	1
NCGC00261343-01	-1.13	0
NCGC00261607-01	-1.314	0
NCGC00261782-01	0.236	1
NCGC00261475-01	-1.754	0
NCGC00261764-01	-0.253	0
NCGC00261802-01	1.223	1
NCGC00261813-01	-0.795	0
NCGC00260795-01	-1.636	0
NCGC00261352-01	1.283	1
NCGC00261009-01	-1.237	0
NCGC00261944-01	-1.453	0
NCGC00261166-01	0.821	1
NCGC00261332-01	0.014	1
NCGC00261333-01	-0.501	0
NCGC00261260-01	1.307	1
NCGC00261915-01	0.685	1
NCGC00261682-01	0.097	1
NCGC00260910-01	-0.475	0
NCGC00261272-01	-1.482	0
NCGC00260708-01	-0.989	0
NCGC00261390-01	-0.436	0
NCGC00260948-01	-1.537	0
NCGC00261840-01	-1.343	0
NCGC00261153-01	2.092	1
NCGC00261406-01	-1.456	0
NCGC00261053-01	-1.867	0
NCGC00261129-01	-0.761	0
NCGC00261381-01	0.486	1
NCGC00261426-01	0.312	1
NCGC00260979-01	3.726	1
NCGC00260993-01	1.799	1
NCGC00261108-01	3.273	1
NCGC00261877-01	1.622	1
NCGC00261542-01	0.789	1
NCGC00261787-01	-1.138	0
NCGC00261065-01	-0.417	0
NCGC00261804-01	-1.982	0
NCGC00260875-01	-0.009	0
NCGC00261451-01	-2.68	0
NCGC00261948-01	-1.997	0
NCGC00261382-01	-1.49	0
NCGC00261297-01	0.005	1
NCGC00261321-01	-0.046	0
NCGC00261446-01	0.03	1
NCGC00261474-01	0.743	1
NCGC00260803-01	2.637	1
NCGC00260833-01	2.478	1
NCGC00261008-01	0.384	1
NCGC00261155-01	1.645	1
NCGC00261643-01	2.876	1
NCGC00261126-01	0.065	1
NCGC00260871-01	2.875	1
NCGC00260713-01	-0.745	0
NCGC00261487-01	-1.131	0
NCGC00261545-01	-1.25	0
NCGC00261480-01	0.53	1
NCGC00261838-01	0.687	1
NCGC00261627-01	-1.312	0
NCGC00261177-01	-0.337	0
NCGC00260775-01	-1.412	0
NCGC00260707-01	-0.069	0
NCGC00261554-01	-0.368	0
NCGC00261713-01	1.102	1
NCGC00261737-01	0.325	1
NCGC00261882-01	0.877	1
NCGC00261933-01	0.52	1
NCGC00261201-01	-1.254	0
NCGC00261398-01	-0.836	0
NCGC00261003-01	0.275	1
NCGC00261019-01	-0.224	0
NCGC00261519-01	-0.58	0
NCGC00261732-01	-1.496	0
NCGC00260982-01	-0.877	0
NCGC00261176-01	-1.489	0
NCGC00261657-01	-0.624	0
NCGC00260822-01	-1.727	0
NCGC00261142-01	0.927	1
NCGC00261582-01	0.022	1
NCGC00261825-01	0.103	1
NCGC00261833-01	-1.023	0
NCGC00261835-01	0.273	1
NCGC00261860-01	0.436	1
NCGC00261906-01	0.419	1
NCGC00261916-01	0.507	1
NCGC00261939-01	0.312	1
NCGC00261869-01	0.383	1
NCGC00261163-01	-1.442	0
NCGC00260770-01	-0.925	0
NCGC00261013-01	-1.213	0
NCGC00261910-01	-1.175	0
NCGC00261686-01	0.189	1
NCGC00261147-01	-0.43	0
NCGC00261578-01	-0.587	0
NCGC00261336-01	-2.143	0
NCGC00261593-01	-1.191	0
NCGC00260821-01	-1.888	0
NCGC00261007-01	-1.214	0
NCGC00261246-01	-0.656	0
NCGC00261949-01	-0.595	0
NCGC00260890-01	-0.407	0
NCGC00261294-01	0.626	1
NCGC00261330-01	0.323	1
NCGC00261470-01	-0.892	0
NCGC00260691-01	-0.428	0
NCGC00261693-01	-0.592	0
NCGC00261293-01	-0.967	0
NCGC00261018-01	-1.225	0
NCGC00261075-01	-0.363	0
NCGC00261150-01	-0.06	0
NCGC00261767-01	-0.574	0
NCGC00261824-01	-2.863	0
NCGC00261146-01	-0.694	0
NCGC00260817-01	-0.028	0
NCGC00261161-01	-0.408	0
NCGC00260728-01	-0.311	0
