Sample ID	Score	Activity
NCGC00260691	0.17610	0
NCGC00260692	0.05599	0
NCGC00260693	0.21368	0
NCGC00260696	0.54454	1
NCGC00260698	0.73714	1
NCGC00260703	0.16393	0
NCGC00260706	0.31434	0
NCGC00260707	0.59014	1
NCGC00260708	0.05549	0
NCGC00260713	0.70230	1
NCGC00260716	0.05994	0
NCGC00260728	0.17791	0
NCGC00260731	0.38206	0
NCGC00260742	0.68968	1
NCGC00260743	0.09392	0
NCGC00260751	0.12409	0
NCGC00260757	0.06880	0
NCGC00260770	0.09371	0
NCGC00260775	0.04855	0
NCGC00260782	0.13395	0
NCGC00260785	0.73671	1
NCGC00260789	0.55062	1
NCGC00260790	0.74993	1
NCGC00260795	0.67647	1
NCGC00260798	0.71590	1
NCGC00260802	0.12935	0
NCGC00260803	0.68119	1
NCGC00260811	0.65759	1
NCGC00260815	0.44191	0
NCGC00260817	0.27183	0
NCGC00260821	0.16844	0
NCGC00260822	0.69346	1
NCGC00260823	0.09289	0
NCGC00260826	0.08251	0
NCGC00260830	0.64729	1
NCGC00260831	0.62782	1
NCGC00260833	0.60595	1
NCGC00260834	0.59994	1
NCGC00260840	0.55563	1
NCGC00260846	0.44609	0
NCGC00260850	0.62327	1
NCGC00260852	0.45670	0
NCGC00260858	0.80869	1
NCGC00260866	0.63240	1
NCGC00260867	0.05759	0
NCGC00260869	0.50746	1
NCGC00260871	0.65757	1
NCGC00260875	0.50390	1
NCGC00260876	0.02681	0
NCGC00260881	0.09483	0
NCGC00260889	0.55236	1
NCGC00260890	0.38468	0
NCGC00260892	0.63281	1
NCGC00260910	0.69722	1
NCGC00260911	0.60117	1
NCGC00260921	0.58603	1
NCGC00260940	0.77153	1
NCGC00260947	0.72302	1
NCGC00260948	0.08394	0
NCGC00260957	0.90954	1
NCGC00260962	0.74546	1
NCGC00260972	0.73418	1
NCGC00260979	0.62098	1
NCGC00260980	0.67224	1
NCGC00260982	0.28060	0
NCGC00260990	0.71186	1
NCGC00260993	0.57485	1
NCGC00261003	0.27804	0
NCGC00261005	0.17019	0
NCGC00261007	0.28303	0
NCGC00261008	0.55948	1
NCGC00261009	0.76264	1
NCGC00261013	0.29853	0
NCGC00261018	0.51232	1
NCGC00261019	0.28419	0
NCGC00261025	0.36039	0
NCGC00261026	0.66525	1
NCGC00261028	0.34561	0
NCGC00261030	0.42324	0
NCGC00261037	0.42025	0
NCGC00261049	0.67784	1
NCGC00261052	0.31451	0
