Sample ID	Score	Activity
NCGC00261900-01	0.146437813	0
NCGC00260869-01	0.044964083	0
NCGC00261776-01	0.032997464	0
NCGC00261380-01	0.320437096	0
NCGC00261842-01	0.060682393	0
NCGC00261662-01	0.228453530	0
NCGC00261190-01	0.105015320	0
NCGC00260731-01	0.082238729	0
NCGC00261926-01	0.088509068	0
NCGC00261579-01	0.021115273	0
NCGC00260921-01	0.073220089	0
NCGC00261119-01	0.020415743	0
NCGC00260957-01	0.712373851	1
NCGC00261812-01	0.585888373	1
NCGC00260831-01	0.043478858	0
NCGC00261544-01	0.061995495	0
NCGC00261619-01	0.025783991	0
NCGC00261633-01	0.097456548	0
NCGC00261395-01	0.100808715	0
NCGC00261717-01	0.282665443	0
NCGC00261947-01	0.136982737	0
NCGC00261424-01	0.166250731	0
NCGC00261861-01	0.137101600	0
NCGC00261924-01	0.006894140	0
NCGC00261052-01	0.016927724	0
NCGC00261683-01	0.068348577	0
NCGC00261026-01	0.404679787	0
NCGC00261057-01	0.006947372	0
NCGC00261738-01	0.029947643	0
NCGC00261348-01	0.018811560	0
NCGC00261503-01	0.005953319	0
NCGC00260693-01	0.016969621	0
NCGC00260703-01	0.015133127	0
NCGC00260716-01	0.001484989	0
NCGC00260782-01	0.002878841	0
NCGC00260802-01	0.001522721	0
NCGC00260823-01	0.005466028	0
NCGC00261313-01	0.005795218	0
NCGC00260757-01	0.001397775	0
NCGC00260826-01	0.003164644	0
NCGC00261005-01	0.002999102	0
NCGC00260980-01	0.082872299	0
NCGC00261816-01	0.039680492	0
NCGC00260698-01	0.297170465	0
NCGC00260889-01	0.114168868	0
NCGC00260811-01	0.182996069	0
NCGC00261165-01	0.096421941	0
NCGC00261060-01	0.002743879	0
NCGC00261541-01	0.029229953	0
NCGC00261649-01	0.001479881	0
NCGC00261110-01	0.036796005	0
NCGC00261130-01	0.025843778	0
NCGC00260846-01	0.003365782	0
NCGC00261030-01	0.005174467	0
NCGC00261162-01	0.023353537	0
NCGC00261058-01	0.140073200	0
NCGC00261404-01	0.039284491	0
NCGC00261423-01	0.030276021	0
NCGC00261856-01	0.030276021	0
NCGC00261342-01	0.221434211	0
NCGC00261935-01	0.010409830	0
NCGC00261069-01	0.024676824	0
NCGC00261101-01	0.152480511	0
NCGC00261183-01	0.027827139	0
NCGC00261716-01	0.098939435	0
NCGC00260742-01	0.048216974	0
NCGC00261529-01	0.021061302	0
NCGC00261170-01	0.182583631	0
NCGC00261565-01	0.134359337	0
NCGC00260990-01	0.055357256	0
NCGC00261340-01	0.044578854	0
NCGC00261079-01	0.010597279	0
NCGC00261389-01	0.103878588	0
NCGC00261744-01	0.028984722	0
NCGC00261420-01	0.121600789	0
NCGC00261215-01	0.115849522	0
NCGC00261826-01	0.011140656	0
NCGC00260706-01	0.011388716	0
NCGC00261123-01	0.052798665	0
NCGC00261367-01	0.148627512	0
NCGC00261507-01	0.158048381	0
NCGC00261169-01	0.294339248	0
NCGC00261730-01	0.021456776	0
NCGC00261624-01	0.017000480	0
NCGC00261641-01	0.013717066	0
NCGC00261853-01	0.167842913	0
NCGC00260911-01	0.023313321	0
NCGC00260798-01	0.287789597	0
NCGC00261384-01	0.029179477	0
NCGC00260785-01	0.036345036	0
NCGC00261597-01	0.092754524	0
NCGC00261025-01	0.008697176	0
NCGC00260789-01	0.044013474	0
NCGC00260866-01	0.186534017	0
NCGC00261189-01	0.065087094	0
NCGC00261270-01	0.070065626	0
NCGC00261611-01	0.060920518	0
NCGC00261160-01	0.180230658	0
NCGC00261085-01	0.022290465	0
NCGC00261817-01	0.105357565	0
NCGC00261866-01	0.040887489	0
NCGC00260852-01	0.013668946	0
NCGC00261290-01	0.028404160	0
NCGC00261304-01	0.252879835	0
NCGC00261704-01	0.181968726	0
NCGC00260850-01	0.078188753	0
NCGC00260972-01	0.115683567	0
NCGC00261364-01	0.018648545	0
NCGC00261392-01	0.055461540	0
NCGC00261638-01	0.002270831	0
NCGC00261820-01	0.007860865	0
NCGC00261808-01	0.020930265	0
NCGC00260790-01	0.016089467	0
NCGC00260940-01	0.099144327	0
NCGC00261081-01	0.097038044	0
NCGC00261506-01	0.098309110	0
NCGC00261133-01	0.093878814	0
NCGC00261399-01	0.175753126	0
NCGC00260696-01	0.003943278	0
NCGC00261903-01	0.232479018	0
NCGC00261178-01	0.083593122	0
NCGC00261568-01	0.203827767	0
NCGC00260830-01	0.031550358	0
NCGC00261113-01	0.021336663	0
NCGC00261327-01	0.007104797	0
NCGC00261602-01	0.022267381	0
NCGC00260858-01	0.141644849	0
NCGC00261071-01	0.179398820	0
NCGC00261076-01	0.003546941	0
NCGC00261192-01	0.134365508	0
NCGC00261495-01	0.012915571	0
NCGC00261577-01	0.043368749	0
NCGC00261510-01	0.049837039	0
NCGC00261679-01	0.012733161	0
NCGC00261941-01	0.177282616	0
NCGC00261343-01	0.096336176	0
NCGC00261607-01	0.031416181	0
NCGC00261782-01	0.249884658	0
NCGC00261914-01	0.041841281	0
NCGC00261475-01	0.123482602	0
NCGC00261764-01	0.055813794	0
NCGC00261802-01	0.192005102	0
NCGC00261813-01	0.152493379	0
NCGC00260795-01	0.046496959	0
NCGC00261352-01	0.122817908	0
NCGC00261009-01	0.280829731	0
NCGC00261944-01	0.273043601	0
NCGC00261166-01	0.166603473	0
NCGC00261332-01	0.079708971	0
NCGC00261333-01	0.093416939	0
NCGC00261260-01	0.067725514	0
NCGC00261915-01	0.104630034	0
NCGC00261238-01	0.037395735	0
NCGC00261682-01	0.111395775	0
NCGC00261049-01	0.246941267	0
NCGC00260910-01	0.027867089	0
NCGC00261272-01	0.124804146	0
NCGC00260708-01	0.001529354	0
NCGC00261390-01	0.001139977	0
NCGC00260948-01	0.001814405	0
NCGC00261840-01	0.004185598	0
NCGC00260881-01	0.001445406	0
NCGC00261153-01	0.050019222	0
NCGC00261406-01	0.006104894	0
NCGC00261053-01	0.001708184	0
NCGC00261129-01	0.002616923	0
NCGC00261381-01	0.071214845	0
NCGC00261426-01	0.060613614	0
NCGC00260979-01	0.365297395	0
NCGC00260993-01	0.159824607	0
NCGC00261108-01	0.014411409	0
NCGC00261441-01	0.106248814	0
NCGC00261877-01	0.018258248	0
NCGC00260815-01	0.027610167	0
NCGC00261542-01	0.090362778	0
NCGC00261958-01	0.012049440	0
NCGC00261787-01	0.074081783	0
NCGC00261065-01	0.095031306	0
NCGC00261804-01	0.131656752	0
NCGC00260875-01	0.044093570	0
NCGC00261451-01	0.006966353	0
NCGC00261739-01	0.089274159	0
NCGC00261948-01	0.245419594	0
NCGC00261382-01	0.084410107	0
NCGC00261663-01	0.332606543	0
NCGC00260892-01	0.008527873	0
NCGC00261297-01	0.125185129	0
NCGC00261321-01	0.008631799	0
NCGC00261446-01	0.178816746	0
NCGC00261474-01	0.118893687	0
NCGC00260834-01	0.055616091	0
