Sample ID	Score	Activity
NCGC00261900-01	0.008797151	0
NCGC00260869-01	0.003123671	0
NCGC00261776-01	0.018684694	0
NCGC00261380-01	0.799051051	1
NCGC00261842-01	0.013859903	0
NCGC00261662-01	0.233928923	1
NCGC00261190-01	0.006692430	0
NCGC00260731-01	0.004619833	0
NCGC00261926-01	0.001280381	0
NCGC00261579-01	0.002385744	0
NCGC00260921-01	0.004112091	0
NCGC00261119-01	0.002177577	0
NCGC00260957-01	0.680151187	1
NCGC00261812-01	0.088732538	1
NCGC00260831-01	0.004465077	0
NCGC00261544-01	0.004188329	0
NCGC00261619-01	0.045800115	0
NCGC00261633-01	0.001345163	0
NCGC00261395-01	0.010745269	0
NCGC00261717-01	0.014506603	0
NCGC00261947-01	0.005769812	0
NCGC00261424-01	0.001738778	0
NCGC00261861-01	0.017526092	0
NCGC00261924-01	0.004739216	0
NCGC00261052-01	0.001611423	0
NCGC00261683-01	0.003434404	0
NCGC00261026-01	0.057835973	1
NCGC00261057-01	0.001066655	0
NCGC00261738-01	0.001170667	0
NCGC00261348-01	0.000511817	0
NCGC00261503-01	0.000574202	0
NCGC00260693-01	0.000928722	0
NCGC00260703-01	0.000742499	0
NCGC00260716-01	0.000577717	0
NCGC00260782-01	0.000665651	0
NCGC00260802-01	0.000647946	0
NCGC00260823-01	0.000645854	0
NCGC00261313-01	0.000629735	0
NCGC00260757-01	0.000633936	0
NCGC00260826-01	0.000634351	0
NCGC00261005-01	0.000628135	0
NCGC00260980-01	0.002384508	0
NCGC00261816-01	0.002363785	0
NCGC00260698-01	0.001498818	0
NCGC00260889-01	0.002204988	0
NCGC00260811-01	0.002229045	0
NCGC00261165-01	0.000873627	0
NCGC00261060-01	0.000476851	0
NCGC00261541-01	0.000905545	0
NCGC00261649-01	0.000443357	0
NCGC00261110-01	0.001893371	0
NCGC00261130-01	0.003669675	0
NCGC00260846-01	0.002653407	0
NCGC00261030-01	0.001701233	0
NCGC00261162-01	0.002530100	0
NCGC00261058-01	0.011665940	0
NCGC00261404-01	0.003128130	0
NCGC00261423-01	0.070439841	1
NCGC00261856-01	0.078174135	1
NCGC00261342-01	0.001708086	0
NCGC00261935-01	0.001075591	0
NCGC00261069-01	0.014779634	0
NCGC00261101-01	0.063150397	1
NCGC00261183-01	0.001790424	0
NCGC00261716-01	0.001463716	0
NCGC00260742-01	0.005011930	0
NCGC00261529-01	0.004105894	0
NCGC00261170-01	0.210800495	1
NCGC00261565-01	0.001311615	0
NCGC00260990-01	0.028862226	0
NCGC00261340-01	0.002601229	0
NCGC00261079-01	0.001286893	0
NCGC00261389-01	0.000648266	0
NCGC00261744-01	0.000773934	0
NCGC00261420-01	0.002461440	0
NCGC00261215-01	0.002172490	0
NCGC00261826-01	0.002323484	0
NCGC00260706-01	0.001750440	0
NCGC00261123-01	0.001015386	0
NCGC00261367-01	0.139993434	1
NCGC00261507-01	0.035314162	0
NCGC00261169-01	0.001740210	0
NCGC00261730-01	0.002276217	0
NCGC00261624-01	0.000855296	0
NCGC00261641-01	0.000824690	0
NCGC00261853-01	0.001331193	0
NCGC00260911-01	0.004121575	0
NCGC00260798-01	0.008821562	0
NCGC00261384-01	0.004204231	0
NCGC00260785-01	0.015647615	0
NCGC00261597-01	0.005487733	0
NCGC00261025-01	0.000956488	0
NCGC00260789-01	0.001306491	0
NCGC00260866-01	0.003485984	0
NCGC00261189-01	0.010260547	0
NCGC00261270-01	0.038618838	0
NCGC00261611-01	0.002402980	0
NCGC00261160-01	0.231734651	1
NCGC00261085-01	0.001179541	0
NCGC00261817-01	0.001399547	0
NCGC00261866-01	0.001719460	0
NCGC00260852-01	0.002663390	0
NCGC00261290-01	0.004654582	0
NCGC00261304-01	0.004546353	0
NCGC00261704-01	0.006143782	0
NCGC00260850-01	0.001580099	0
NCGC00260972-01	0.000846224	0
NCGC00261364-01	0.001200225	0
NCGC00261392-01	0.019560327	0
NCGC00261638-01	0.001302477	0
NCGC00261820-01	0.000846359	0
NCGC00261808-01	0.000704075	0
NCGC00260790-01	0.067346687	1
NCGC00260940-01	0.015321377	0
NCGC00261081-01	0.006593775	0
NCGC00261506-01	0.015786954	0
NCGC00261133-01	0.005167853	0
NCGC00261399-01	0.230784393	1
NCGC00260696-01	0.001248708	0
NCGC00261903-01	0.012181291	0
NCGC00261178-01	0.043705073	0
NCGC00261568-01	0.007554998	0
NCGC00260830-01	0.000890673	0
NCGC00261113-01	0.001521309	0
NCGC00261327-01	0.000915001	0
NCGC00261602-01	0.001636315	0
NCGC00260858-01	0.677108912	1
NCGC00261071-01	0.008610483	0
NCGC00261076-01	0.001506743	0
