Sample ID	Score	Activity
NCGC00357289-01	0.8840606831	1
NCGC00356953-01	0.8572240593	1
NCGC00357002-01	0.857215738	1
NCGC00357134-01	0.8473621185	1
NCGC00357201-01	0.7922401778	1
NCGC00261026-01	0.7710729843	1
NCGC00260957-01	0.7556853064	1
NCGC00357284-01	0.7470823178	1
NCGC00261568-01	0.7438106804	1
NCGC00261380-01	0.7382892572	1
NCGC00261620-01	0.7376954027	1
NCGC00356984-01	0.7341983428	1
NCGC00356957-01	0.7150622292	1
NCGC00261828-01	0.7031970593	1
NCGC00356997-01	0.7030824764	1
NCGC00261101-01	0.696828634	1
NCGC00261178-01	0.6951866235	1
NCGC00261190-01	0.6875455384	1
NCGC00356993-01	0.6858434396	1
NCGC00261812-01	0.6855358547	1
NCGC00357072-01	0.6855358547	1
NCGC00357189-01	0.6854327356	1
NCGC00357029-01	0.6846730421	1
NCGC00260871-01	0.6842706002	1
NCGC00261577-01	0.6809396651	1
NCGC00261166-01	0.6803249455	1
NCGC00261804-01	0.6797583018	1
NCGC00261160-01	0.6786607859	1
NCGC00261619-01	0.6785630325	1
NCGC00261643-01	0.6784277688	1
NCGC00261420-01	0.6778403437	1
NCGC00357149-01	0.6764465452	1
NCGC00261009-01	0.6724889983	1
NCGC00261782-01	0.6719143408	1
NCGC00261752-01	0.6703972038	1
NCGC00260803-01	0.670326956	1
NCGC00261933-01	0.6701713058	1
NCGC00356998-01	0.6699128343	1
NCGC00261189-01	0.6690069005	1
NCGC00261682-01	0.6678305602	1
NCGC00357062-01	0.6676931842	1
NCGC00261071-01	0.666658339	1
NCGC00261058-01	0.6630483672	1
NCGC00261395-01	0.662587907	1
NCGC00357118-01	0.6622380619	1
NCGC00261049-01	0.6616279028	1
NCGC00261944-01	0.6598752106	1
NCGC00260875-01	0.6596380714	1
NCGC00261399-01	0.6591375771	1
NCGC00261737-01	0.6580461144	1
NCGC00260980-01	0.657954165	1
NCGC00357230-01	0.6572093037	1
NCGC00357007-01	0.6563010361	1
NCGC00261381-01	0.6554234255	1
NCGC00260940-01	0.6541085087	1
NCGC00261802-01	0.6527316695	1
NCGC00260921-01	0.6510211853	1
NCGC00261081-01	0.6506482475	1
NCGC00261744-01	0.650382888	1
NCGC00261069-01	0.6487222312	1
NCGC00261343-01	0.648094691	1
NCGC00261506-01	0.6479194441	1
NCGC00261507-01	0.6473785046	1
NCGC00261153-01	0.6465179346	1
NCGC00261119-01	0.6451371146	1
NCGC00261392-01	0.6436213012	1
NCGC00261304-01	0.643061208	1
NCGC00261065-01	0.6424801497	1
NCGC00357081-01	0.6416461532	1
NCGC00261475-01	0.6405962416	1
NCGC00356976-01	0.6405328367	1
NCGC00260698-01	0.6389115322	1
NCGC00261776-01	0.6382103584	1
NCGC00357004-01	0.6325878701	1
NCGC00261544-01	0.6323883163	1
NCGC00261713-01	0.6320442943	1
NCGC00261165-01	0.6315328943	1
NCGC00357178-01	0.6312996843	1
NCGC00260858-01	0.6303332421	1
NCGC00357255-01	0.6293389093	1
NCGC00261900-01	0.6281806539	1
NCGC00357001-01	0.6279050909	1
NCGC00261382-01	0.6276791736	1
NCGC00261192-01	0.6276551066	1
NCGC00261903-01	0.6269661392	1
NCGC00261607-01	0.6258826467	1
NCGC00261260-01	0.625405651	1
NCGC00260979-01	0.6242778739	1
NCGC00261579-01	0.623446713	1
NCGC00261717-01	0.6221450246	1
NCGC00260713-01	0.6217170421	1
NCGC00260889-01	0.6199866839	1
NCGC00261130-01	0.6198983855	1
NCGC00261764-01	0.6198422446	1
NCGC00261333-01	0.6195419567	1
NCGC00261941-01	0.6192294315	1
NCGC00261030-01	0.6189203389	1
NCGC00261008-01	0.6184509438	1
NCGC00261352-01	0.6172816926	1
NCGC00261947-01	0.6172570373	1
NCGC00357019-01	0.6171874996	1
NCGC00260731-01	0.6170362891	1
NCGC00261441-01	0.6170267801	1
NCGC00261155-01	0.6165738695	1
NCGC00261948-01	0.6155901893	1
NCGC00261597-01	0.6145222757	1
NCGC00261510-01	0.6142921812	1
NCGC00261141-01	0.6139711991	1
NCGC00261915-01	0.6131679242	1
NCGC00261332-01	0.6123420666	1
NCGC00260990-01	0.6109490484	1
NCGC00357005-01	0.6108616573	1
NCGC00356948-01	0.61014637	1
NCGC00261882-01	0.6099655188	1
NCGC00261057-01	0.6090539091	1
NCGC00261480-01	0.6083046208	1
NCGC00261638-01	0.6074814365	1
NCGC00261426-01	0.6072072682	1
NCGC00261272-01	0.6065907754	1
NCGC00261693-01	0.6051548757	1
NCGC00260831-01	0.6022035625	1
NCGC00357017-01	0.6020782174	1
NCGC00357013-01	0.6016297396	1
NCGC00260833-01	0.6002518734	1
NCGC00261108-01	0.599878383	1
NCGC00261593-01	0.5997496345	1
NCGC00260798-01	0.5996136561	1
NCGC00357219-01	0.5986514856	1
NCGC00357259-01	0.5964369517	1
NCGC00261641-01	0.5961020416	1
NCGC00261738-01	0.5957849688	1
NCGC00261716-01	0.5951546694	1
NCGC00260815-01	0.5935433502	1
NCGC00261926-01	0.5927482747	1
NCGC00261914-01	0.5922878331	1
NCGC00261110-01	0.5908469276	1
NCGC00261739-01	0.590082042	1
NCGC00261367-01	0.589997525	1
NCGC00261813-01	0.5895597137	1
NCGC00261133-01	0.5894966512	1
NCGC00261201-01	0.5890498315	1
NCGC00261808-01	0.5889314671	1
NCGC00261704-01	0.5886825235	1
NCGC00261683-01	0.5885917105	1
NCGC00260947-01	0.587848923	1
NCGC00357180-01	0.5868329823	1
NCGC00261384-01	0.5864768014	1
NCGC00261389-01	0.5859948606	1
NCGC00261018-01	0.5844231422	1
NCGC00260972-01	0.5828048701	1
NCGC00356992-01	0.5815212275	1
NCGC00260892-01	0.5811059477	1
NCGC00260706-01	0.5804399479	1
NCGC00261170-01	0.5792063762	1
NCGC00261787-01	0.5787995847	1
NCGC00261270-01	0.5787977753	1
NCGC00357014-01	0.5786664007	1
NCGC00260822-01	0.5783216699	1
NCGC00261910-01	0.5781432319	1
NCGC00261817-01	0.5777552042	1
NCGC00261860-01	0.5762710822	0
NCGC00261662-01	0.575780431	0
NCGC00261238-01	0.5749182021	0
NCGC00357249-01	0.5725899668	0
NCGC00261833-01	0.5725531689	0
NCGC00357090-01	0.5722667571	0
NCGC00356999-01	0.5718162526	0
NCGC00261215-01	0.5715576852	0
NCGC00261916-01	0.5711871307	0
NCGC00260869-01	0.5707354341	0
NCGC00260993-01	0.5706994306	0
NCGC00357174-01	0.5703265633	0
NCGC00357280-01	0.5702730269	0
NCGC00357047-01	0.5694867726	0
NCGC00261076-01	0.5680153336	0
NCGC00261602-01	0.5671580813	0
NCGC00261542-01	0.5659080521	0
NCGC00357057-01	0.5654454366	0
NCGC00260866-01	0.5637301699	0
NCGC00261939-01	0.5626304053	0
NCGC00356955-01	0.5621392523	0
NCGC00261297-01	0.5620470415	0
NCGC00261529-01	0.5613280583	0
NCGC00261816-01	0.5609104093	0
NCGC00261248-01	0.5597690861	0
NCGC00357148-01	0.5594089847	0
NCGC00261446-01	0.5581569452	0
NCGC00260785-01	0.5577061438	0
NCGC00260789-01	0.5575435943	0
NCGC00261877-01	0.5569301239	0
NCGC00261150-01	0.5560753465	0
NCGC00357011-01	0.5544685385	0
NCGC00357097-01	0.5521604636	0
NCGC00356956-01	0.551523793	0
NCGC00357089-01	0.5504184484	0
NCGC00357046-01	0.5501721359	0
NCGC00356991-01	0.5499435256	0
NCGC00260830-01	0.5497785819	0
NCGC00261079-01	0.5480559543	0
NCGC00261856-01	0.5479547153	0
NCGC00261037-01	0.5478263522	0
NCGC00260742-01	0.5474809438	0
NCGC00357208-01	0.5465047277	0
NCGC00357099-01	0.5465047277	0
NCGC00261286-01	0.5463415398	0
NCGC00260962-01	0.5454795152	0
NCGC00261679-01	0.5451777722	0
NCGC00261025-01	0.5444173713	0
NCGC00356950-01	0.5439935691	0
NCGC00261451-01	0.5436745608	0
NCGC00356942-01	0.5431015787	0
NCGC00260846-01	0.5408882452	0
NCGC00261169-01	0.5400058163	0
NCGC00261583-01	0.5398174641	0
NCGC00261565-01	0.538049711	0
NCGC00261601-01	0.5374001674	0
NCGC00261545-01	0.5367154643	0
NCGC00357206-01	0.5365226435	0
NCGC00261424-01	0.5359839324	0
NCGC00260707-01	0.5357229589	0
NCGC00261007-01	0.5354746632	0
NCGC00260890-01	0.5346750997	0
NCGC00357253-01	0.534471586	0
NCGC00356947-01	0.5343301662	0
NCGC00261473-01	0.5336545836	0
NCGC00261825-01	0.5333416061	0
NCGC00261327-01	0.5327350255	0
NCGC00357010-01	0.5324947729	0
NCGC00261873-01	0.5321892049	0
NCGC00261820-01	0.5310137037	0
NCGC00357111-01	0.5293648406	0
NCGC00261163-01	0.5293425798	0
NCGC00357021-01	0.5289313702	0
NCGC00261913-01	0.5283621059	0
NCGC00357012-01	0.5274699623	0
NCGC00260852-01	0.5273604743	0
NCGC00357211-01	0.5271516012	0
NCGC00357043-01	0.5269729669	0
NCGC00357199-01	0.5265696625	0
NCGC00261404-01	0.5255320951	0
NCGC00357082-01	0.524475973	0
NCGC00357210-01	0.5244122028	0
NCGC00357177-01	0.5241746375	0
NCGC00261398-01	0.5241684787	0
NCGC00261861-01	0.5240989372	0
NCGC00357251-01	0.5240989372	0
NCGC00261423-01	0.5227786738	0
NCGC00261563-01	0.5222557231	0
NCGC00261826-01	0.5221897444	0
NCGC00357237-01	0.5212988404	0
NCGC00261838-01	0.5210316708	0
NCGC00357123-01	0.5210133629	0
NCGC00261080-01	0.5205071811	0
NCGC00260834-01	0.5190996148	0
NCGC00357056-01	0.5185922527	0
NCGC00357110-01	0.5141694753	0
NCGC00356940-01	0.5140663643	0
NCGC00261290-01	0.5138584056	0
NCGC00357175-01	0.513455234	0
NCGC00261624-01	0.5133305416	0
NCGC00261013-01	0.5125139934	0
NCGC00260911-01	0.512467657	0
NCGC00261330-01	0.5116983969	0
NCGC00357054-01	0.5101047747	0
NCGC00261633-01	0.5089290446	0
NCGC00357221-01	0.5088543104	0
NCGC00261161-01	0.5082721315	0
NCGC00357028-01	0.5076668114	0
NCGC00261123-01	0.5072271011	0
NCGC00261113-01	0.5069380891	0
NCGC00261340-01	0.5065985872	0
NCGC00261958-01	0.5063238923	0
NCGC00357227-01	0.5062787165	0
NCGC00261085-01	0.505831433	0
NCGC00357188-01	0.5056701912	0
NCGC00261003-01	0.5020772225	0
NCGC00356943-01	0.5015277552	0
NCGC00261639-01	0.501481638	0
NCGC00260795-01	0.5012655408	0
NCGC00261842-01	0.5006222813	0
NCGC00357000-01	0.50028107	0
NCGC00357128-01	0.4983303347	0
NCGC00357263-01	0.4970634341	0
NCGC00261541-01	0.4961924957	0
NCGC00357117-01	0.4960031642	0
NCGC00356946-01	0.4950108238	0
NCGC00357282-01	0.4946343971	0
NCGC00356965-01	0.4943463902	0
NCGC00261869-01	0.4934957667	0
NCGC00261142-01	0.4931758093	0
NCGC00357285-01	0.4925359355	0
NCGC00261364-01	0.4917806733	0
NCGC00356977-01	0.4904095212	0
NCGC00261162-01	0.4890554768	0
NCGC00357271-01	0.4873851559	0
NCGC00261824-01	0.4872539827	0
NCGC00261949-01	0.4867620761	0
NCGC00357283-01	0.4863411452	0
NCGC00261177-01	0.4842327405	0
NCGC00261293-01	0.4839603195	0
NCGC00356990-01	0.4838564849	0
NCGC00261730-01	0.4823503948	0
NCGC00261406-01	0.48228761	0
NCGC00357003-01	0.4822376756	0
NCGC00357109-01	0.4813291281	0
NCGC00261336-01	0.4793270106	0
NCGC00261487-01	0.4792993171	0
NCGC00356982-01	0.478879926	0
NCGC00261582-01	0.4785942424	0
NCGC00357026-01	0.4775705168	0
NCGC00357009-01	0.477346376	0
NCGC00260782-01	0.4767989053	0
NCGC00357049-01	0.4753079523	0
NCGC00261649-01	0.4751904257	0
NCGC00357209-01	0.4749488782	0
NCGC00261767-01	0.4744162788	0
NCGC00260811-01	0.4739001869	0
NCGC00357181-01	0.4738408232	0
NCGC00356958-01	0.473591229	0
NCGC00261349-01	0.4733020386	0
NCGC00357252-01	0.4732704716	0
NCGC00357220-01	0.4725760948	0
NCGC00260691-01	0.4722863753	0
NCGC00261321-01	0.4722701415	0
NCGC00261921-01	0.4714449817	0
NCGC00357167-01	0.4712398942	0
NCGC00357045-01	0.4707985845	0
NCGC00357183-01	0.4703768537	0
NCGC00260850-01	0.4699504325	0
NCGC00261663-01	0.4692149387	0
NCGC00261519-01	0.4672000199	0
NCGC00357083-01	0.4664704322	0
