Sample ID	Score	Activity
NCGC00261900-01	0.000984715	0
NCGC00260869-01	0.000345077	0
NCGC00261776-01	0.001767365	0
NCGC00261380-01	0.941523109	1
NCGC00261842-01	1.000000000	1
NCGC00261662-01	0.226918202	0
NCGC00261190-01	0.000917336	0
NCGC00260731-01	0.001053997	0
NCGC00261926-01	0.000144919	0
NCGC00261579-01	0.000383361	0
NCGC00260921-01	0.547722839	1
NCGC00261119-01	0.000365926	0
NCGC00260957-01	0.895394483	1
NCGC00261812-01	0.068414398	0
NCGC00260831-01	0.000614865	0
NCGC00261544-01	0.000674561	0
NCGC00261619-01	0.024601101	0
NCGC00261633-01	0.000152286	0
NCGC00261395-01	0.002528833	0
NCGC00261717-01	0.004494029	0
NCGC00261947-01	0.000972513	0
NCGC00261424-01	0.000189292	0
NCGC00261861-01	0.707106781	1
NCGC00261924-01	0.000601215	0
NCGC00261052-01	0.000101415	0
NCGC00261683-01	0.000539922	0
NCGC00261026-01	0.549070101	1
NCGC00261057-01	0.000105579	0
NCGC00261738-01	0.000110681	0
NCGC00261348-01	0.000031699	0
NCGC00261503-01	0.000037613	0
NCGC00260693-01	0.000086874	0
NCGC00260703-01	0.000066359	0
NCGC00260716-01	0.000041133	0
NCGC00260782-01	0.000047670	0
NCGC00260802-01	0.000051466	0
NCGC00260823-01	0.000048209	0
NCGC00261313-01	0.000048856	0
NCGC00260757-01	0.000048365	0
NCGC00260826-01	0.000049742	0
NCGC00261005-01	0.000048957	0
NCGC00260980-01	0.000354573	0
NCGC00261816-01	0.000335701	0
NCGC00260698-01	0.000133070	0
NCGC00260889-01	0.000454206	0
NCGC00260811-01	0.000271705	0
NCGC00261165-01	0.000052261	0
NCGC00261060-01	0.000025921	0
NCGC00261541-01	0.000072597	0
NCGC00261649-01	0.000023599	0
NCGC00261110-01	0.000115182	0
NCGC00261130-01	0.000434196	0
NCGC00260846-01	0.000456573	0
NCGC00261030-01	0.000142190	0
NCGC00261162-01	0.000529171	0
NCGC00261058-01	0.002748820	0
NCGC00261404-01	0.000431914	0
NCGC00261423-01	0.015326416	0
NCGC00261856-01	0.024339662	0
NCGC00261342-01	0.547722566	1
NCGC00261935-01	0.000118012	0
NCGC00261069-01	0.002496642	0
NCGC00261101-01	0.054618385	0
NCGC00261183-01	0.000198211	0
NCGC00261716-01	0.000174770	0
NCGC00260742-01	0.000657591	0
NCGC00261529-01	0.000574215	0
NCGC00261170-01	0.219988815	0
NCGC00261565-01	0.000121011	0
NCGC00260990-01	0.009124556	0
NCGC00261340-01	0.000598482	0
NCGC00261079-01	0.000159920	0
NCGC00261389-01	0.000035787	0
NCGC00261744-01	0.000051697	0
NCGC00261420-01	0.000291555	0
NCGC00261215-01	1.000000000	1
NCGC00261826-01	0.000397832	0
NCGC00260706-01	0.000173670	0
NCGC00261123-01	0.000082058	0
NCGC00261367-01	0.092723001	0
NCGC00261507-01	0.037408465	0
NCGC00261169-01	0.000216250	0
NCGC00261730-01	0.000399942	0
NCGC00261624-01	0.000055536	0
NCGC00261641-01	0.000066504	0
NCGC00261853-01	0.000101874	0
NCGC00260911-01	0.000421275	0
