Sample ID	Score	Activity
NCGC00261812-01	1.642719211	1
NCGC00357072-01	1.642719211	1
NCGC00356953-01	1.520225661	1
NCGC00357189-01	1.164586196	1
NCGC00357110-01	1.048199528	1
NCGC00357201-01	0.895547611	1
NCGC00357004-01	0.891579419	1
NCGC00356984-01	0.86819145	1
NCGC00260957-01	0.850349038	1
NCGC00356997-01	0.75325231	1
NCGC00357005-01	0.73798081	1
NCGC00356998-01	0.690165131	1
NCGC00357289-01	0.671344804	1
NCGC00357284-01	0.571013183	1
NCGC00261704-01	0.567623084	1
NCGC00260803-01	0.556388803	1
NCGC00357021-01	0.553909769	1
NCGC00357029-01	0.553283291	1
NCGC00357178-01	0.521863758	1
NCGC00261260-01	0.517282294	1
NCGC00357180-01	0.515226448	1
NCGC00261619-01	0.485295859	1
NCGC00357134-01	0.472739769	1
NCGC00261028-01	0.465381871	1
NCGC00260962-01	0.459588249	1
NCGC00261160-01	0.450521206	1
NCGC00261026-01	0.447475604	1
NCGC00260993-01	0.442371212	1
NCGC00357146-01	0.439550781	1
NCGC00261643-01	0.426082995	1
NCGC00260858-01	0.414227558	1
NCGC00260833-01	0.388166339	1
NCGC00357002-01	0.384688751	1
NCGC00261108-01	0.380073647	1
NCGC00357208-01	0.337291271	1
NCGC00357099-01	0.337291271	1
NCGC00357149-01	0.332222864	1
NCGC00261856-01	0.32985775	1
NCGC00261941-01	0.318940387	1
NCGC00261008-01	0.318940292	1
NCGC00261601-01	0.308720381	1
NCGC00260785-01	0.295349899	1
NCGC00357248-01	0.288706884	1
NCGC00357081-01	0.275991375	0
NCGC00260979-01	0.269699276	0
NCGC00260871-01	0.267223329	0
NCGC00261813-01	0.259668994	0
NCGC00357118-01	0.258140096	0
NCGC00261352-01	0.254257923	0
NCGC00357121-01	0.253182077	0
NCGC00260713-01	0.25098452	0
NCGC00261424-01	0.249310925	0
NCGC00261058-01	0.244301984	0
NCGC00357288-01	0.241652559	0
NCGC00261662-01	0.23192203	0
NCGC00357281-01	0.228428748	0
