Sample ID	Score	Activity
NCGC00261348-01	0.3149	0
NCGC00260693-01	0.1719	0
NCGC00261503-01	0.1512	0
NCGC00261119-01	0.5141	1
NCGC00260716-01	0.0151	0
NCGC00260703-01	0.1374	0
NCGC00260823-01	0.0571	0
NCGC00260731-01	0.5798	1
NCGC00261579-01	0.5424	1
NCGC00260782-01	0.0998	0
NCGC00261057-01	0.5261	1
NCGC00261683-01	0.2898	0
NCGC00261738-01	0.5029	1
NCGC00261313-01	0.1274	0
NCGC00260826-01	0.0621	0
NCGC00261633-01	0.2773	0
NCGC00260757-01	0.0446	0
NCGC00261052-01	0.5044	1
NCGC00261005-01	0.2334	0
NCGC00261190-01	0.5063	1
NCGC00260802-01	0.1073	0
NCGC00261842-01	0.514	1
NCGC00261544-01	0.5062	1
NCGC00261541-01	0.2396	0
NCGC00261812-01	0.5627	1
NCGC00261662-01	0.6611	1
NCGC00261649-01	0.2566	0
NCGC00260831-01	0.4918	0
NCGC00261380-01	0.6355	1
NCGC00260869-01	0.3068	0
NCGC00261060-01	0.2465	0
NCGC00260846-01	0.5065	1
NCGC00261162-01	0.1644	0
NCGC00261395-01	0.5118	1
NCGC00261030-01	0.5312	1
NCGC00261856-01	0.5101	1
NCGC00261935-01	0.5077	1
NCGC00261926-01	0.4674	0
NCGC00261423-01	0.5121	1
NCGC00261183-01	0.2848	0
NCGC00261924-01	0.4291	0
NCGC00261069-01	0.5011	1
NCGC00260921-01	0.576	1
NCGC00261110-01	0.5136	1
NCGC00261101-01	0.6155	1
NCGC00260889-01	0.5114	1
NCGC00261619-01	0.5178	1
NCGC00261165-01	0.2685	0
NCGC00260698-01	0.5416	1
NCGC00261776-01	0.4856	0
NCGC00261861-01	0.4379	0
NCGC00261026-01	0.5508	1
NCGC00261079-01	0.4918	0
NCGC00260990-01	0.6141	1
NCGC00261340-01	0.3852	0
NCGC00260811-01	0.5025	1
NCGC00261130-01	0.5105	1
NCGC00260980-01	0.5139	1
NCGC00261730-01	0.1035	0
NCGC00261716-01	0.1499	0
NCGC00260706-01	0.5407	1
NCGC00261816-01	0.3507	0
NCGC00261404-01	0.372	0
NCGC00261565-01	0.5416	1
NCGC00261424-01	0.2974	0
NCGC00261507-01	0.5421	1
NCGC00261744-01	0.3563	0
NCGC00261367-01	0.5941	1
NCGC00261058-01	0.5421	1
NCGC00260789-01	0.3595	0
NCGC00261717-01	0.5095	1
NCGC00261420-01	0.5344	1
NCGC00261123-01	0.4661	0
NCGC00260742-01	0.2917	0
NCGC00261529-01	0.5	0
NCGC00261597-01	0.4567	0
NCGC00261389-01	0.5094	1
NCGC00261169-01	0.5795	1
NCGC00261270-01	0.5733	1
NCGC00261826-01	0.5056	1
NCGC00261641-01	0.5108	1
NCGC00260866-01	0.4642	0
NCGC00261624-01	0.5135	1
NCGC00261947-01	0.5031	1
NCGC00261025-01	0.4015	0
NCGC00261853-01	0.4736	0
NCGC00261364-01	0.3657	0
NCGC00261820-01	0.2014	0
NCGC00260852-01	0.5202	1
NCGC00260911-01	0.5086	1
NCGC00261817-01	0.5517	1
NCGC00261085-01	0.2742	0
NCGC00261189-01	0.4837	0
NCGC00261704-01	0.5103	1
NCGC00261808-01	0.2729	0
NCGC00261290-01	0.3532	0
NCGC00261342-01	0.4109	0
NCGC00261215-01	0.3237	0
NCGC00261866-01	0.5042	1
NCGC00260972-01	0.4122	0
NCGC00261304-01	0.4479	0
NCGC00261392-01	0.5144	1
NCGC00261638-01	0.5313	1
NCGC00261170-01	0.5472	1
NCGC00261384-01	0.4385	0
NCGC00260696-01	0.325	0
NCGC00261113-01	0.1405	0
NCGC00261133-01	0.529	1
NCGC00260940-01	0.4611	0
NCGC00261327-01	0.1895	0
NCGC00261568-01	0.2491	0
NCGC00261178-01	0.5486	1
NCGC00261076-01	0.2265	0
NCGC00261399-01	0.513	1
NCGC00261611-01	0.3055	0
NCGC00261602-01	0.2817	0
NCGC00260798-01	0.3802	0
NCGC00261506-01	0.5274	1
NCGC00261071-01	0.5028	1
NCGC00261160-01	0.5462	1
NCGC00261679-01	0.5462	1
NCGC00261941-01	0.4693	0
NCGC00260790-01	0.5524	1
NCGC00260830-01	0.1982	0
NCGC00261903-01	0.5253	1
NCGC00261081-01	0.4511	0
NCGC00261577-01	0.5522	1
NCGC00260850-01	0.4285	0
NCGC00261607-01	0.5308	1
NCGC00260708-01	0.0533	0
NCGC00260785-01	0.5172	1
NCGC00261192-01	0.224	0
NCGC00261390-01	0.2459	0
NCGC00261782-01	0.5266	1
NCGC00260948-01	0.059	0
NCGC00260881-01	0.3413	0
NCGC00261009-01	0.557	1
NCGC00261166-01	0.436	0
NCGC00261352-01	0.5251	1
NCGC00261272-01	0.5649	1
NCGC00261053-01	0.2371	0
NCGC00261915-01	0.538	1
NCGC00260795-01	0.2986	0
NCGC00261129-01	0.0734	0
NCGC00260858-01	0.5046	1
NCGC00261108-01	0.2842	0
NCGC00260910-01	0.5143	1
NCGC00261510-01	0.2936	0
NCGC00261840-01	0.0803	0
NCGC00260979-01	0.5073	1
NCGC00261238-01	0.5262	1
NCGC00261877-01	0.2691	0
NCGC00261802-01	0.4548	0
NCGC00260957-01	0.7339	1
NCGC00260815-01	0.155	0
NCGC00261343-01	0.3689	0
NCGC00261153-01	0.5055	1
NCGC00261813-01	0.426	0
NCGC00260875-01	0.5164	1
NCGC00261441-01	0.4831	0
NCGC00260993-01	0.535	1
NCGC00261406-01	0.3764	0
NCGC00261914-01	0.2666	0
NCGC00261944-01	0.5113	1
NCGC00261764-01	0.3739	0
NCGC00261332-01	0.548	1
NCGC00261474-01	0.4385	0
NCGC00261260-01	0.541	1
NCGC00261381-01	0.5259	1
NCGC00261321-01	0.1581	0
NCGC00261787-01	0.5443	1
NCGC00260892-01	0.3281	0
NCGC00261451-01	0.659	1
NCGC00261297-01	0.4787	0
NCGC00261049-01	0.2447	0
NCGC00261958-01	0.261	0
NCGC00261682-01	0.4617	0
NCGC00261663-01	0.4235	0
NCGC00261333-01	0.4097	0
NCGC00261426-01	0.5433	1
NCGC00260840-01	0.2346	0
NCGC00261804-01	0.5601	1
NCGC00261065-01	0.5442	1
NCGC00261542-01	0.4843	0
NCGC00261446-01	0.4831	0
NCGC00260692-01	0.0232	0
NCGC00261155-01	0.3614	0
NCGC00260947-01	0.2992	0
NCGC00260775-01	0.2108	0
NCGC00261598-01	0.0878	0
NCGC00260876-01	0.0452	0
NCGC00261475-01	0.4454	0
NCGC00261177-01	0.1694	0
NCGC00261037-01	0.5034	1
NCGC00260834-01	0.4347	0
NCGC00260833-01	0.3808	0
NCGC00261639-01	0.2673	0
NCGC00260871-01	0.6244	1
NCGC00261554-01	0.538	1
NCGC00261126-01	0.6155	1
NCGC00261713-01	0.5633	1
NCGC00260743-01	0.1913	0
NCGC00261732-01	0.0558	0
NCGC00261019-01	0.0929	0
NCGC00261201-01	0.5472	1
NCGC00261838-01	0.3231	0
NCGC00260982-01	0.1067	0
NCGC00261948-01	0.531	1
NCGC00260867-01	0.1926	0
NCGC00260751-01	0.0972	0
NCGC00261718-01	0.4115	0
NCGC00261289-01	0.5786	1
NCGC00261440-01	0.1186	0
NCGC00261643-01	0.5705	1
NCGC00261627-01	0.192	0
NCGC00261176-01	0.0847	0
NCGC00261519-01	0.1104	0
NCGC00261657-01	0.0389	0
NCGC00260803-01	0.5149	1
NCGC00261003-01	0.4454	0
NCGC00261563-01	0.1976	0
NCGC00261382-01	0.2742	0
NCGC00261900-01	0.3087	0
NCGC00261825-01	0.5487	1
NCGC00260770-01	0.2164	0
NCGC00261835-01	0.3758	0
NCGC00261008-01	0.2804	0
NCGC00260707-01	0.1826	0
NCGC00261480-01	0.3243	0
NCGC00261906-01	0.3024	0
NCGC00261882-01	0.2917	0
NCGC00261013-01	0.1763	0
NCGC00261869-01	0.4931	0
NCGC00260713-01	0.5586	1
NCGC00261336-01	0.2158	0
NCGC00261487-01	0.2396	0
NCGC00261873-01	0.2315	0
NCGC00261593-01	0.53	1
NCGC00261248-01	0.1656	0
NCGC00261007-01	0.2403	0
NCGC00261686-01	0.1248	0
NCGC00261949-01	0.3112	0
NCGC00261910-01	0.5127	1
NCGC00261246-01	0.2522	0
NCGC00260822-01	0.5258	1
NCGC00261294-01	0.3827	0
NCGC00260821-01	0.5122	1
NCGC00261916-01	0.5297	1
NCGC00260691-01	0.1462	0
NCGC00261578-01	0.005	0
NCGC00261939-01	0.524	1
NCGC00261330-01	0.5044	1
NCGC00261860-01	0.5575	1
NCGC00261142-01	0.5399	1
NCGC00261833-01	0.2792	0
NCGC00260890-01	0.1092	0
NCGC00261147-01	0.0998	0
NCGC00261601-01	0.2942	0
NCGC00261470-01	0.5076	1
NCGC00261075-01	0.1192	0
NCGC00261349-01	0.5049	1
NCGC00261150-01	0.501	1
NCGC00261286-01	0.5	0
NCGC00261161-01	0.2666	0
NCGC00261018-01	0.5198	1
NCGC00260817-01	0.1857	0
NCGC00261672-01	0.1223	0
NCGC00260728-01	0.0245	0
NCGC00261146-01	0.1129	0
NCGC00261824-01	0.504	1
NCGC00261080-01	0.2622	0
NCGC00261583-01	0.5101	1
