Sample ID	Score	Activity
NCGC00261776-01	0.4959	1
NCGC00261380-01	0.1999	1
NCGC00261842-01	-0.6351	0
NCGC00261662-01	0.6925	1
NCGC00261190-01	0.9273	1
NCGC00260731-01	-0.6061	0
NCGC00261926-01	-0.1955	0
NCGC00261579-01	0.0758	1
NCGC00260921-01	0.2973	1
NCGC00261119-01	-0.1108	0
NCGC00261812-01	0.7496	1
NCGC00260831-01	-0.3681	0
NCGC00261544-01	-0.0793	0
NCGC00261619-01	0.5764	1
NCGC00261395-01	0.3731	1
NCGC00261717-01	-0.0556	0
NCGC00261947-01	0.0771	1
NCGC00261424-01	0.5293	1
NCGC00261861-01	0.5868	1
NCGC00261924-01	-0.0352	0
NCGC00261026-01	0.7698	1
NCGC00261057-01	-0.596	0
NCGC00261738-01	-0.2296	0
NCGC00261348-01	-0.9415	0
NCGC00261503-01	-0.976	0
NCGC00260693-01	-0.7771	0
NCGC00260703-01	-0.7895	0
NCGC00260716-01	-0.7077	0
NCGC00260782-01	-0.6006	0
NCGC00260802-01	-0.6344	0
NCGC00260823-01	-0.617	0
NCGC00260757-01	-0.6694	0
NCGC00260826-01	-0.8107	0
NCGC00260889-01	-0.5317	0
NCGC00260811-01	-0.8158	0
NCGC00261165-01	-0.9287	0
NCGC00261060-01	-0.7677	0
NCGC00261541-01	-0.8768	0
NCGC00261649-01	-0.642	0
NCGC00261110-01	-0.2601	0
NCGC00261130-01	-0.262	0
NCGC00260846-01	-0.2074	0
NCGC00261030-01	0.3064	1
NCGC00261162-01	-0.0141	0
NCGC00261058-01	0.2539	1
NCGC00261404-01	0.7344	1
NCGC00261423-01	0.8915	1
NCGC00261856-01	-0.2928	0
NCGC00261342-01	0.2066	1
NCGC00261069-01	0.5248	1
NCGC00261101-01	0.0586	1
NCGC00261716-01	-0.4815	0
NCGC00260742-01	-0.6721	0
NCGC00261529-01	-0.1458	0
NCGC00261170-01	0.3825	1
NCGC00261565-01	-0.8778	0
NCGC00260990-01	-0.094	0
NCGC00261340-01	0.4363	1
NCGC00261079-01	-0.7075	0
NCGC00261389-01	-0.2849	0
NCGC00261744-01	0.0729	1
NCGC00261420-01	0.6756	1
NCGC00261215-01	-0.6068	0
NCGC00261826-01	0.2399	1
NCGC00261123-01	0.0273	1
NCGC00261367-01	0.7976	1
NCGC00261507-01	-0.1822	0
NCGC00261169-01	0.1213	1
NCGC00261730-01	-0.8591	0
NCGC00261624-01	-0.0221	0
NCGC00261641-01	-0.5372	0
NCGC00261853-01	-0.1732	0
NCGC00260911-01	0.4066	1
NCGC00261384-01	-0.0118	0
NCGC00260785-01	-0.2965	0
NCGC00261025-01	-0.7733	0
NCGC00260789-01	-0.6135	0
NCGC00260866-01	-0.1951	0
NCGC00261189-01	0.4205	1
NCGC00261270-01	0.4913	1
NCGC00261611-01	-0.3211	0
NCGC00261817-01	0.1826	1
NCGC00261866-01	0.5773	1
NCGC00260852-01	-0.0433	0
NCGC00261290-01	0.516	1
NCGC00261304-01	0.0587	1
NCGC00261704-01	0.0525	1
NCGC00260850-01	-0.0702	0
NCGC00260972-01	-0.0448	0
NCGC00261392-01	-0.2085	0
NCGC00261638-01	-0.0759	0
NCGC00261820-01	0.0801	1
NCGC00261808-01	-0.5852	0
NCGC00260790-01	-0.2408	0
NCGC00260940-01	-0.3708	0
NCGC00261081-01	-0.0932	0
NCGC00261506-01	0.142	1
