Sample ID	Score	Activity
NCGC00261900	0.7386	1
NCGC00260869	0.7158	1
NCGC00261776	0.745	1
NCGC00261380	0.9136	1
NCGC00261842	0.802	1
NCGC00261662	0.7364	1
NCGC00261190	0.6038	1
NCGC00260731	0.5322	0
NCGC00261926	0.8152	1
NCGC00261579	0.5622	0
NCGC00260921	0.8034	1
NCGC00261119	0.3662	0
NCGC00260957	0.7516	1
NCGC00261812	0.929	1
NCGC00260831	0.6986	1
NCGC00261544	0.7036	1
NCGC00261619	0.7748	1
NCGC00261633	0.5536	0
NCGC00261395	0.8724	1
NCGC00261717	0.7482	1
NCGC00261947	0.7762	1
NCGC00261424	0.6414	1
NCGC00261861	0.7242	1
NCGC00261924	0.7328	1
NCGC00261052	0.464	0
NCGC00261683	0.871	1
NCGC00261026	0.585	0
NCGC00261057	0.6336	1
NCGC00261738	0.6018	1
NCGC00261348	0.1238	0
NCGC00261503	0.2132	0
NCGC00260693	0.1998	0
NCGC00260703	0.109	0
NCGC00260716	0.018	0
NCGC00260782	0.1246	0
NCGC00260802	0.0102	0
NCGC00260823	0.0582	0
NCGC00261313	0.082	0
NCGC00260757	0.0758	0
NCGC00260826	0.008	0
NCGC00261005	0.1228	0
NCGC00260980	0.519	0
NCGC00261816	0.817	1
NCGC00260698	0.7838	1
NCGC00260889	0.6752	1
NCGC00260811	0.7848	1
NCGC00261165	0.4682	0
NCGC00261060	0.103	0
NCGC00261541	0.2632	0
NCGC00261649	0.0316	0
NCGC00261110	0.7214	1
NCGC00261130	0.626	1
NCGC00260846	0.3674	0
NCGC00261030	0.4708	0
NCGC00261162	0.3212	0
NCGC00261058	0.8556	1
NCGC00261404	0.785	1
NCGC00261423	0.6464	1
NCGC00261856	0.6718	1
NCGC00261342	0.6274	1
NCGC00261935	0.457	0
NCGC00261069	0.4278	0
NCGC00261101	0.8692	1
NCGC00261183	0.8094	1
NCGC00261716	0.7168	1
NCGC00260742	0.5066	0
NCGC00261529	0.8534	1
NCGC00261170	0.836	1
NCGC00261565	0.7798	1
NCGC00260990	0.7754	1
NCGC00261340	0.237	0
NCGC00261079	0.6658	1
NCGC00261389	0.6872	1
NCGC00261744	0.5992	0
NCGC00261420	0.6594	1
NCGC00261215	0.3524	0
NCGC00261826	0.8566	1
NCGC00260706	0.6056	1
NCGC00261123	0.5518	0
NCGC00261367	0.6714	1
NCGC00261507	0.6496	1
NCGC00261169	0.8152	1
NCGC00261730	0.6472	1
NCGC00261624	0.6816	1
NCGC00261641	0.5108	0
NCGC00261853	0.6654	1
NCGC00260911	0.7932	1
NCGC00260798	0.588	0
NCGC00261384	0.8154	1
NCGC00260785	0.7322	1
NCGC00261597	0.4334	0
NCGC00261025	0.5632	0
NCGC00260789	0.7634	1
NCGC00260866	0.7786	1
NCGC00261189	0.777	1
NCGC00261270	0.4134	0
NCGC00261611	0.6218	1
NCGC00261160	0.7734	1
NCGC00261085	0.3438	0
NCGC00261817	0.7198	1
NCGC00261866	0.5444	0
NCGC00260852	0.4778	0
NCGC00261290	0.5378	0
NCGC00261304	0.8278	1
NCGC00261704	0.5028	0
NCGC00260850	0.7606	1
NCGC00260972	0.7898	1
NCGC00261364	0.6026	1
NCGC00261392	0.8094	1
NCGC00261638	0.3986	0
NCGC00261820	0.2668	0
NCGC00261808	0.5664	0
NCGC00260790	0.6648	1
NCGC00260940	0.7166	1
NCGC00261081	0.8336	1
NCGC00261506	0.8944	1
NCGC00261133	0.9274	1
NCGC00261399	0.8678	1
NCGC00260696	0.4582	0
NCGC00261903	0.9236	1
NCGC00261178	0.829	1
NCGC00261568	0.8738	1
NCGC00260830	0.3474	0
NCGC00261113	0.5382	0
NCGC00261327	0.3722	0
NCGC00261602	0.6174	1
NCGC00260858	0.8856	1
NCGC00261071	0.8486	1
NCGC00261076	0.5552	0
NCGC00261192	0.333	0
NCGC00261577	0.5872	0
NCGC00261510	0.7254	1
NCGC00261679	0.5032	0
NCGC00261941	0.798	1
NCGC00261343	0.653	1
NCGC00261607	0.5334	0
NCGC00261782	0.8008	1
NCGC00261914	0.69	1
NCGC00261475	0.7084	1
NCGC00261764	0.8292	1
NCGC00261802	0.7772	1
NCGC00261813	0.6908	1
NCGC00260795	0.772	1
NCGC00261352	0.863	1
NCGC00261009	0.8452	1
NCGC00261944	0.8194	1
NCGC00261166	0.7326	1
NCGC00261332	0.6972	1
NCGC00261333	0.6928	1
NCGC00261260	0.7464	1
NCGC00261915	0.9256	1
NCGC00261238	0.5194	0
NCGC00261682	0.4546	0
NCGC00261049	0.4518	0
NCGC00260910	0.764	1
NCGC00261272	0.6766	1
NCGC00260708	0.0258	0
NCGC00261390	0.0678	0
NCGC00260948	0.0512	0
NCGC00261840	0.29	0
NCGC00260881	0.0352	0
NCGC00261153	0.5438	0
NCGC00261406	0.5506	0
NCGC00261053	0.056	0
NCGC00261129	0.047	0
NCGC00261381	0.7368	1
NCGC00261426	0.8252	1
NCGC00260979	0.9402	1
NCGC00260993	0.835	1
NCGC00261108	0.7622	1
NCGC00261441	0.5942	0
NCGC00261877	0.5278	0
NCGC00260815	0.5178	0
NCGC00261542	0.8374	1
NCGC00261958	0.6366	1
NCGC00261787	0.6478	1
NCGC00261065	0.76	1
NCGC00261804	0.7138	1
NCGC00260875	0.5248	0
NCGC00261451	0.5614	0
NCGC00261739	0.5936	0
NCGC00261948	0.4968	0
NCGC00261382	0.55	0
NCGC00261663	0.3396	0
NCGC00260892	0.5696	0
NCGC00261297	0.709	1
NCGC00261321	0.2946	0
NCGC00261446	0.7356	1
NCGC00261474	0.3488	0
NCGC00260834	0.5794	0
NCGC00260840	0.4544	0
NCGC00260947	0.6778	1
NCGC00261080	0.6446	1
NCGC00261563	0.633	1
NCGC00261873	0.6118	1
NCGC00260803	0.8212	1
NCGC00260833	0.6492	1
NCGC00261008	0.4858	0
NCGC00261155	0.766	1
NCGC00261643	0.8536	1
NCGC00261037	0.3652	0
NCGC00261126	0.7786	1
NCGC00260871	0.5304	0
NCGC00260713	0.5282	0
NCGC00261487	0.544	0
NCGC00261545	0.7624	1
NCGC00261480	0.8068	1
NCGC00261838	0.754	1
NCGC00261627	0.411	0
NCGC00261639	0.166	0
NCGC00261177	0.0254	0
NCGC00260692	0.0506	0
NCGC00260775	0.0076	0
NCGC00260876	0.01	0
NCGC00261598	0.027	0
NCGC00260707	0.7488	1
NCGC00261554	0.2522	0
NCGC00261713	0.8368	1
NCGC00261737	0.6414	1
NCGC00261882	0.7232	1
NCGC00261933	0.6582	1
NCGC00261201	0.43	0
NCGC00261398	0.8076	1
NCGC00261601	0.5738	0
NCGC00261003	0.4678	0
NCGC00261019	0.09	0
NCGC00261519	0.2664	0
NCGC00261732	0.2268	0
NCGC00261718	0.0652	0
NCGC00260743	0.0942	0
NCGC00260751	0.1514	0
NCGC00260867	0.0378	0
NCGC00260982	0.0854	0
