Sample ID	Score	Activity
NCGC00260691	0.09491	0
NCGC00260692	0.01576	0
NCGC00260693	0.14792	0
NCGC00260696	0.45887	0
NCGC00260698	0.57622	1
NCGC00260703	0.11987	0
NCGC00260706	0.20570	0
NCGC00260707	0.44528	0
NCGC00260708	0.01703	0
NCGC00260713	0.60544	1
NCGC00260716	0.01946	0
NCGC00260728	0.07715	0
NCGC00260731	0.27486	0
NCGC00260742	0.59192	1
NCGC00260743	0.06095	0
NCGC00260751	0.05524	0
NCGC00260757	0.01895	0
NCGC00260770	0.04106	0
NCGC00260775	0.02449	0
NCGC00260782	0.06591	0
NCGC00260785	0.65816	1
NCGC00260789	0.45265	0
NCGC00260790	0.62023	1
NCGC00260795	0.60144	1
NCGC00260798	0.57850	1
NCGC00260802	0.04981	0
NCGC00260803	0.54590	1
NCGC00260811	0.45383	0
NCGC00260815	0.37787	0
NCGC00260817	0.11848	0
NCGC00260821	0.09827	0
NCGC00260822	0.59971	1
NCGC00260823	0.04491	0
NCGC00260826	0.02477	0
NCGC00260830	0.46722	0
NCGC00260831	0.48623	0
NCGC00260833	0.49237	0
NCGC00260834	0.47308	0
NCGC00260840	0.43114	0
NCGC00260846	0.27636	0
NCGC00260850	0.49202	0
NCGC00260852	0.31149	0
NCGC00260858	0.69045	1
NCGC00260866	0.47518	0
NCGC00260867	0.03405	0
NCGC00260869	0.38070	0
NCGC00260871	0.50428	1
NCGC00260875	0.35621	0
NCGC00260876	0.00813	0
NCGC00260881	0.04635	0
NCGC00260889	0.41081	0
NCGC00260890	0.26382	0
NCGC00260892	0.42426	0
NCGC00260910	0.52343	1
NCGC00260911	0.44471	0
NCGC00260921	0.46961	0
NCGC00260940	0.61230	1
NCGC00260947	0.61543	1
NCGC00260948	0.02734	0
NCGC00260957	0.85562	1
NCGC00260962	0.59536	1
NCGC00260972	0.58374	1
NCGC00260979	0.49212	0
NCGC00260980	0.56027	1
NCGC00260982	0.21022	0
NCGC00260990	0.57616	1
NCGC00260993	0.44583	0
NCGC00261003	0.17727	0
NCGC00261005	0.08583	0
NCGC00261007	0.22276	0
NCGC00261008	0.50205	1
NCGC00261009	0.64953	1
NCGC00261013	0.19468	0
NCGC00261018	0.38278	0
NCGC00261019	0.17262	0
NCGC00261025	0.23882	0
NCGC00261026	0.57386	1
NCGC00261028	0.19842	0
NCGC00261030	0.28781	0
NCGC00261037	0.28445	0
NCGC00261049	0.60275	1
NCGC00261052	0.19478	0
NCGC00261053	0.10938	0
NCGC00261057	0.42003	0
NCGC00261058	0.71138	1
NCGC00261060	0.10056	0
NCGC00261065	0.57467	1
NCGC00261071	0.66555	1
NCGC00261075	0.25318	0
NCGC00261076	0.30813	0
NCGC00261079	0.31751	0
NCGC00261080	0.48340	0
NCGC00261081	0.68039	1
NCGC00261085	0.25987	0
NCGC00261101	0.73404	1
NCGC00261108	0.38304	0
NCGC00261110	0.44004	0
NCGC00261113	0.26298	0
NCGC00261119	0.36071	0
NCGC00261123	0.45728	0
NCGC00261129	0.09616	0
NCGC00261130	0.53980	1
NCGC00261133	0.57125	1
NCGC00261141	0.59025	1
NCGC00261142	0.56046	1
NCGC00261146	0.14155	0
NCGC00261147	0.32451	0
NCGC00261150	0.38800	0
NCGC00261153	0.40625	0
NCGC00261155	0.38316	0
NCGC00261160	0.67577	1
NCGC00261161	0.20607	0
NCGC00261162	0.37488	0
NCGC00261163	0.60877	1
NCGC00261165	0.33453	0
NCGC00261166	0.57273	1
NCGC00261169	0.60847	1
NCGC00261170	0.65246	1
NCGC00261176	0.03119	0
NCGC00261177	0.06599	0
NCGC00261178	0.76968	1
NCGC00261183	0.47653	0
NCGC00261189	0.48823	0
NCGC00261190	0.32695	0
NCGC00261192	0.51254	1
NCGC00261201	0.27527	0
NCGC00261215	0.49145	0
NCGC00261238	0.33413	0
NCGC00261246	0.06149	0
NCGC00261248	0.22724	0
NCGC00261254	0.25573	0
NCGC00261260	0.78089	1
NCGC00261261	0.25199	0
NCGC00261270	0.17570	0
NCGC00261272	0.31204	0
NCGC00261286	0.32517	0
NCGC00261290	0.39208	0
NCGC00261293	0.35386	0
NCGC00261294	0.14912	0
NCGC00261297	0.46740	0
NCGC00261304	0.70130	1
NCGC00261313	0.09004	0
NCGC00261321	0.26396	0
NCGC00261327	0.24518	0
NCGC00261330	0.22048	0
NCGC00261332	0.49291	0
NCGC00261333	0.67467	1
NCGC00261336	0.06572	0
NCGC00261340	0.09501	0
NCGC00261342	0.43570	0
NCGC00261343	0.47852	0
NCGC00261348	0.08713	0
NCGC00261349	0.32565	0
NCGC00261352	0.66385	1
NCGC00261364	0.33383	0
NCGC00261367	0.62661	1
NCGC00261380	0.80207	1
NCGC00261381	0.69411	1
NCGC00261382	0.59557	1
NCGC00261384	0.57428	1
NCGC00261389	0.55184	1
NCGC00261390	0.03279	0
NCGC00261392	0.59515	1
NCGC00261395	0.56337	1
NCGC00261398	0.57272	1
NCGC00261399	0.68467	1
NCGC00261404	0.43727	0
NCGC00261406	0.28797	0
NCGC00261420	0.35798	0
NCGC00261423	0.33658	0
NCGC00261424	0.51762	1
NCGC00261426	0.56305	1
NCGC00261440	0.02773	0
