Sample ID	Score	Activity
NCGC00261900-01	0.14496	0
NCGC00260869-01	0.10879	0
NCGC00261776-01	0.08933	0
NCGC00261380-01	0.13436	0
NCGC00261842-01	0.034	0
NCGC00261662-01	0.21971	0
NCGC00261190-01	0.0876	0
NCGC00260731-01	0.058	0
NCGC00261926-01	0.06189	0
NCGC00261579-01	0.04291	0
NCGC00260921-01	0.02696	0
NCGC00261119-01	0.03325	0
NCGC00260957-01	0.34006	0
NCGC00261812-01	0.1595	0
NCGC00260831-01	0.07608	0
NCGC00261544-01	0.08268	0
NCGC00261619-01	0.1425	0
NCGC00261633-01	0.05267	0
NCGC00261395-01	0.10854	0
NCGC00261717-01	0.18551	0
NCGC00261947-01	0.19522	0
NCGC00261424-01	0.14244	0
NCGC00261861-01	0.09627	0
NCGC00261924-01	0.06281	0
NCGC00261052-01	0.06122	0
NCGC00261683-01	0.03994	0
NCGC00261026-01	0.28211	0
NCGC00261057-01	0.04552	0
NCGC00261738-01	0.046	0
NCGC00261348-01	0.00332	0
NCGC00261503-01	0.02067	0
NCGC00260693-01	0.02	0
NCGC00260703-01	0.005	0
NCGC00260716-01	0.00133	0
NCGC00260782-01	0.00887	0
NCGC00260802-01	0.00591	0
NCGC00260823-01	0.00733	0
NCGC00261313-01	0.012	0
NCGC00260757-01	0.00267	0
NCGC00260826-01	0.0	0
NCGC00261005-01	0.02787	0
NCGC00260980-01	0.09224	0
NCGC00261816-01	0.056	0
NCGC00260698-01	0.09419	0
NCGC00260889-01	0.05578	0
NCGC00260811-01	0.03233	0
NCGC00261165-01	0.04727	0
NCGC00261060-01	0.02	0
NCGC00261541-01	0.02615	0
NCGC00261649-01	0.01597	0
NCGC00261110-01	0.06217	0
NCGC00261130-01	0.07318	0
NCGC00260846-01	0.05048	0
NCGC00261030-01	0.02613	0
NCGC00261162-01	0.05228	0
NCGC00261058-01	0.08594	0
NCGC00261404-01	0.05044	0
NCGC00261423-01	0.04944	0
NCGC00261856-01	0.07356	0
NCGC00261342-01	0.11354	0
NCGC00261935-01	0.01211	0
NCGC00261069-01	0.055	0
NCGC00261101-01	0.07361	0
NCGC00261183-01	0.04587	0
NCGC00261716-01	0.07682	0
NCGC00260742-01	0.12805	0
NCGC00261529-01	0.031	0
NCGC00261170-01	0.07863	0
NCGC00261565-01	0.0731	0
NCGC00260990-01	0.06433	0
NCGC00261340-01	0.03394	0
NCGC00261079-01	0.03126	0
NCGC00261389-01	0.12872	0
NCGC00261744-01	0.09131	0
NCGC00261420-01	0.04083	0
NCGC00261215-01	0.10839	0
NCGC00261826-01	0.06922	0
NCGC00260706-01	0.0455	0
NCGC00261123-01	0.059	0
NCGC00261367-01	0.27231	0
NCGC00261507-01	0.20491	0
NCGC00261169-01	0.2243	0
NCGC00261730-01	0.03764	0
NCGC00261624-01	0.0582	0
NCGC00261641-01	0.02317	0
NCGC00261853-01	0.05516	0
NCGC00260911-01	0.06204	0
NCGC00260798-01	0.02417	0
NCGC00261384-01	0.05017	0
NCGC00260785-01	0.12022	0
NCGC00261597-01	0.11233	0
NCGC00261025-01	0.02011	0
NCGC00260789-01	0.05013	0
NCGC00260866-01	0.14667	0
NCGC00261189-01	0.08103	0
NCGC00261270-01	0.01816	0
NCGC00261611-01	0.09893	0
NCGC00261160-01	0.12252	0
NCGC00261085-01	0.00744	0
NCGC00261817-01	0.06091	0
NCGC00261866-01	0.04711	0
NCGC00260852-01	0.08889	0
NCGC00261290-01	0.05827	0
NCGC00261304-01	0.12516	0
NCGC00261704-01	0.09929	0
NCGC00260850-01	0.05601	0
NCGC00260972-01	0.03667	0
NCGC00261364-01	0.04778	0
NCGC00261392-01	0.05889	0
NCGC00261638-01	0.08556	0
NCGC00261820-01	0.03958	0
NCGC00261808-01	0.05528	0
