Name	Score	Activity
NCGC00357026	0.96977875	1
NCGC00357259	0.975084092	1
NCGC00357053	0.244693825	0
NCGC00261611	0.111936954	0
NCGC00261563	0.000198542	0
NCGC00261075	0.055377103	0
NCGC00357227	0.004637117	0
NCGC00261495	4.16E-05	0
NCGC00357018	0.731578528	1
NCGC00261544	0.631239144	0
NCGC00261817	0.127843176	0
NCGC00357252	0.459096979	0
NCGC00357140	0.011407552	0
NCGC00357057	0.381637018	0
NCGC00356975	0.001721812	0
NCGC00357062	0.797905198	1
NCGC00357235	0.051781935	0
NCGC00260716	0.002200653	0
NCGC00261336	0.010652711	0
NCGC00357014	0.842243349	1
NCGC00261272	0.758628346	1
NCGC00261238	0.005845018	0
NCGC00261935	0.255760402	0
NCGC00357264	0.229490151	0
NCGC00357182	0.000287965	0
NCGC00357153	0.164231548	0
NCGC00261142	0.301665447	0
NCGC00261752	0.477829533	0
NCGC00356983	0.290995757	0
NCGC00357118	0.130565364	0
NCGC00261828	0.279750703	0
NCGC00357191	0.035218265	0
NCGC00357167	0.132717055	0
NCGC00260911	0.466777138	0
NCGC00357025	0.059101426	0
NCGC00357101	0.002296938	0
NCGC00261065	0.702096412	1
NCGC00357229	0.090238265	0
NCGC00261053	0.000156726	0
NCGC00261183	0.477123268	0
NCGC00357147	0.059186484	0
NCGC00357209	0.25966624	0
NCGC00260822	0.852117086	1
NCGC00356954	0.000218001	0
NCGC00261330	0.19638315	0
NCGC00261835	0.595363727	0
NCGC00357081	0.91045655	1
NCGC00261404	0.337595093	0
NCGC00260713	0.943266247	1
NCGC00357056	0.973273315	1
NCGC00357095	0.005234645	0
NCGC00357138	0.010581336	0
NCGC00261686	0.069449052	0
NCGC00357189	0.879950235	1
NCGC00261582	0.943609186	1
NCGC00260802	0.035747432	0
NCGC00261395	0.852459608	1
NCGC00356951	0.01384672	0
NCGC00261767	0.394416407	0
NCGC00357187	0.012550553	0
NCGC00261638	0.209283022	0
NCGC00261155	0.727710316	1
NCGC00356984	0.878216019	1
NCGC00261704	0.892799405	1
NCGC00357102	0.004249189	0
NCGC00357276	0.013478938	0
NCGC00357251	0.495089078	0
NCGC00260921	0.472696232	0
NCGC00356944	0.109711066	0
NCGC00357260	0.005608782	0
NCGC00261633	0.479437694	0
NCGC00357093	0.006121765	0
NCGC00356985	0.285517037	0
NCGC00357085	0.785443915	1
NCGC00260708	0.000457734	0
NCGC00356980	0.066063538	0
