Sample ID	Score	Activity
NCGC00261900-01	0.05801	0
NCGC00260869-01	0.05691	0
NCGC00261776-01	0.05787	0
NCGC00261380-01	0.06	0
NCGC00261842-01	0.04928	0
NCGC00261662-01	0.06621	0
NCGC00261190-01	0.05519	0
NCGC00260731-01	0.04859	0
NCGC00261926-01	0.05635	0
NCGC00261579-01	0.04961	0
NCGC00260921-01	0.04584	0
NCGC00261119-01	0.04685	0
NCGC00260957-01	0.06647	0
NCGC00261812-01	0.05959	0
NCGC00260831-01	0.05523	0
NCGC00261544-01	0.05343	0
NCGC00261619-01	0.05669	0
NCGC00261633-01	0.0502	0
NCGC00261395-01	0.05644	0
NCGC00261717-01	0.05791	0
NCGC00261947-01	0.05797	0
NCGC00261424-01	0.05445	0
NCGC00261861-01	0.05657	0
NCGC00261924-01	0.05165	0
NCGC00261052-01	0.05436	0
NCGC00261683-01	0.05232	0
NCGC00261026-01	0.06175	0
NCGC00261057-01	0.05161	0
NCGC00261738-01	0.05199	0
NCGC00261348-01	0.03753	0
NCGC00261503-01	0.04647	0
NCGC00260693-01	0.04048	0
NCGC00260703-01	0.03486	0
NCGC00260716-01	0.02479	0
NCGC00260782-01	0.0336	0
NCGC00260802-01	0.02728	0
NCGC00260823-01	0.03067	0
NCGC00261313-01	0.03173	0
NCGC00260757-01	0.0171	0
NCGC00260826-01	0.01876	0
NCGC00261005-01	0.03916	0
NCGC00260980-01	0.05624	0
NCGC00261816-01	0.05466	0
NCGC00260698-01	0.05467	0
NCGC00260889-01	0.05294	0
NCGC00260811-01	0.05127	0
NCGC00261165-01	0.05525	0
NCGC00261060-01	0.04158	0
NCGC00261541-01	0.04394	0
NCGC00261649-01	0.03888	0
NCGC00261110-01	0.05532	0
NCGC00261130-01	0.05658	0
NCGC00260846-01	0.04866	0
NCGC00261030-01	0.03693	0
NCGC00261162-01	0.0451	0
NCGC00261058-01	0.0567	0
NCGC00261404-01	0.05275	0
NCGC00261423-01	0.05116	0
NCGC00261856-01	0.06111	0
NCGC00261342-01	0.05753	0
NCGC00261935-01	0.03108	0
