Sample ID	Score	Activity
NCGC00261900-01	-0.31016	0
NCGC00260869-01	0.26603	1
NCGC00261776-01	-0.08723	0
NCGC00261380-01	0.55614	1
NCGC00261842-01	-1.23506	0
NCGC00261662-01	0.91379	1
NCGC00261190-01	0.37041	1
NCGC00260731-01	-0.31737	0
NCGC00261926-01	-0.36588	0
NCGC00261579-01	-0.40255	0
NCGC00260921-01	-0.23004	0
NCGC00261119-01	-0.05797	0
NCGC00260957-01	1.52733	1
NCGC00261812-01	0.5027	1
NCGC00260831-01	-0.27176	0
NCGC00261544-01	-0.02199	0
NCGC00261619-01	0.35139	1
NCGC00261633-01	-0.56722	0
NCGC00261395-01	0.2652	1
NCGC00261717-01	-0.39249	0
NCGC00261947-01	-0.41842	0
NCGC00261424-01	0.57941	1
NCGC00261861-01	-0.52517	0
NCGC00261924-01	-0.03115	0
NCGC00261052-01	0.00576	1
NCGC00261683-01	-0.60936	0
NCGC00261026-01	0.63953	1
NCGC00261057-01	-1.01861	0
NCGC00261738-01	-0.26294	0
NCGC00261348-01	-1.29891	0
NCGC00261503-01	-0.62529	0
NCGC00260693-01	-1.27961	0
NCGC00260703-01	-1.37962	0
NCGC00260716-01	-1.6446	0
NCGC00260782-01	-0.70139	0
NCGC00260802-01	-0.90668	0
NCGC00260823-01	-1.59643	0
NCGC00261313-01	-0.47209	0
NCGC00260757-01	-0.47785	0
NCGC00260826-01	-0.92112	0
NCGC00261005-01	-1.2542	0
NCGC00260980-01	0.49179	1
NCGC00261816-01	-1.0745	0
NCGC00260698-01	-0.38362	0
NCGC00260889-01	-0.20546	0
NCGC00260811-01	-0.73002	0
NCGC00261165-01	-1.13984	0
NCGC00261060-01	-1.45723	0
NCGC00261541-01	-0.95151	0
NCGC00261649-01	-0.89241	0
NCGC00261110-01	0.50236	1
NCGC00261130-01	0.47092	1
NCGC00260846-01	-0.14927	0
NCGC00261030-01	0.04546	1
NCGC00261162-01	0.80408	1
NCGC00261058-01	-0.26399	0
NCGC00261404-01	-0.74228	0
NCGC00261423-01	0.10658	1
NCGC00261856-01	-0.01887	0
NCGC00261342-01	0.07123	1
NCGC00261935-01	0.09614	1
NCGC00261069-01	0.39614	1
NCGC00261101-01	-0.3191	0
NCGC00261183-01	-0.30892	0
NCGC00261716-01	-0.76199	0
NCGC00260742-01	-1.23082	0
NCGC00261529-01	-0.56756	0
NCGC00261170-01	0.5942	1
NCGC00261565-01	-0.18482	0
NCGC00260990-01	0.3659	1
NCGC00261340-01	0.32385	1
NCGC00261079-01	0.08324	1
NCGC00261389-01	-0.36042	0
NCGC00261744-01	-0.38312	0
NCGC00261420-01	0.0305	1
NCGC00261215-01	-0.59998	0
NCGC00261826-01	-0.96335	0
NCGC00260706-01	-0.6621	0
NCGC00261123-01	0.15839	1
NCGC00261367-01	0.50223	1
NCGC00261507-01	0.49662	1
NCGC00261169-01	-0.0152	0
NCGC00261730-01	0.19067	1
NCGC00261624-01	0.031	1
NCGC00261641-01	-0.63409	0
NCGC00261853-01	0.04556	1
NCGC00260911-01	0.20883	1
NCGC00260798-01	0.12185	1
NCGC00261384-01	-0.57468	0
NCGC00260785-01	-0.72674	0
NCGC00261597-01	0.22702	1
NCGC00261025-01	-0.71559	0
NCGC00260789-01	-0.80591	0
NCGC00260866-01	-0.46515	0
NCGC00261189-01	0.42618	1
NCGC00261270-01	0.3014	1
NCGC00261611-01	-1.34552	0
NCGC00261160-01	0.27494	1
NCGC00261085-01	-1.20516	0
NCGC00261817-01	-0.73419	0
NCGC00261866-01	-0.65283	0
NCGC00260852-01	0.52467	1
NCGC00261290-01	-0.03952	0
NCGC00261304-01	-0.02048	0
NCGC00261704-01	0.27667	1
NCGC00260850-01	-0.75453	0
NCGC00260972-01	-0.65773	0
NCGC00261364-01	-0.36253	0
NCGC00261392-01	-0.63642	0
NCGC00261638-01	0.26513	1
NCGC00261820-01	0.23652	1
NCGC00261808-01	-0.15436	0
NCGC00260790-01	-0.59861	0
NCGC00260940-01	0.1076	1
NCGC00261081-01	-0.96268	0
NCGC00261506-01	-0.384	0
NCGC00261133-01	-0.69197	0
NCGC00261399-01	0.01975	1
NCGC00260696-01	-0.37575	0
NCGC00261903-01	0.31251	1
NCGC00261178-01	-0.62089	0
NCGC00261568-01	0.08782	1
NCGC00260830-01	0.1584	1
NCGC00261113-01	0.39756	1
NCGC00261327-01	-0.08964	0
NCGC00261602-01	0.05236	1
NCGC00260858-01	0.72817	1
