Sample ID	Score	Activity
NCGC00261662-01	0.355355355	0
NCGC00260731-01	0.046880214	0
NCGC00261190-01	0.115115115	0
NCGC00261842-01	0.035535536	0
NCGC00261380-01	0.582582583	1
NCGC00261776-01	0.170003337	0
NCGC00260869-01	0.069069069	0
NCGC00261579-01	0.084584585	0
NCGC00261119-01	0.071071071	0
NCGC00260831-01	0.106106106	0
NCGC00261812-01	0.302802803	0
NCGC00261544-01	0.080747414	0
NCGC00261926-01	0.067400734	0
NCGC00260921-01	0.114114114	0
NCGC00261619-01	0.149149149	0
NCGC00261633-01	0.042876210	0
NCGC00261924-01	0.051718385	0
NCGC00261052-01	0.041708375	0
NCGC00261861-01	0.106439773	0
NCGC00261424-01	0.073573574	0
NCGC00261395-01	0.196529863	0
NCGC00261947-01	0.304137471	0
NCGC00261717-01	0.285118452	0
NCGC00261683-01	0.024524525	0
NCGC00261057-01	0.045545546	0
NCGC00261348-01	0.000500501	0
NCGC00261738-01	0.039706373	0
NCGC00261503-01	0.002502503	0
NCGC00260693-01	0.003336670	0
NCGC00261026-01	0.533033033	1
NCGC00260716-01	0.000500501	0
NCGC00260802-01	0.000000000	0
NCGC00260703-01	0.001001001	0
NCGC00260823-01	0.001001001	0
NCGC00260782-01	0.006339673	0
NCGC00261313-01	0.005005005	0
NCGC00260757-01	0.000333667	0
NCGC00260826-01	0.001835169	0
NCGC00261005-01	0.000000000	0
NCGC00260698-01	0.053887221	0
NCGC00260980-01	0.118952286	0
NCGC00261816-01	0.031698365	0
NCGC00260889-01	0.028361695	0
NCGC00260811-01	0.018018018	0
NCGC00261060-01	0.004004004	0
NCGC00261541-01	0.003503504	0
NCGC00261649-01	0.002502503	0
NCGC00261165-01	0.025525526	0
NCGC00261162-01	0.013346680	0
NCGC00261030-01	0.061895229	0
NCGC00260846-01	0.107107107	0
NCGC00261130-01	0.115115115	0
NCGC00261110-01	0.104270938	0
NCGC00261423-01	0.315815816	0
NCGC00261856-01	0.363697030	0
NCGC00261058-01	0.140140140	0
NCGC00261404-01	0.088254922	0
NCGC00261935-01	0.036703370	0
NCGC00261069-01	0.205205205	0
NCGC00261183-01	0.033033033	0
NCGC00261101-01	0.313313313	0
NCGC00261716-01	0.027360694	0
NCGC00260742-01	0.102602603	0
NCGC00261529-01	0.052052052	0
NCGC00261340-01	0.016016016	0
NCGC00261079-01	0.025525526	0
NCGC00260990-01	0.200700701	0
NCGC00261565-01	0.049382716	0
NCGC00261342-01	0.039039039	0
NCGC00261744-01	0.042542543	0
NCGC00261389-01	0.057223891	0
NCGC00261420-01	0.131965299	0
NCGC00261123-01	0.046880214	0
NCGC00261507-01	0.320820821	0
NCGC00261826-01	0.012512513	0
NCGC00260706-01	0.044210878	0
NCGC00261367-01	0.312312312	0
NCGC00261730-01	0.015015015	0
NCGC00261624-01	0.017517518	0
NCGC00261169-01	0.333500167	0
NCGC00261215-01	0.048548549	0
NCGC00261853-01	0.030864198	0
NCGC00260911-01	0.160160160	0
NCGC00261641-01	0.032532533	0
NCGC00261384-01	0.111945279	0
NCGC00261170-01	0.339839840	0
NCGC00260798-01	0.161661662	0
NCGC00261025-01	0.007507508	0
NCGC00260785-01	0.140140140	0
NCGC00261597-01	0.112112112	0
NCGC00261189-01	0.136636637	0
NCGC00260789-01	0.043543544	0
NCGC00261160-01	0.239239239	0
NCGC00260866-01	0.151484818	0
NCGC00261085-01	0.046046046	0
NCGC00261611-01	0.023023023	0
NCGC00261817-01	0.059059059	0
NCGC00261866-01	0.102602603	0
NCGC00261270-01	0.134634635	0
NCGC00261304-01	0.108108108	0
NCGC00260972-01	0.065565566	0
NCGC00260850-01	0.057557558	0
NCGC00261704-01	0.112946280	0
NCGC00261290-01	0.151151151	0
NCGC00261364-01	0.024524525	0
NCGC00261392-01	0.140140140	0
NCGC00260852-01	0.078578579	0
NCGC00261820-01	0.049382716	0
NCGC00260790-01	0.320820821	0
NCGC00261638-01	0.075075075	0
NCGC00260940-01	0.109609610	0
NCGC00261808-01	0.051051051	0
NCGC00261133-01	0.184017351	0
NCGC00261903-01	0.123456790	0
NCGC00261081-01	0.191191191	0
NCGC00261399-01	0.288121455	0
NCGC00260696-01	0.046546547	0
NCGC00261506-01	0.171171171	0
NCGC00260957-01	0.781781782	1
NCGC00261178-01	0.201201201	0
NCGC00261113-01	0.028528529	0
NCGC00260830-01	0.031031031	0
NCGC00261602-01	0.054054054	0
NCGC00261327-01	0.013013013	0
NCGC00261900-01	0.136636637	0
NCGC00261568-01	0.425425425	0
NCGC00261071-01	0.199699700	0
NCGC00261076-01	0.033533534	0
NCGC00261192-01	0.057057057	0
NCGC00261679-01	0.193193193	0
NCGC00260858-01	0.297464131	0
NCGC00261343-01	0.051551552	0
NCGC00261607-01	0.114280948	0
NCGC00261782-01	0.150483817	0
NCGC00261577-01	0.165665666	0
NCGC00261941-01	0.149649650	0
NCGC00261510-01	0.048048048	0
NCGC00261914-01	0.055555556	0
NCGC00261764-01	0.129129129	0
NCGC00260795-01	0.038038038	0
NCGC00261802-01	0.176009343	0
NCGC00261352-01	0.160160160	0
NCGC00261009-01	0.209709710	0
NCGC00261166-01	0.113279947	0
NCGC00261944-01	0.213213213	0
NCGC00261238-01	0.057557558	0
NCGC00261915-01	0.162162162	0
NCGC00261332-01	0.268935602	0
NCGC00261813-01	0.181181181	0
NCGC00261260-01	0.245078412	0
NCGC00261475-01	0.095095095	0
NCGC00261682-01	0.064898232	0
NCGC00261333-01	0.141641642	0
NCGC00261272-01	0.092425759	0
NCGC00260708-01	0.004337671	0
NCGC00261049-01	0.126459793	0
NCGC00260948-01	0.000000000	0
NCGC00260881-01	0.012012012	0
NCGC00260910-01	0.058558559	0
NCGC00261153-01	0.093593594	0
NCGC00261840-01	0.001001001	0
NCGC00261053-01	0.001001001	0
NCGC00261129-01	0.000000000	0
NCGC00261390-01	0.000000000	0
NCGC00261406-01	0.025525526	0
NCGC00261108-01	0.021021021	0
NCGC00260979-01	0.158158158	0
NCGC00261877-01	0.009009009	0
NCGC00260993-01	0.012012012	0
NCGC00261381-01	0.277610944	0
NCGC00261426-01	0.131464798	0
NCGC00260815-01	0.072072072	0
NCGC00261495-01	0.021354688	0
NCGC00261065-01	0.194694695	0
NCGC00261441-01	0.030530531	0
NCGC00261542-01	0.081081081	0
NCGC00260875-01	0.135468802	0
NCGC00261787-01	0.072072072	0
NCGC00261451-01	0.082082082	0
NCGC00260892-01	0.050550551	0
NCGC00261958-01	0.039372706	0
NCGC00261804-01	0.157657658	0
NCGC00261321-01	0.015015015	0
NCGC00261297-01	0.025025025	0
NCGC00261663-01	0.037037037	0
NCGC00261382-01	0.153653654	0
NCGC00261474-01	0.020020020	0
NCGC00261948-01	0.145979313	0
NCGC00260840-01	0.006006006	0
NCGC00260834-01	0.070070070	0
NCGC00260947-01	0.133633634	0
NCGC00260833-01	0.065065065	0
NCGC00261739-01	0.089589590	0
NCGC00260803-01	0.366366366	0
NCGC00261873-01	0.098098098	0
NCGC00261446-01	0.148481815	0
NCGC00261563-01	0.052052052	0
NCGC00260871-01	0.307307307	0
NCGC00261155-01	0.020020020	0
NCGC00261008-01	0.061394728	0
NCGC00261080-01	0.067067067	0
NCGC00261037-01	0.039372706	0
NCGC00261643-01	0.458458458	1
NCGC00261487-01	0.060727394	0
NCGC00261126-01	0.104437771	0
NCGC00261480-01	0.066566567	0
NCGC00260713-01	0.108108108	0
NCGC00260775-01	0.000000000	0
NCGC00261177-01	0.004004004	0
NCGC00261838-01	0.037037037	0
