Sample ID	Score	Activity
NCGC00261900-01	0.083519000	0
NCGC00260869-01	0.013114725	0
NCGC00261776-01	0.145076219	0
NCGC00261380-01	0.555547482	1
NCGC00261842-01	0.084844230	0
NCGC00261662-01	0.831980448	1
NCGC00260731-01	0.100505452	0
NCGC00261926-01	0.034355739	0
NCGC00261579-01	0.107159203	0
NCGC00261119-01	0.024802680	0
NCGC00260957-01	0.583390298	1
NCGC00261812-01	0.597969434	1
NCGC00260831-01	0.144448685	0
NCGC00261544-01	0.154195866	0
NCGC00261619-01	0.109074491	0
NCGC00261633-01	0.067301835	0
NCGC00261395-01	0.144498842	0
NCGC00261717-01	0.071591361	0
NCGC00261947-01	0.165087536	0
NCGC00261424-01	0.197231987	0
NCGC00261861-01	0.061004566	0
NCGC00261924-01	0.049061106	0
NCGC00261683-01	0.029972537	0
NCGC00261026-01	0.307188511	0
NCGC00261057-01	0.035584848	0
NCGC00261738-01	0.008238827	0
NCGC00261348-01	0.004224881	0
NCGC00261503-01	0.001665450	0
NCGC00260693-01	0.009157553	0
NCGC00260703-01	0.003903735	0
NCGC00260716-01	0.007217226	0
NCGC00260782-01	0.005683459	0
NCGC00260802-01	0.005052097	0
NCGC00260823-01	0.004629054	0
NCGC00261313-01	0.009567350	0
NCGC00260757-01	0.004098994	0
NCGC00260826-01	0.002846026	0
NCGC00261005-01	0.001687459	0
NCGC00260980-01	0.031655062	0
NCGC00261816-01	0.041690993	0
NCGC00260698-01	0.021860989	0
NCGC00260889-01	0.047248492	0
NCGC00260811-01	0.028207765	0
NCGC00261165-01	0.009244882	0
NCGC00261060-01	0.012325187	0
NCGC00261541-01	0.013584694	0
NCGC00261649-01	0.011872063	0
NCGC00261110-01	0.037183650	0
NCGC00261130-01	0.041140170	0
NCGC00261162-01	0.020232943	0
NCGC00261058-01	0.134384397	0
NCGC00261404-01	0.052003714	0
NCGC00261423-01	0.197555358	0
NCGC00261856-01	0.253968574	0
NCGC00261342-01	0.072560270	0
NCGC00261935-01	0.019206620	0
NCGC00261101-01	0.214744731	0
NCGC00261183-01	0.067460967	0
NCGC00261716-01	0.034850171	0
NCGC00260742-01	0.061074079	0
NCGC00261529-01	0.060475475	0
NCGC00261170-01	0.360735835	0
NCGC00261565-01	0.027607904	0
NCGC00260990-01	0.287520095	0
NCGC00261340-01	0.073544034	0
NCGC00261079-01	0.044559441	0
NCGC00261389-01	0.037537532	0
NCGC00261744-01	0.036781646	0
NCGC00261420-01	0.042014184	0
NCGC00261215-01	0.029199406	0
NCGC00261826-01	0.025481959	0
NCGC00260706-01	0.052192350	0
NCGC00261123-01	0.013361997	0
NCGC00261367-01	0.460263243	0
NCGC00261507-01	0.186421731	0
NCGC00261169-01	0.072756110	0
NCGC00261730-01	0.026263135	0
NCGC00261624-01	0.024119714	0
NCGC00261641-01	0.004378521	0
NCGC00261853-01	0.038594714	0
NCGC00260911-01	0.112779179	0
NCGC00260798-01	0.161836916	0
NCGC00261384-01	0.041624958	0
NCGC00260785-01	0.215068139	0
NCGC00261597-01	0.039065119	0
NCGC00261025-01	0.020246015	0
NCGC00260789-01	0.028469934	0
NCGC00260866-01	0.094600070	0
NCGC00261189-01	0.098569350	0
NCGC00261270-01	0.078315149	0
NCGC00261611-01	0.046921170	0
NCGC00261160-01	0.631437412	1
NCGC00261085-01	0.016602439	0
NCGC00261817-01	0.044058975	0
NCGC00261866-01	0.054341528	0
NCGC00260852-01	0.036036312	0
NCGC00261290-01	0.258063538	0
NCGC00261304-01	0.103026100	0
NCGC00261704-01	0.067210828	0
