Sample ID	Score	Activity
NCGC00261900	0.5444	0
NCGC00260869	0.343	0
NCGC00261776	0.8608	1
NCGC00261380	0.9702	1
NCGC00261842	0.8954	1
NCGC00261662	0.7844	1
NCGC00261190	0.6918	1
NCGC00260731	0.7714	1
NCGC00261926	0.8512	1
NCGC00261579	0.764	1
NCGC00260921	0.8578	1
NCGC00261119	0.3176	0
NCGC00260957	0.6752	1
NCGC00261812	0.9422	1
NCGC00260831	0.8696	1
NCGC00261544	0.5828	0
NCGC00261619	0.7966	1
NCGC00261633	0.4308	0
NCGC00261395	0.9664	1
NCGC00261717	0.6702	1
NCGC00261947	0.712	1
NCGC00261424	0.725	1
NCGC00261861	0.3794	0
NCGC00261924	0.684	1
NCGC00261052	0.4298	0
NCGC00261683	0.6268	1
NCGC00261026	0.7302	1
NCGC00261057	0.744	1
NCGC00261738	0.7628	1
NCGC00261348	0.0832	0
NCGC00261503	0.2484	0
NCGC00260693	0.1662	0
NCGC00260703	0.0492	0
NCGC00260716	0.002	0
NCGC00260782	0.1204	0
NCGC00260802	0.0232	0
NCGC00260823	0.0434	0
NCGC00261313	0.0262	0
NCGC00260757	0.0936	0
NCGC00260826	0.0054	0
NCGC00261005	0.1436	0
NCGC00260980	0.701	1
NCGC00261816	0.876	1
NCGC00260698	0.8664	1
NCGC00260889	0.8978	1
NCGC00260811	0.776	1
NCGC00261165	0.4598	0
NCGC00261060	0.218	0
NCGC00261541	0.2608	0
NCGC00261649	0.0556	0
NCGC00261110	0.7826	1
NCGC00261130	0.6736	1
NCGC00260846	0.2836	0
NCGC00261030	0.4492	0
NCGC00261162	0.207	0
NCGC00261058	0.9152	1
NCGC00261404	0.761	1
NCGC00261423	0.7846	1
NCGC00261856	0.8144	1
NCGC00261342	0.6652	1
NCGC00261935	0.0562	0
NCGC00261069	0.4762	0
NCGC00261101	0.7636	1
NCGC00261183	0.8582	1
NCGC00261716	0.8272	1
NCGC00260742	0.5864	0
NCGC00261529	0.8434	1
NCGC00261170	0.7412	1
NCGC00261565	0.856	1
NCGC00260990	0.7944	1
NCGC00261340	0.3282	0
NCGC00261079	0.9004	1
NCGC00261389	0.7866	1
NCGC00261744	0.7994	1
NCGC00261420	0.8278	1
NCGC00261215	0.6576	1
NCGC00261826	0.9046	1
NCGC00260706	0.6616	1
NCGC00261123	0.4636	0
NCGC00261367	0.8122	1
NCGC00261507	0.7552	1
NCGC00261169	0.6008	1
NCGC00261730	0.473	0
NCGC00261624	0.8124	1
NCGC00261641	0.7144	1
NCGC00261853	0.8784	1
NCGC00260911	0.6806	1
NCGC00260798	0.516	0
NCGC00261384	0.8874	1
NCGC00260785	0.7862	1
NCGC00261597	0.4494	0
NCGC00261025	0.8212	1
NCGC00260789	0.6576	1
NCGC00260866	0.6986	1
NCGC00261189	0.8146	1
