Sample ID	Score	Activity
NCGC00261607-01	-0.0812	0
NCGC00261007-01	-0.08	0
NCGC00261624-01	-0.0736	0
NCGC00261201-01	-0.0578	0
NCGC00261510-01	-0.0573	0
NCGC00357153-01	-0.0564	0
NCGC00260821-01	-0.0554	0
NCGC00260698-01	-0.0528	0
NCGC00261730-01	-0.0457	0
NCGC00261076-01	-0.0448	0
NCGC00260830-01	-0.0446	0
NCGC00357003-01	-0.0409	0
NCGC00357227-01	-0.0383	0
NCGC00357256-01	-0.0378	0
NCGC00261495-01	-0.0377	0
NCGC00357061-01	-0.0375	0
NCGC00261321-01	-0.0366	0
NCGC00261738-01	-0.0353	0
NCGC00357074-01	-0.0341	0
NCGC00261176-01	-0.0322	0
NCGC00357041-01	-0.0322	0
NCGC00260770-01	-0.0319	0
NCGC00356995-01	-0.0304	0
NCGC00357226-01	-0.0302	0
NCGC00357202-01	-0.0301	0
NCGC00357236-01	-0.029	0
NCGC00261639-01	-0.0286	0
NCGC00357129-01	-0.0275	0
NCGC00261110-01	-0.0272	0
NCGC00261177-01	-0.0267	0
NCGC00357066-01	-0.0258	0
NCGC00356963-01	-0.0253	0
NCGC00260789-01	-0.0249	0
NCGC00260850-01	-0.0245	0
NCGC00357185-01	-0.0243	0
NCGC00260881-01	-0.0241	0
NCGC00261820-01	-0.0238	0
NCGC00261192-01	-0.0234	0
NCGC00260982-01	-0.0233	0
NCGC00356975-01	-0.0218	0
NCGC00357158-01	-0.0213	0
NCGC00357152-01	-0.0207	0
NCGC00357176-01	-0.0198	0
NCGC00357032-01	-0.0196	0
NCGC00261808-01	-0.0189	0
NCGC00261130-01	-0.0182	0
NCGC00357108-01	-0.0181	0
NCGC00357105-01	-0.018	0
NCGC00357132-01	-0.0171	0
NCGC00357075-01	-0.0162	0
NCGC00357155-01	-0.0161	0
NCGC00357022-01	-0.0159	0
NCGC00261949-01	-0.0158	0
NCGC00357283-01	-0.0157	0
NCGC00261013-01	-0.0154	0
NCGC00357078-01	-0.015	0
NCGC00357260-01	-0.0143	0
NCGC00357211-01	-0.0143	0
NCGC00261384-01	-0.014	0
NCGC00261348-01	-0.0136	0
NCGC00357225-01	-0.013	0
NCGC00357144-01	-0.013	0
NCGC00356979-01	-0.0126	0
NCGC00261053-01	-0.0122	0
NCGC00357166-01	-0.0122	0
NCGC00260890-01	-0.0121	0
NCGC00356971-01	-0.0121	0
NCGC00357107-01	-0.0119	0
NCGC00261470-01	-0.0117	0
NCGC00261824-01	-0.0116	0
NCGC00357121-01	-0.0115	0
NCGC00357094-01	-0.0114	0
NCGC00261826-01	-0.0113	0
NCGC00357076-01	-0.0111	0
NCGC00357071-01	-0.0111	0
NCGC00357162-01	-0.011	0
NCGC00261057-01	-0.0109	0
NCGC00357068-01	-0.0108	0
NCGC00357106-01	-0.0106	0
NCGC00357050-01	-0.0105	0
NCGC00357100-01	-0.0102	0
NCGC00357079-01	-0.0098	0
NCGC00261028-01	-0.0097	0
NCGC00357104-01	-0.0093	0
NCGC00356951-01	-0.0091	0
NCGC00357048-01	-0.0088	0
NCGC00356960-01	-0.0086	0
NCGC00261003-01	-0.0085	0
NCGC00357168-01	-0.0084	0
NCGC00357182-01	-0.0083	0
NCGC00357245-01	-0.0082	0
NCGC00357254-01	-0.008	0
NCGC00357264-01	-0.0079	0
NCGC00260815-01	-0.0078	0
NCGC00357279-01	-0.0078	0
NCGC00357138-01	-0.0077	0
NCGC00261565-01	-0.0076	0
NCGC00357139-01	-0.0074	0
NCGC00357265-01	-0.0073	0
NCGC00357115-01	-0.0073	0
NCGC00357133-01	-0.0071	0
NCGC00261732-01	-0.007	0
NCGC00261693-01	-0.007	0
NCGC00357223-01	-0.007	0
NCGC00357249-01	-0.007	0
NCGC00261327-01	-0.0069	0
NCGC00357285-01	-0.0066	0
NCGC00260751-01	-0.0065	0
NCGC00357098-01	-0.0064	0
NCGC00356966-01	-0.0062	0
NCGC00357270-01	-0.0062	0
NCGC00357120-01	-0.0061	0
NCGC00357170-01	-0.0057	0
NCGC00357084-01	-0.0055	0
NCGC00357000-01	-0.0055	0
NCGC00356982-01	-0.0055	0
NCGC00357194-01	-0.0055	0
NCGC00261313-01	-0.0054	0
NCGC00357030-01	-0.0052	0
NCGC00261019-01	-0.005	0
NCGC00261025-01	-0.0048	0
NCGC00357247-01	-0.0048	0
NCGC00357190-01	-0.0046	0
NCGC00261165-01	-0.0044	0
NCGC00357063-01	-0.0042	0
NCGC00261582-01	-0.0039	0
NCGC00357266-01	-0.0039	0
NCGC00260757-01	-0.0038	0
NCGC00356952-01	-0.0037	0
NCGC00357274-01	-0.0036	0
NCGC00260826-01	-0.0033	0
NCGC00357142-01	-0.0033	0
NCGC00357034-01	-0.0032	0
NCGC00261150-01	-0.0031	0
NCGC00261161-01	-0.0029	0
NCGC00357035-01	-0.0028	0
NCGC00260867-01	-0.0027	0
NCGC00357184-01	-0.0027	0
NCGC00357278-01	-0.0026	0
NCGC00356941-01	-0.0026	0
NCGC00357169-01	-0.0026	0
NCGC00357086-01	-0.0026	0
NCGC00357267-01	-0.0025	0
NCGC00357088-01	-0.0025	0
NCGC00261686-01	-0.0024	0
NCGC00357143-01	-0.0024	0
NCGC00357102-01	-0.0023	0
NCGC00261336-01	-0.0022	0
NCGC00357173-01	-0.0021	0
NCGC00357023-01	-0.0021	0
NCGC00356980-01	-0.0021	0
NCGC00356976-01	-0.0019	0
NCGC00261718-01	-0.0018	0
