Sample ID	Score	Activity
NCGC00261900-01	0.009102265	0
NCGC00260869-01	0.008205903	0
NCGC00261776-01	0.007714917	0
NCGC00261380-01	0.014611543	0
NCGC00261842-01	0.455168717	1
NCGC00261662-01	0.246448348	1
NCGC00261190-01	0.476049554	1
NCGC00260731-01	0.075831946	0
NCGC00261926-01	0.007456985	0
NCGC00261579-01	0.011392247	0
NCGC00260921-01	0.060621839	0
NCGC00261119-01	0.008362735	0
NCGC00260957-01	0.125921721	1
NCGC00261812-01	0.087618470	0
NCGC00260831-01	0.289153937	1
NCGC00261544-01	0.008033455	0
NCGC00261619-01	0.207036471	1
NCGC00261633-01	0.007356881	0
NCGC00261395-01	0.007766118	0
NCGC00261717-01	0.320880938	1
NCGC00261947-01	0.013774501	0
NCGC00261424-01	0.269488190	1
NCGC00261861-01	0.298313506	1
NCGC00261924-01	0.008295316	0
NCGC00261052-01	0.008327060	0
NCGC00261683-01	0.054780443	0
NCGC00261026-01	0.435011210	1
NCGC00261057-01	0.007342355	0
NCGC00261738-01	0.018057606	0
NCGC00261348-01	0.007451232	0
NCGC00261503-01	0.007509635	0
NCGC00260693-01	0.007450684	0
NCGC00260703-01	0.007450661	0
NCGC00260716-01	0.007342240	0
NCGC00260782-01	0.007453714	0
NCGC00260802-01	0.007450654	0
NCGC00260823-01	0.007450961	0
NCGC00261313-01	0.007453510	0
NCGC00260757-01	0.007450717	0
NCGC00260826-01	0.007450658	0
NCGC00261005-01	0.007452645	0
NCGC00260980-01	0.007459290	0
NCGC00261816-01	0.007461716	0
NCGC00260698-01	0.007512810	0
NCGC00260889-01	0.007371309	0
NCGC00260811-01	0.007880733	0
NCGC00261165-01	0.016484155	0
NCGC00261060-01	0.011930528	0
NCGC00261541-01	0.007451698	0
NCGC00261649-01	0.007453506	0
NCGC00261110-01	0.008095708	0
NCGC00261130-01	0.011153375	0
NCGC00260846-01	0.008086333	0
NCGC00261030-01	0.013580840	0
NCGC00261162-01	0.068343460	0
NCGC00261058-01	0.007566033	0
NCGC00261404-01	0.007382058	0
NCGC00261423-01	0.008939259	0
NCGC00261856-01	0.011754196	0
NCGC00261342-01	0.008919664	0
NCGC00261935-01	0.007493375	0
NCGC00261069-01	0.121425249	1
NCGC00261101-01	0.007818508	0
NCGC00261183-01	0.007505377	0
NCGC00261716-01	0.007526646	0
NCGC00260742-01	0.007537047	0
NCGC00261529-01	0.008729291	0
NCGC00261170-01	0.008306819	0
NCGC00261565-01	0.007365300	0
NCGC00260990-01	0.066029013	0
NCGC00261340-01	0.015395569	0
NCGC00261079-01	0.007349051	0
NCGC00261389-01	0.007355736	0
NCGC00261744-01	0.007342254	0
NCGC00261420-01	0.007506827	0
NCGC00261215-01	0.008196370	0
NCGC00261826-01	0.007452343	0
NCGC00260706-01	0.007346429	0
NCGC00261123-01	0.008432227	0
NCGC00261367-01	0.007458507	0
NCGC00261507-01	0.007468209	0
NCGC00261169-01	0.007554424	0
NCGC00261730-01	0.007454531	0
NCGC00261624-01	0.007451011	0
NCGC00261641-01	0.007457258	0
NCGC00261853-01	0.008856245	0
NCGC00260911-01	0.007469459	0
NCGC00260798-01	0.007574997	0
NCGC00261384-01	0.007355788	0
NCGC00260785-01	0.030419379	0
NCGC00261597-01	0.017362426	0
NCGC00261025-01	0.007344286	0
NCGC00260789-01	0.012674063	0
NCGC00260866-01	0.011863286	0
NCGC00261189-01	0.007935109	0
NCGC00261270-01	0.013835381	0
NCGC00261611-01	0.007480539	0
NCGC00261160-01	0.340373323	1
NCGC00261085-01	0.007342053	0
NCGC00261817-01	0.007405645	0
NCGC00261866-01	0.007361273	0
NCGC00260852-01	0.007906495	0
NCGC00261290-01	0.008175440	0
NCGC00261304-01	0.048645397	0
NCGC00261704-01	0.008024908	0
NCGC00260850-01	0.007647290	0
NCGC00260972-01	0.007385386	0
NCGC00261364-01	0.007342046	0
NCGC00261392-01	0.008679541	0
NCGC00261638-01	0.007638753	0
NCGC00261820-01	0.007450824	0
NCGC00261808-01	0.008474510	0
NCGC00260790-01	0.010007225	0
NCGC00260940-01	0.117001126	1
NCGC00261081-01	0.007466773	0
NCGC00261506-01	0.071304975	0
NCGC00261133-01	0.007587095	0
