Sample ID	Score	Activity
NCGC00261776-01	0.996	1
NCGC00261380-01	-1.317	0
NCGC00261842-01	-1.117	0
NCGC00261662-01	1.28	1
NCGC00261190-01	3.807	1
NCGC00260731-01	-1.492	0
NCGC00261926-01	-2.042	0
NCGC00261579-01	0.295	1
NCGC00260921-01	1.236	1
NCGC00261119-01	-0.16	0
NCGC00261812-01	3.385	1
NCGC00260831-01	1.516	1
NCGC00261544-01	-0.109	0
NCGC00261619-01	1.352	1
NCGC00261395-01	1.113	1
NCGC00261717-01	0.928	1
NCGC00261947-01	3.964	1
NCGC00261424-01	2.735	1
NCGC00261861-01	-0.113	0
NCGC00261924-01	-0.643	0
NCGC00261026-01	10.256	1
NCGC00261057-01	-2.593	0
NCGC00261738-01	1.313	1
NCGC00261348-01	-1.484	0
NCGC00261503-01	1.553	1
NCGC00260693-01	-3.204	0
NCGC00260703-01	-3.137	0
NCGC00260716-01	-0.581	0
NCGC00260782-01	-0.723	0
NCGC00260802-01	-0.947	0
NCGC00260823-01	-0.277	0
NCGC00260757-01	-0.899	0
NCGC00260826-01	-0.965	0
NCGC00260889-01	-0.936	0
NCGC00260811-01	0.835	1
NCGC00261165-01	-0.803	0
NCGC00261060-01	1.867	1
NCGC00261541-01	-1.238	0
NCGC00261649-01	0.442	1
NCGC00261110-01	0.737	1
NCGC00261130-01	0.897	1
NCGC00260846-01	0.041	1
NCGC00261030-01	0.75	1
NCGC00261162-01	0.616	1
NCGC00261058-01	-0.48	0
NCGC00261404-01	0.761	1
NCGC00261423-01	-1.774	0
NCGC00261856-01	-1.22	0
NCGC00261342-01	0.133	1
NCGC00261069-01	1.131	1
NCGC00261101-01	-0.297	0
NCGC00261716-01	-1.512	0
NCGC00260742-01	-3.698	0
NCGC00261529-01	-1.688	0
NCGC00261170-01	-0.421	0
NCGC00261565-01	-1.301	0
NCGC00260990-01	-0.015	0
NCGC00261340-01	0.842	1
NCGC00261079-01	-1.621	0
NCGC00261389-01	-1.143	0
NCGC00261744-01	0.414	1
NCGC00261420-01	-0.921	0
NCGC00261215-01	-2.539	0
NCGC00261826-01	-0.779	0
NCGC00261123-01	1.465	1
NCGC00261367-01	-1.937	0
NCGC00261507-01	-3.26	0
NCGC00261169-01	-1.43	0
NCGC00261730-01	-1.361	0
NCGC00261624-01	-1.339	0
NCGC00261641-01	-0.895	0
NCGC00261853-01	-1.562	0
NCGC00260911-01	1.23	1
NCGC00261384-01	-0.407	0
NCGC00260785-01	-0.475	0
NCGC00261025-01	-2.394	0
NCGC00260789-01	2.726	1
NCGC00260866-01	2.773	1
NCGC00261189-01	0.825	1
NCGC00261270-01	0.226	1
NCGC00261611-01	-0.734	0
NCGC00261817-01	-0.041	0
NCGC00261866-01	0.021	1
NCGC00260852-01	1.697	1
NCGC00261290-01	-0.142	0
NCGC00261304-01	-0.36	0
NCGC00261704-01	2.018	1
NCGC00260850-01	-1.125	0
NCGC00260972-01	-1.029	0
NCGC00261392-01	-2.424	0
NCGC00261638-01	1.096	1
NCGC00261820-01	1.042	1
NCGC00261808-01	1.331	1
NCGC00260790-01	-0.252	0
NCGC00260940-01	-0.313	0
NCGC00261081-01	-2.529	0
NCGC00261506-01	2.183	1
NCGC00261133-01	1.01	1
NCGC00261399-01	1.089	1
NCGC00260696-01	0.652	1
NCGC00261903-01	1.36	1
NCGC00261178-01	-0.806	0
NCGC00261568-01	-0.814	0
NCGC00260830-01	-1.941	0
NCGC00261113-01	-1.726	0
NCGC00261327-01	-1.637	0
NCGC00261602-01	-0.252	0
NCGC00260858-01	3.129	1
NCGC00261071-01	4.214	1
NCGC00261076-01	-1.464	0
NCGC00261192-01	-2.813	0
NCGC00261577-01	1.437	1
NCGC00261510-01	-1.927	0
