Sample ID	Score	Activity
NCGC00260691	0.15584	0
NCGC00260692	0.12495	0
NCGC00260693	0.16307	0
NCGC00260696	0.59647	1
NCGC00260698	0.56226	1
NCGC00260703	0.12859	0
NCGC00260706	0.43297	0
NCGC00260707	0.50478	1
NCGC00260708	0.04633	0
NCGC00260713	0.67230	1
NCGC00260716	0.02463	0
NCGC00260728	0.15957	0
NCGC00260731	0.58839	1
NCGC00260742	0.55401	1
NCGC00260743	0.26717	0
NCGC00260751	0.12399	0
NCGC00260757	0.05746	0
NCGC00260770	0.32522	0
NCGC00260775	0.08752	0
NCGC00260782	0.17925	0
NCGC00260785	0.65822	1
NCGC00260789	0.49242	0
NCGC00260790	0.53522	1
NCGC00260795	0.65647	1
NCGC00260798	0.66062	1
NCGC00260802	0.07912	0
NCGC00260803	0.51800	1
NCGC00260811	0.41198	0
NCGC00260815	0.63039	1
NCGC00260817	0.29743	0
NCGC00260821	0.27391	0
NCGC00260822	0.80663	1
NCGC00260823	0.17493	0
NCGC00260826	0.08587	0
NCGC00260830	0.51650	1
NCGC00260831	0.66717	1
NCGC00260833	0.65155	1
NCGC00260834	0.58234	1
NCGC00260840	0.57143	1
NCGC00260846	0.43611	0
NCGC00260850	0.61928	1
NCGC00260852	0.48710	0
NCGC00260858	0.72046	1
NCGC00260866	0.55932	1
NCGC00260867	0.07716	0
NCGC00260869	0.53218	1
NCGC00260871	0.58227	1
NCGC00260875	0.58217	1
NCGC00260876	0.13378	0
NCGC00260881	0.25370	0
NCGC00260889	0.41547	0
NCGC00260890	0.40010	0
NCGC00260892	0.47658	0
NCGC00260910	0.56574	1
NCGC00260911	0.37330	0
NCGC00260921	0.68865	1
NCGC00260940	0.66137	1
NCGC00260947	0.62458	1
NCGC00260948	0.17222	0
NCGC00260957	0.73223	1
NCGC00260962	0.70462	1
NCGC00260972	0.65708	1
NCGC00260979	0.79364	1
NCGC00260980	0.68932	1
NCGC00260982	0.34485	0
NCGC00260990	0.72986	1
NCGC00260993	0.40455	0
NCGC00261003	0.45332	0
NCGC00261005	0.28260	0
NCGC00261007	0.24383	0
NCGC00261008	0.69193	1
NCGC00261009	0.72970	1
NCGC00261013	0.41404	0
NCGC00261018	0.26856	0
NCGC00261019	0.32167	0
NCGC00261025	0.31110	0
NCGC00261026	0.75246	1
NCGC00261028	0.53712	1
NCGC00261030	0.53627	1
NCGC00261037	0.41006	0
NCGC00261049	0.68298	1
NCGC00261052	0.42486	0
NCGC00261053	0.12467	0
NCGC00261057	0.52241	1
NCGC00261058	0.59996	1
NCGC00261060	0.23885	0
NCGC00261065	0.72442	1
NCGC00261071	0.76470	1
NCGC00261075	0.24094	0
NCGC00261076	0.40843	0
NCGC00261079	0.35483	0
NCGC00261080	0.57993	1
NCGC00261081	0.55836	1
NCGC00261085	0.22026	0
NCGC00261101	0.53100	1
NCGC00261108	0.46546	0
NCGC00261110	0.43262	0
NCGC00261113	0.48883	0
NCGC00261119	0.65937	1
NCGC00261123	0.73636	1
NCGC00261129	0.10980	0
NCGC00261130	0.60752	1
NCGC00261133	0.58370	1
NCGC00261141	0.47866	0
NCGC00261142	0.69165	1
NCGC00261146	0.23963	0
NCGC00261147	0.17238	0
NCGC00261150	0.31658	0
NCGC00261153	0.33065	0
NCGC00261155	0.55545	1
NCGC00261160	0.63940	1
NCGC00261161	0.33941	0
NCGC00261162	0.48119	0
NCGC00261163	0.58738	1
NCGC00261165	0.53570	1
NCGC00261166	0.74517	1
NCGC00261169	0.54681	1
NCGC00261170	0.54648	1
NCGC00261176	0.24181	0
NCGC00261177	0.29272	0
NCGC00261178	0.65993	1
NCGC00261183	0.63915	1
NCGC00261189	0.37982	0
NCGC00261190	0.66355	1
NCGC00261192	0.52965	1
NCGC00261201	0.38772	0
NCGC00261215	0.49787	0
NCGC00261238	0.35782	0
NCGC00261246	0.09100	0
NCGC00261248	0.28468	0
NCGC00261254	0.21397	0
NCGC00261260	0.79539	1
NCGC00261261	0.22701	0
NCGC00261270	0.47082	0
NCGC00261272	0.59630	1
NCGC00261286	0.59724	1
NCGC00261290	0.62276	1
NCGC00261293	0.32210	0
NCGC00261294	0.11047	0
NCGC00261297	0.61390	1
NCGC00261304	0.65189	1
NCGC00261313	0.06337	0
NCGC00261321	0.52861	1
NCGC00261327	0.36380	0
NCGC00261330	0.34123	0
NCGC00261332	0.69701	1
NCGC00261333	0.57034	1
NCGC00261336	0.33939	0
NCGC00261340	0.34187	0
NCGC00261342	0.50035	1
NCGC00261343	0.58858	1
NCGC00261348	0.19638	0
NCGC00261349	0.48718	0
NCGC00261352	0.84127	1
NCGC00261364	0.30015	0
NCGC00261367	0.37625	0
NCGC00261380	0.63873	1
NCGC00261381	0.66850	1
NCGC00261382	0.59968	1
NCGC00261384	0.55444	1
NCGC00261389	0.64402	1
NCGC00261390	0.04162	0
NCGC00261392	0.42820	0
NCGC00261395	0.67450	1
NCGC00261398	0.70547	1
NCGC00261399	0.65345	1
NCGC00261404	0.36505	0
NCGC00261406	0.13327	0
NCGC00261420	0.52386	1
NCGC00261423	0.43834	0
NCGC00261424	0.44019	0
NCGC00261426	0.74724	1
NCGC00261440	0.24681	0
NCGC00261441	0.45161	0
NCGC00261446	0.56772	1
NCGC00261470	0.21952	0
NCGC00261473	0.34641	0
NCGC00261474	0.40772	0
NCGC00261475	0.67752	1
NCGC00261480	0.54697	1
NCGC00261487	0.71385	1
NCGC00261503	0.50797	1
NCGC00261506	0.77498	1
NCGC00261507	0.35323	0
NCGC00261510	0.61546	1
NCGC00261519	0.09323	0
NCGC00261529	0.63888	1
NCGC00261541	0.28832	0
NCGC00261542	0.53692	1
NCGC00261544	0.58599	1
NCGC00261545	0.51184	1
