Sample ID	Score	Activity
NCGC00261900	0.6098	1
NCGC00260869	0.336	0
NCGC00261776	0.6734	1
NCGC00261380	0.6204	1
NCGC00261842	0.525	1
NCGC00261662	0.7854	1
NCGC00261190	0.8528	1
NCGC00260731	0.7146	1
NCGC00261926	0.3444	0
NCGC00261579	0.7384	1
NCGC00260921	0.7584	1
NCGC00261119	0.6944	1
NCGC00260957	0.6902	1
NCGC00261812	0.7216	1
NCGC00260831	0.7424	1
NCGC00261544	0.5456	1
NCGC00261619	0.7842	1
NCGC00261633	0.34	0
NCGC00261395	0.5824	1
NCGC00261717	0.5812	1
NCGC00261947	0.6964	1
NCGC00261424	0.6414	1
NCGC00261861	0.6822	1
NCGC00261924	0.5496	1
NCGC00261052	0.3066	0
NCGC00261683	0.8406	1
NCGC00261026	0.7462	1
NCGC00261057	0.639	1
NCGC00261738	0.6268	1
NCGC00261348	0.0872	0
NCGC00261503	0.3214	0
NCGC00260693	0.1724	0
NCGC00260703	0.1476	0
NCGC00260716	0.0642	0
NCGC00260782	0.0966	0
NCGC00260802	0.0998	0
NCGC00260823	0.116	0
NCGC00261313	0.0384	0
NCGC00260757	0.1702	0
NCGC00260826	0.1316	0
NCGC00261005	0.2456	0
NCGC00260980	0.7386	1
NCGC00261816	0.3256	0
NCGC00260698	0.729	1
NCGC00260889	0.5698	1
NCGC00260811	0.4778	0
NCGC00261165	0.686	1
NCGC00261060	0.607	1
NCGC00261541	0.3206	0
NCGC00261649	0.1034	0
NCGC00261110	0.393	0
NCGC00261130	0.443	0
NCGC00260846	0.5896	1
NCGC00261030	0.74	1
NCGC00261162	0.356	0
NCGC00261058	0.6544	1
NCGC00261404	0.2806	0
NCGC00261423	0.448	0
NCGC00261856	0.3318	0
NCGC00261342	0.6948	1
NCGC00261935	0.2026	0
NCGC00261069	0.7372	1
NCGC00261101	0.5236	1
NCGC00261183	0.5652	1
NCGC00261716	0.3912	0
NCGC00260742	0.4708	0
NCGC00261529	0.3352	0
NCGC00261170	0.5968	1
NCGC00261565	0.4946	0
NCGC00260990	0.8502	1
NCGC00261340	0.371	0
NCGC00261079	0.6162	1
NCGC00261389	0.714	1
NCGC00261744	0.338	0
NCGC00261420	0.6776	1
NCGC00261215	0.6286	1
NCGC00261826	0.438	0
NCGC00260706	0.5972	1
NCGC00261123	0.8202	1
NCGC00261367	0.338	0
NCGC00261507	0.4076	0
NCGC00261169	0.404	0
NCGC00261730	0.3562	0
NCGC00261624	0.5066	1
NCGC00261641	0.7912	1
NCGC00261853	0.8114	1
NCGC00260911	0.3826	0
NCGC00260798	0.4892	0
NCGC00261384	0.3988	0
NCGC00260785	0.592	1
NCGC00261597	0.5526	1
NCGC00261025	0.6296	1
NCGC00260789	0.7448	1
NCGC00260866	0.6738	1
NCGC00261189	0.514	1
NCGC00261270	0.5236	1
NCGC00261611	0.3086	0
NCGC00261160	0.549	1
NCGC00261085	0.1536	0
NCGC00261817	0.5376	1
NCGC00261866	0.4652	0
NCGC00260852	0.4788	0
NCGC00261290	0.6716	1
NCGC00261304	0.7616	1
NCGC00261704	0.5358	1
NCGC00260850	0.2798	0
NCGC00260972	0.348	0
NCGC00261364	0.2526	0
NCGC00261392	0.492	0
NCGC00261638	0.617	1
NCGC00261820	0.2746	0
NCGC00261808	0.84	1
NCGC00260790	0.56	1
NCGC00260940	0.619	1
NCGC00261081	0.4252	0
NCGC00261506	0.5554	1
NCGC00261133	0.4236	0
NCGC00261399	0.6248	1
NCGC00260696	0.5746	1
NCGC00261903	0.6588	1
NCGC00261178	0.7032	1
NCGC00261568	0.6348	1
NCGC00260830	0.5594	1
NCGC00261113	0.5484	1
NCGC00261327	0.5112	1
NCGC00261602	0.677	1
NCGC00260858	0.724	1
NCGC00261071	0.8356	1
NCGC00261076	0.5314	1
NCGC00261192	0.7076	1
NCGC00261577	0.807	1
NCGC00261510	0.4478	0
NCGC00261679	0.7252	1
NCGC00261941	0.767	1
NCGC00261343	0.4344	0
NCGC00261607	0.7546	1
NCGC00261782	0.7938	1
NCGC00261914	0.4038	0
NCGC00261475	0.637	1
NCGC00261764	0.681	1
NCGC00261802	0.7836	1
NCGC00261813	0.613	1
NCGC00260795	0.5	0
NCGC00261352	0.7088	1
NCGC00261009	0.7746	1
NCGC00261944	0.6222	1
NCGC00261166	0.8428	1
NCGC00261332	0.7938	1
NCGC00261333	0.4872	0
NCGC00261260	0.7964	1
NCGC00261915	0.6492	1
NCGC00261238	0.4902	0
NCGC00261682	0.837	1
NCGC00261049	0.8274	1
NCGC00260910	0.5802	1
NCGC00261272	0.7462	1
NCGC00260708	0.073	0
NCGC00261390	0.105	0
NCGC00260948	0.4598	0
NCGC00261840	0.2966	0
NCGC00260881	0.3238	0
NCGC00261153	0.4242	0
NCGC00261406	0.2986	0
NCGC00261053	0.038	0
NCGC00261129	0.0484	0
NCGC00261381	0.7716	1
NCGC00261426	0.7768	1
NCGC00260979	0.9254	1
NCGC00260993	0.4128	0
NCGC00261108	0.6466	1
NCGC00261441	0.416	0
NCGC00261877	0.51	1
NCGC00260815	0.5046	1
NCGC00261542	0.7546	1
NCGC00261958	0.3704	0
NCGC00261787	0.6816	1
NCGC00261065	0.7674	1
NCGC00261804	0.6284	1
NCGC00260875	0.7614	1
NCGC00261451	0.1192	0
NCGC00261739	0.6282	1
NCGC00261948	0.8328	1
NCGC00261382	0.5706	1
NCGC00261663	0.4238	0
NCGC00260892	0.4924	0
NCGC00261297	0.664	1
NCGC00261321	0.5238	1
NCGC00261446	0.549	1
NCGC00261474	0.2534	0
NCGC00260834	0.5662	1
NCGC00260840	0.5472	1
NCGC00260947	0.583	1
NCGC00261080	0.5112	1
NCGC00261563	0.5568	1
NCGC00261873	0.5176	1
NCGC00260803	0.4456	0
NCGC00260833	0.7004	1
NCGC00261008	0.8696	1
NCGC00261155	0.562	1
NCGC00261643	0.3928	0
NCGC00261037	0.524	1
NCGC00261126	0.8368	1
NCGC00260871	0.635	1
NCGC00260713	0.8238	1
NCGC00261487	0.7368	1
NCGC00261545	0.5794	1
NCGC00261480	0.3166	0
NCGC00261838	0.2544	0
NCGC00261627	0.1206	0
NCGC00261639	0.2388	0
NCGC00261177	0.195	0
NCGC00260692	0.2696	0
NCGC00260775	0.1492	0
NCGC00260876	0.0646	0
NCGC00261598	0.2586	0
NCGC00260707	0.4192	0
NCGC00261554	0.4218	0
NCGC00261713	0.7316	1
NCGC00261737	0.878	1
NCGC00261882	0.6928	1
NCGC00261933	0.7564	1
NCGC00261201	0.611	1
NCGC00261398	0.614	1
NCGC00261601	0.1074	0
NCGC00261003	0.5624	1
NCGC00261019	0.1742	0
NCGC00261519	0.0704	0
NCGC00261732	0.034	0
NCGC00261718	0.3754	0
NCGC00260743	0.2264	0
NCGC00260751	0.1914	0
NCGC00260867	0.0444	0
NCGC00260982	0.5126	1
NCGC00261176	0.2742	0
NCGC00261440	0.1814	0
NCGC00261657	0.1364	0
NCGC00260822	0.649	1
NCGC00261142	0.8368	1
NCGC00261582	0.5116	1
NCGC00261825	0.7594	1
NCGC00261833	0.8794	1
NCGC00261835	0.3844	0
NCGC00261860	0.7802	1
NCGC00261906	0.5268	1
NCGC00261916	0.8474	1
NCGC00261939	0.7952	1
NCGC00261869	0.3228	0
NCGC00261163	0.7524	1
NCGC00261653	0.6714	1
NCGC00261248	0.0708	0
NCGC00260770	0.2554	0
NCGC00261013	0.1166	0
NCGC00261910	0.412	0
NCGC00261686	0.1164	0
NCGC00261147	0.2538	0
NCGC00261578	0.0132	0
NCGC00261336	0.3596	0
NCGC00261593	0.3972	0
NCGC00260821	0.1296	0
NCGC00261007	0.3664	0
NCGC00261246	0.1668	0
NCGC00261949	0.0984	0
NCGC00260890	0.1812	0
NCGC00261294	0.244	0
NCGC00261330	0.5236	1
NCGC00261470	0.3002	0
NCGC00260691	0.1784	0
NCGC00261693	0.5582	1
NCGC00261293	0.271	0
NCGC00261018	0.4968	0
NCGC00261075	0.0414	0
NCGC00261150	0.219	0
NCGC00261767	0.281	0
NCGC00261824	0.6736	1
NCGC00261146	0.0714	0
NCGC00260817	0.2724	0
NCGC00261161	0.1426	0
NCGC00260728	0.157	0
NCGC00261286	0.3204	0
NCGC00261254	0.3976	0
NCGC00261261	0.371	0
NCGC00261691	0.2116	0
NCGC00261921	0.488	0
NCGC00260962	0.5738	1
NCGC00261028	0.2304	0
NCGC00261349	0.5856	1
NCGC00261583	0.5154	1
NCGC00261672	0.1134	0
NCGC00261620	0.6676	1
NCGC00261141	0.5538	1
NCGC00261752	0.5274	1
NCGC00261828	0.5588	1
NCGC00261913	0.2692	0
NCGC00261473	0.164	0
NCGC00356953	0.8594	1
NCGC00357009	0.0332	0
NCGC00357188	0.4676	0
NCGC00357201	0.2442	0
NCGC00357189	0.2138	0
NCGC00357163	0.1034	0
NCGC00357001	0.8828	1
NCGC00357030	0.1678	0
NCGC00357123	0.4702	0
NCGC00357091	0.2142	0
NCGC00357004	0.5358	1
NCGC00357289	0.9074	1
NCGC00357082	0.8932	1
NCGC00356999	0.5208	1
NCGC00357116	0.1196	0
NCGC00357010	0.424	0
NCGC00357057	0.753	1
NCGC00357171	0.019	0
NCGC00356964	0.2344	0
NCGC00356995	0.501	1
NCGC00357205	0.5714	1
NCGC00357185	0.4004	0
NCGC00357028	0.4822	0
NCGC00357064	0.0832	0
NCGC00357196	0.5224	1
NCGC00357271	0.7732	1
NCGC00357213	0.274	0
NCGC00357198	0.1426	0
NCGC00357079	0.0594	0
NCGC00357080	0.0812	0
NCGC00357173	0.001	0
NCGC00357277	0.3002	0
