SampleID	Score	Activity
NCGC00261949	0.0191	0
NCGC00357083	0.0125	0
NCGC00260731	0.0470	0
NCGC00357288	0.1491	0
NCGC00357081	0.2810	0
NCGC00260982	0.0303	0
NCGC00260980	0.2594	0
NCGC00357068	0.0216	0
NCGC00357069	0.0049	0
NCGC00357060	0.0440	0
NCGC00357061	0.0195	0
NCGC00357063	0.0173	0
NCGC00357064	0.0353	0
NCGC00357065	0.0102	0
NCGC00357066	0.0494	0
NCGC00357067	0.0249	0
NCGC00260698	0.2482	0
NCGC00261866	0.0578	0
NCGC00357201	0.0447	0
NCGC00357202	0.0082	0
NCGC00357203	0.0428	0
NCGC00357204	0.0128	0
NCGC00357205	0.0266	0
NCGC00261860	0.2925	0
NCGC00261861	0.0519	0
NCGC00357208	0.2502	0
NCGC00357209	0.0585	0
NCGC00261906	0.3306	0
NCGC00261900	0.2920	0
NCGC00261903	0.2613	0
NCGC00261869	0.0201	0
NCGC00261510	0.2686	0
NCGC00357284	0.0480	0
NCGC00261519	0.0373	0
NCGC00260742	0.0690	0
NCGC00260743	0.0271	0
NCGC00357287	0.0137	0
NCGC00260890	0.0490	0
NCGC00260892	0.0742	0
NCGC00357020	0.0349	0
NCGC00357021	0.0318	0
NCGC00261349	0.0364	0
NCGC00261348	0.0264	0
NCGC00261343	0.2545	0
NCGC00261342	0.3043	0
NCGC00261340	0.0452	0
NCGC00261583	0.2506	0
NCGC00261582	0.0276	0
NCGC00261163	0.2707	0
NCGC00261162	0.0946	0
NCGC00261248	0.0318	0
NCGC00261160	0.3586	0
NCGC00261166	0.3116	0
NCGC00261165	0.0684	0
NCGC00261169	0.2757	0
NCGC00261313	0.0156	0
NCGC00261246	0.0153	0
NCGC00261649	0.0476	0
NCGC00260803	0.3387	0
NCGC00261643	0.3067	0
NCGC00261641	0.0441	0
NCGC00261764	0.3179	0
NCGC00261767	0.0869	0
NCGC00261882	0.0649	0
NCGC00357037	0.0120	0
NCGC00357036	0.0082	0
NCGC00357035	0.0083	0
NCGC00357034	0.0195	0
NCGC00357033	0.0102	0
NCGC00357032	0.0134	0
NCGC00261019	0.0281	0
NCGC00357030	0.0529	0
NCGC00261013	0.0418	0
NCGC00357156	0.0662	0
NCGC00357039	0.0087	0
NCGC00357038	0.0272	0
NCGC00357119	0.0072	0
NCGC00357151	0.0437	0
NCGC00260940	0.2778	0
NCGC00260947	0.3173	0
NCGC00260948	0.0174	0
NCGC00261085	0.0245	0
NCGC00357109	0.0465	0
NCGC00357108	0.0173	0
NCGC00261080	0.2467	0
NCGC00261081	0.0572	0
NCGC00357103	0.0137	0
NCGC00357102	0.0095	0
NCGC00357101	0.0120	0
NCGC00357100	0.0059	0
NCGC00357107	0.0051	0
NCGC00357106	0.0100	0
NCGC00357105	0.0286	0
NCGC00357104	0.0203	0
NCGC00260790	0.2604	0
NCGC00260795	0.2377	0
NCGC00357158	0.0085	0
NCGC00260798	0.2391	0
NCGC00261941	0.2718	0
NCGC00357088	0.0056	0
NCGC00357089	0.2696	0
NCGC00261944	0.2926	0
NCGC00261947	0.2936	0
NCGC00357082	0.7432	1
NCGC00261948	0.3176	0
NCGC00357080	0.0180	0
NCGC00261133	0.2672	0
NCGC00357086	0.0900	0
NCGC00357087	0.0473	0
NCGC00357084	0.0078	0
NCGC00357085	0.0132	0
NCGC00260708	0.0130	0
NCGC00260703	0.0348	0
NCGC00260706	0.2418	0
NCGC00260707	0.0652	0
NCGC00356959	0.0112	0
NCGC00356958	0.0292	0
NCGC00356953	0.2311	0
NCGC00356952	0.0293	0
NCGC00356951	0.0110	0
NCGC00356950	0.0321	0
NCGC00356957	0.2756	0
NCGC00356956	0.1808	0
NCGC00356955	0.0690	0
NCGC00356954	0.0070	0
NCGC00357257	0.0170	0
NCGC00261838	0.2449	0
NCGC00357259	0.0724	0
NCGC00357258	0.0154	0
NCGC00261835	0.0313	0
NCGC00357256	0.0197	0
NCGC00357255	0.2267	0
NCGC00357254	0.0129	0
NCGC00357253	0.0261	0
NCGC00357252	0.0329	0
NCGC00261833	0.3629	0
NCGC00357250	0.0308	0
NCGC00261426	0.2982	0
NCGC00261935	0.0250	0
NCGC00261424	0.3925	0
NCGC00261423	0.0828	0
NCGC00261420	0.0553	0
NCGC00261933	0.3002	0
NCGC00261545	0.2829	0
NCGC00261544	0.2568	0
NCGC00261541	0.0239	0
NCGC00261939	0.0652	0
NCGC00261542	0.0927	0
NCGC00357251	0.0519	0
NCGC00261261	0.0558	0
NCGC00357110	0.0282	0
NCGC00357111	0.3108	0
NCGC00261682	0.2846	0
NCGC00261683	0.3076	0
NCGC00260840	0.3716	0
NCGC00261686	0.0153	0
NCGC00260846	0.2741	0
NCGC00357114	0.0108	0
NCGC00261332	0.3155	0
NCGC00261333	0.2979	0
NCGC00261330	0.0381	0
NCGC00261336	0.0378	0
NCGC00357117	0.0758	0
NCGC00261053	0.0217	0
NCGC00261052	0.2743	0
NCGC00357170	0.0273	0
NCGC00261119	0.2440	0
NCGC00261057	0.2658	0
NCGC00357177	0.0237	0
NCGC00357174	0.0044	0
NCGC00357175	0.0409	0
NCGC00261113	0.0447	0
NCGC00261110	0.2517	0
NCGC00261058	0.2945	0
NCGC00261611	0.2737	0
NCGC00357230	0.0318	0
NCGC00261619	0.2806	0
NCGC00261752	0.2968	0
NCGC00261201	0.2556	0
NCGC00356986	0.2276	0
NCGC00357127	0.0097	0
NCGC00357126	0.0700	0
NCGC00357129	0.0190	0
NCGC00356997	0.2370	0
NCGC00260990	0.2748	0
NCGC00260993	0.3207	0
NCGC00357048	0.0036	0
NCGC00357079	0.0152	0
NCGC00357078	0.0100	0
NCGC00357073	0.0216	0
NCGC00357072	0.2947	0
NCGC00357071	0.0071	0
NCGC00357070	0.0097	0
NCGC00357077	0.0608	0
NCGC00357076	0.0037	0
NCGC00357075	0.0045	0
NCGC00357074	0.0210	0
NCGC00261451	0.2119	0
NCGC00357213	0.0308	0
NCGC00357212	0.0287	0
NCGC00261873	0.3029	0
NCGC00357210	0.0217	0
NCGC00357217	0.0277	0
NCGC00357216	0.0259	0
NCGC00261877	0.2489	0
NCGC00357214	0.0161	0
NCGC00357219	0.0205	0
NCGC00357218	0.3777	0
NCGC00261503	0.0488	0
NCGC00261507	0.0751	0
NCGC00261506	0.2866	0
NCGC00261662	0.2772	0
NCGC00260757	0.0195	0
NCGC00357289	0.0255	0
NCGC00260751	0.0118	0
NCGC00260696	0.3080	0
NCGC00357281	0.0393	0
NCGC00357282	0.0490	0
NCGC00357283	0.0100	0
NCGC00260692	0.0091	0
NCGC00260693	0.0388	0
NCGC00357286	0.0115	0
NCGC00260691	0.0369	0
NCGC00261480	0.2566	0
NCGC00261487	0.2725	0
NCGC00260881	0.0167	0
NCGC00260889	0.0589	0
NCGC00261804	0.2725	0
NCGC00261802	0.3323	0
NCGC00261475	0.3099	0
NCGC00261474	0.0383	0
NCGC00261808	0.2525	0
NCGC00261470	0.0531	0
NCGC00261473	0.0453	0
NCGC00261577	0.3002	0
NCGC00261578	0.0082	0
NCGC00261579	0.0530	0
NCGC00261254	0.0695	0
NCGC00261398	0.2937	0
NCGC00261399	0.3069	0
NCGC00261395	0.2883	0
NCGC00261390	0.0707	0
NCGC00357162	0.0128	0
NCGC00261392	0.0625	0
NCGC00260834	0.3038	0
NCGC00260833	0.3333	0
NCGC00260830	0.2705	0
NCGC00260831	0.2774	0
NCGC00261657	0.0074	0
NCGC00261713	0.2675	0
NCGC00261716	0.0404	0
NCGC00261717	0.2986	0
NCGC00261718	0.0189	0
NCGC00357002	0.0217	0
NCGC00357003	0.0246	0
NCGC00261028	0.0559	0
NCGC00357001	0.2630	0
NCGC00357006	0.0135	0
NCGC00357007	0.0592	0
NCGC00357004	0.2493	0
NCGC00357005	0.0287	0
NCGC00357008	0.0128	0
NCGC00357009	0.0133	0
NCGC00261026	0.4456	0
NCGC00261025	0.0241	0
NCGC00260957	0.3322	0
NCGC00356943	0.2522	0
NCGC00357200	0.0124	0
NCGC00357136	0.0198	0
NCGC00357137	0.0111	0
NCGC00357134	0.3116	0
NCGC00357135	0.0114	0
NCGC00357132	0.2851	0
NCGC00357133	0.0134	0
NCGC00357130	0.0112	0
NCGC00357131	0.0032	0
NCGC00261624	0.0461	0
NCGC00261627	0.0260	0
NCGC00261620	0.2753	0
NCGC00261153	0.2728	0
NCGC00261150	0.0367	0
NCGC00357139	0.0111	0
NCGC00357000	0.0398	0
NCGC00357095	0.0564	0
NCGC00357094	0.0270	0
NCGC00357097	0.4794	0
NCGC00357096	0.0331	0
NCGC00357091	0.2090	0
NCGC00357090	0.0044	0
NCGC00357093	0.0296	0
NCGC00357092	0.0063	0
NCGC00357099	0.2502	0
NCGC00357098	0.0083	0
NCGC00260713	0.2677	0
NCGC00260716	0.0109	0
NCGC00356966	0.0061	0
NCGC00356967	0.0170	0
NCGC00356964	0.0208	0
NCGC00356965	0.0358	0
NCGC00356962	0.0117	0
NCGC00356963	0.0089	0
NCGC00356960	0.0132	0
NCGC00356961	0.0161	0
NCGC00357019	0.1703	0
NCGC00356968	0.0106	0
NCGC00356974	0.0115	0
NCGC00357015	0.0240	0
NCGC00357268	0.0371	0
NCGC00357269	0.0037	0
NCGC00356988	0.2704	0
NCGC00356989	0.0768	0
NCGC00357014	0.0718	0
NCGC00356984	0.0447	0
NCGC00357263	0.0234	0
NCGC00261842	0.0680	0
NCGC00356987	0.0115	0
NCGC00357266	0.0142	0
NCGC00356981	0.0123	0
NCGC00356982	0.0208	0
NCGC00356983	0.0246	0
NCGC00261926	0.0957	0
NCGC00261924	0.0315	0
NCGC00261921	0.2706	0
NCGC00357172	0.0128	0
NCGC00357173	0.0101	0
NCGC00357171	0.0115	0
NCGC00357245	0.0331	0
NCGC00260876	0.0027	0
NCGC00357176	0.0278	0
NCGC00260875	0.2746	0
NCGC00261691	0.0502	0
NCGC00261693	0.2689	0
NCGC00260871	0.2530	0
NCGC00261286	0.0423	0
NCGC00261787	0.2514	0
NCGC00261327	0.2484	0
NCGC00357280	0.2902	0
NCGC00261321	0.0640	0
NCGC00261289	0.0138	0
NCGC00261446	0.2666	0
NCGC00261440	0.0251	0
NCGC00261441	0.2770	0
NCGC00357169	0.1223	0
NCGC00357207	0.0204	0
NCGC00357178	0.0308	0
NCGC00357168	0.0113	0
NCGC00357179	0.0118	0
NCGC00261101	0.0499	0
NCGC00357041	0.0140	0
NCGC00261260	0.3217	0
NCGC00261108	0.3510	0
NCGC00260911	0.2739	0
NCGC00260910	0.2747	0
NCGC00357166	0.0086	0
NCGC00261192	0.3022	0
NCGC00261190	0.0861	0
NCGC00261663	0.2916	0
NCGC00357163	0.0145	0
NCGC00261744	0.0897	0
NCGC00261215	0.2686	0
NCGC00357273	0.0231	0
NCGC00356998	0.2439	0
NCGC00261161	0.0165	0
NCGC00357190	0.0257	0
NCGC00357191	0.1643	0
NCGC00357193	0.0106	0
NCGC00357194	0.0109	0
NCGC00357195	0.0130	0
NCGC00357196	0.0440	0
NCGC00357197	0.0160	0
NCGC00357198	0.0115	0
NCGC00357199	0.0222	0
NCGC00357206	0.0314	0
NCGC00260962	0.4042	0
NCGC00356993	0.2515	0
NCGC00357278	0.0109	0
