Sample ID	Score	Activity
NCGC00261900-01	0.002018691	0
NCGC00260869-01	0.001333246	0
NCGC00261776-01	0.001721256	0
NCGC00261380-01	0.001497651	0
NCGC00261842-01	0.082767846	1
NCGC00261662-01	0.066532788	1
NCGC00261190-01	0.142195299	1
NCGC00260731-01	0.008997558	0
NCGC00261926-01	0.000778108	0
NCGC00261579-01	0.001483389	0
NCGC00260921-01	0.011322461	0
NCGC00261119-01	0.001007390	0
NCGC00260957-01	0.032479861	1
NCGC00261812-01	0.014288756	0
NCGC00260831-01	0.048434090	1
NCGC00261544-01	0.000775528	0
NCGC00261619-01	0.033772893	1
NCGC00261633-01	0.000618895	0
NCGC00261395-01	0.000786481	0
NCGC00261717-01	0.048777237	1
NCGC00261947-01	0.002292347	0
NCGC00261424-01	0.060548810	1
NCGC00261861-01	0.047207626	1
NCGC00261924-01	0.001060886	0
NCGC00261052-01	0.001599705	0
NCGC00261683-01	0.009184213	0
NCGC00261026-01	0.175412286	1
NCGC00261057-01	0.000663656	0
NCGC00261738-01	0.001753931	0
NCGC00261348-01	0.000608356	0
NCGC00261503-01	0.001149247	0
NCGC00260693-01	0.000634332	0
NCGC00260703-01	0.000583355	0
NCGC00260716-01	0.000578317	0
NCGC00260782-01	0.000736989	0
NCGC00260802-01	0.000583355	0
NCGC00260823-01	0.000601097	0
NCGC00261313-01	0.000590604	0
NCGC00260757-01	0.000593926	0
NCGC00260826-01	0.000593922	0
NCGC00261005-01	0.000619492	0
NCGC00260980-01	0.000792447	0
NCGC00261816-01	0.000623969	0
NCGC00260698-01	0.000703886	0
NCGC00260889-01	0.000601830	0
NCGC00260811-01	0.000867828	0
NCGC00261165-01	0.004589603	0
NCGC00261060-01	0.002033523	0
NCGC00261541-01	0.000638226	0
NCGC00261649-01	0.000587081	0
NCGC00261110-01	0.000940829	0
NCGC00261130-01	0.001706931	0
NCGC00260846-01	0.001259923	0
NCGC00261030-01	0.001957773	0
NCGC00261162-01	0.010113728	0
NCGC00261058-01	0.000884548	0
NCGC00261404-01	0.000632261	0
NCGC00261423-01	0.001143247	0
NCGC00261856-01	0.001068851	0
NCGC00261342-01	0.001381482	0
NCGC00261935-01	0.000781905	0
NCGC00261069-01	0.050483507	1
NCGC00261101-01	0.000860974	0
NCGC00261183-01	0.000737670	0
NCGC00261716-01	0.000629399	0
NCGC00260742-01	0.000993180	0
NCGC00261529-01	0.000770365	0
NCGC00261170-01	0.001634473	0
NCGC00261565-01	0.000673745	0
NCGC00260990-01	0.011901471	0
NCGC00261340-01	0.002624258	0
NCGC00261079-01	0.000585822	0
NCGC00261389-01	0.000705864	0
NCGC00261744-01	0.000640243	0
NCGC00261420-01	0.000960040	0
NCGC00261215-01	0.000886529	0
NCGC00261826-01	0.000657666	0
NCGC00260706-01	0.000848655	0
NCGC00261123-01	0.002033488	0
NCGC00261367-01	0.000619980	0
NCGC00261507-01	0.000632031	0
NCGC00261169-01	0.000724930	0
NCGC00261730-01	0.000806286	0
NCGC00261624-01	0.000681585	0
NCGC00261641-01	0.000715606	0
NCGC00261853-01	0.001917672	0
NCGC00260911-01	0.000812750	0
NCGC00260798-01	0.001166207	0
NCGC00261384-01	0.000672875	0
NCGC00260785-01	0.003892019	0
NCGC00261597-01	0.002473275	0
NCGC00261025-01	0.000629026	0
NCGC00260789-01	0.001379136	0
NCGC00260866-01	0.001679713	0
NCGC00261189-01	0.000708704	0
