Sample ID	Score	Activity
NCGC00261900-01	0.001095291	0
NCGC00260869-01	0.001308693	0
NCGC00261776-01	0.000441070	0
NCGC00261380-01	0.001295439	0
NCGC00261842-01	0.072306560	1
NCGC00261662-01	0.171674073	1
NCGC00261190-01	0.179639560	1
NCGC00260731-01	0.009354584	1
NCGC00261926-01	0.000925834	0
NCGC00261579-01	0.003786591	0
NCGC00260921-01	0.008931345	1
NCGC00261119-01	0.000949596	0
NCGC00260957-01	0.018523824	1
NCGC00261812-01	0.014478881	1
NCGC00260831-01	0.062252647	1
NCGC00261544-01	0.000720770	0
NCGC00261619-01	0.052875339	1
NCGC00261633-01	0.000566524	0
NCGC00261395-01	0.001340190	0
NCGC00261717-01	0.050113704	1
NCGC00261947-01	0.003089541	0
NCGC00261424-01	0.062758227	1
NCGC00261861-01	0.028450798	1
NCGC00261924-01	0.000849523	0
NCGC00261052-01	0.001493234	0
NCGC00261683-01	0.009240351	1
NCGC00261026-01	0.173595546	1
NCGC00261057-01	0.000773963	0
NCGC00261738-01	0.003037207	0
NCGC00261348-01	0.000750676	0
NCGC00261503-01	0.000880544	0
NCGC00260693-01	0.000894439	0
NCGC00260703-01	0.000700762	0
NCGC00260716-01	0.000661560	0
NCGC00260782-01	0.000621344	0
NCGC00260802-01	0.000800406	0
NCGC00260823-01	0.000711464	0
NCGC00261313-01	0.000479322	0
NCGC00260757-01	0.000660873	0
NCGC00260826-01	0.000607086	0
NCGC00261005-01	0.000896693	0
NCGC00260980-01	0.000901825	0
NCGC00261816-01	0.001066500	0
NCGC00260698-01	0.000780198	0
NCGC00260889-01	0.001177500	0
NCGC00260811-01	0.000886514	0
NCGC00261165-01	0.003031156	0
NCGC00261060-01	0.002178914	0
NCGC00261541-01	0.000634025	0
NCGC00261649-01	0.000617331	0
NCGC00261110-01	0.000576731	0
NCGC00261130-01	0.001060113	0
NCGC00260846-01	0.001143380	0
NCGC00261030-01	0.002403579	0
NCGC00261162-01	0.007461914	1
NCGC00261058-01	0.000822530	0
NCGC00261404-01	0.000752701	0
NCGC00261423-01	0.000975730	0
NCGC00261856-01	0.001283511	0
NCGC00261342-01	0.001116081	0
NCGC00261935-01	0.000939612	0
NCGC00261069-01	0.022811153	1
NCGC00261101-01	0.000921621	0
NCGC00261183-01	0.001114104	0
NCGC00261716-01	0.001189650	0
NCGC00260742-01	0.000802625	0
NCGC00261529-01	0.001316366	0
NCGC00261170-01	0.001098917	0
NCGC00261565-01	0.000889941	0
NCGC00260990-01	0.018293975	1
NCGC00261340-01	0.005252714	0
NCGC00261079-01	0.000718575	0
NCGC00261389-01	0.000585605	0
NCGC00261744-01	0.000808341	0
NCGC00261420-01	0.000829457	0
NCGC00261215-01	0.000920931	0
NCGC00261826-01	0.000917578	0
NCGC00260706-01	0.000796438	0
NCGC00261123-01	0.001699989	0
NCGC00261367-01	0.001041216	0
NCGC00261507-01	0.001071383	0
NCGC00261169-01	0.000709113	0
NCGC00261730-01	0.000936486	0
NCGC00261624-01	0.000838700	0
NCGC00261641-01	0.000612635	0
NCGC00261853-01	0.001149573	0
NCGC00260911-01	0.001017766	0
NCGC00260798-01	0.001017647	0
NCGC00261384-01	0.000868021	0
NCGC00260785-01	0.005813325	0
NCGC00261597-01	0.002354577	0
NCGC00261025-01	0.000940719	0
NCGC00260789-01	0.001663703	0
NCGC00260866-01	0.001313964	0
NCGC00261189-01	0.000943307	0
NCGC00261270-01	0.002193192	0
NCGC00261611-01	0.001337711	0
NCGC00261160-01	0.267731080	1
NCGC00261085-01	0.000878118	0
NCGC00261817-01	0.001003854	0
NCGC00261866-01	0.001012205	0
NCGC00260852-01	0.000847039	0
NCGC00261290-01	0.001737653	0
NCGC00261304-01	0.007032313	0
NCGC00261704-01	0.001166735	0
NCGC00260850-01	0.000862527	0
NCGC00260972-01	0.000852049	0
NCGC00261364-01	0.000717408	0
NCGC00261392-01	0.000880854	0
NCGC00261638-01	0.001037253	0
NCGC00261820-01	0.000491945	0
NCGC00261808-01	0.001267020	0
NCGC00260790-01	0.001284103	0
NCGC00260940-01	0.022346277	1
NCGC00261081-01	0.000893713	0
NCGC00261506-01	0.007223896	1
NCGC00261133-01	0.001125706	0
NCGC00261399-01	0.005068006	0
NCGC00260696-01	0.007440095	1
NCGC00261903-01	0.004448770	0
