Sample ID	Score	Activity
NCGC00261900-01	0.148128276	0
NCGC00260869-01	0.139052265	0
NCGC00261776-01	0.189013674	0
NCGC00261380-01	0.178027282	0
NCGC00261842-01	0.153113601	0
NCGC00261662-01	0.363891177	0
NCGC00261190-01	0.226303501	0
NCGC00260731-01	0.206054821	0
NCGC00261926-01	0.026529882	0
NCGC00261579-01	0.090709043	0
NCGC00260921-01	0.416948304	0
NCGC00261119-01	0.15860639	0
NCGC00260957-01	0.276167372	0
NCGC00261812-01	0.080922032	0
NCGC00260831-01	0.152119784	0
NCGC00261544-01	0.019942996	0
NCGC00261619-01	0.262255336	0
NCGC00261633-01	0.000401178	0
NCGC00261395-01	0.124069993	0
NCGC00261717-01	0.186061912	0
NCGC00261947-01	0.210572894	0
NCGC00261424-01	0.379610123	0
NCGC00261861-01	0.200012778	0
NCGC00261924-01	0.043783515	0
NCGC00261052-01	0.14506773	0
NCGC00261683-01	0.082649361	0
NCGC00261026-01	0.220658746	0
NCGC00261057-01	0.012954715	0
NCGC00261738-01	0.05991198	0
NCGC00261348-01	0.010582935	0
NCGC00261503-01	0.049859614	0
NCGC00260693-01	0.011414892	0
NCGC00260703-01	0.010920836	0
NCGC00260716-01	7.53725E-05	0
NCGC00260782-01	0.00397356	0
NCGC00260802-01	8.22752E-05	0
NCGC00260823-01	0.008839496	0
NCGC00261313-01	0.000193393	0
NCGC00260757-01	8.71274E-05	0
NCGC00260826-01	8.31668E-05	0
NCGC00261005-01	0.04228862	0
NCGC00260980-01	0.047980217	0
NCGC00261816-01	0.104835228	0
NCGC00260698-01	0.041718305	0
NCGC00260889-01	0.016724611	0
NCGC00260811-01	0.076193953	0
NCGC00261165-01	0.053645154	0
NCGC00261060-01	0.004047376	0
NCGC00261541-01	0.011951833	0
NCGC00261649-01	0.000222534	0
NCGC00261110-01	0.082145647	0
NCGC00261130-01	0.151028166	0
NCGC00260846-01	0.135632073	0
NCGC00261030-01	0.152859663	0
NCGC00261162-01	0.244395809	0
NCGC00261058-01	0.23357227	0
NCGC00261404-01	0.010427915	0
NCGC00261423-01	0.104282772	0
NCGC00261856-01	0.06864804	0
NCGC00261342-01	0.073259427	0
NCGC00261935-01	0.056168717	0
NCGC00261069-01	0.157152918	0
NCGC00261101-01	0.109571684	0
NCGC00261183-01	0.065672902	0
NCGC00261716-01	0.000861685	0
NCGC00260742-01	0.050069462	0
NCGC00261529-01	0.038317596	0
NCGC00261170-01	0.262722634	0
NCGC00261565-01	0.017572553	0
NCGC00260990-01	0.189183109	0
NCGC00261340-01	0.26555292	0
NCGC00261079-01	0.000712593	0
NCGC00261389-01	0.019928562	0
NCGC00261744-01	0.048590185	0
NCGC00261420-01	0.137635917	0
NCGC00261215-01	0.051032636	0
NCGC00261826-01	0.013404983	0
NCGC00260706-01	0.066593929	0
NCGC00261123-01	0.240020881	0
NCGC00261367-01	0.038970087	0
NCGC00261507-01	0.074157315	0
NCGC00261169-01	0.032114861	0
NCGC00261730-01	0.041977048	0
NCGC00261624-01	0.010902194	0
NCGC00261641-01	0.036100437	0
NCGC00261853-01	0.088952022	0
NCGC00260911-01	0.081175162	0
NCGC00260798-01	0.01354332	0
NCGC00261384-01	0.014367679	0
NCGC00260785-01	0.123659823	0
NCGC00261597-01	0.157899922	0
NCGC00261025-01	0.016405384	0
NCGC00260789-01	0.117324694	0
NCGC00260866-01	0.231266604	0
NCGC00261189-01	0.091761654	0
NCGC00261270-01	0.184714085	0
NCGC00261611-01	0.023923329	0
NCGC00261160-01	0.43042451	0
NCGC00261085-01	0.00024425	0
NCGC00261817-01	0.036774836	0
NCGC00261866-01	0.033325123	0
NCGC00260852-01	0.061104556	0
NCGC00261290-01	0.403400424	0
NCGC00261304-01	0.160373821	0
NCGC00261704-01	0.139903999	0
NCGC00260850-01	0.029439194	0
NCGC00260972-01	0.00084005	0
NCGC00261364-01	0.007105357	0
NCGC00261392-01	0.101418472	0
