Sample ID	Score	Activity
NCGC00261026-01	0.8132102908	1
NCGC00356976-01	0.7857570407	1
NCGC00261160-01	0.7711434861	1
NCGC00261060-01	0.7625546446	1
NCGC00357062-01	0.7440635342	1
NCGC00357255-01	0.7407481532	1
NCGC00260875-01	0.7276950697	1
NCGC00357111-01	0.7269789231	1
NCGC00260979-01	0.7260685782	1
NCGC00356957-01	0.7253380661	1
NCGC00261475-01	0.7156700439	1
NCGC00261682-01	0.7141155213	1
NCGC00261071-01	0.7132120601	1
NCGC00261166-01	0.7128652311	1
NCGC00261619-01	0.7117293933	1
NCGC00261008-01	0.7076367256	1
NCGC00356993-01	0.7074320033	1
NCGC00261178-01	0.706768337	1
NCGC00261577-01	0.7063400104	1
NCGC00261009-01	0.7060794486	1
NCGC00261030-01	0.705694107	1
NCGC00357134-01	0.7042248107	1
NCGC00260921-01	0.6998191034	1
NCGC00261804-01	0.6964694169	1
NCGC00261683-01	0.692921409	1
NCGC00261352-01	0.6917016722	1
NCGC00261737-01	0.6908653773	1
NCGC00261049-01	0.6884122124	1
NCGC00260962-01	0.6878561189	1
NCGC00261833-01	0.6863568484	1
NCGC00260980-01	0.6847040549	1
NCGC00261782-01	0.6845850795	1
NCGC00260940-01	0.6841281037	1
NCGC00261333-01	0.6833926604	1
NCGC00261069-01	0.683212205	1
NCGC00261260-01	0.6825090001	1
NCGC00260957-01	0.6814342134	1
NCGC00261607-01	0.6809407774	1
NCGC00261101-01	0.680486893	1
NCGC00357081-01	0.6796065385	1
NCGC00261065-01	0.6793812338	1
NCGC00261304-01	0.678869294	1
NCGC00261568-01	0.6782276521	1
NCGC00261108-01	0.6754436831	1
NCGC00261420-01	0.6753412504	1
NCGC00261155-01	0.6751527428	1
NCGC00261802-01	0.6750629423	1
NCGC00261382-01	0.6746401046	1
NCGC00357001-01	0.6740957093	1
NCGC00261395-01	0.6730192367	1
NCGC00261944-01	0.6726555694	1
NCGC00261933-01	0.6723183987	1
NCGC00261332-01	0.6718334863	1
NCGC00261579-01	0.6716761968	1
NCGC00261900-01	0.6711984314	1
NCGC00357017-01	0.6703362071	1
NCGC00261081-01	0.6702243453	1
NCGC00261424-01	0.6694964567	1
NCGC00261165-01	0.6693293007	1
NCGC00261190-01	0.6683043949	1
NCGC00261739-01	0.6680648545	1
NCGC00261399-01	0.66719276	1
NCGC00260803-01	0.666310043	1
NCGC00261947-01	0.6659145284	1
NCGC00357097-01	0.6655243203	1
NCGC00261381-01	0.6654601909	1
NCGC00261808-01	0.6650415892	1
NCGC00261643-01	0.6643305752	1
NCGC00261776-01	0.6635114268	1
NCGC00261713-01	0.6615359502	1
NCGC00261597-01	0.6610044991	1
NCGC00260833-01	0.6599589173	1
NCGC00357007-01	0.6598862191	1
NCGC00261119-01	0.6595730054	1
NCGC00261189-01	0.6591480652	1
NCGC00260990-01	0.6586948801	1
NCGC00356948-01	0.6584125665	1
NCGC00261426-01	0.6582329136	1
NCGC00260713-01	0.6572415268	1
NCGC00357280-01	0.6571583465	1
NCGC00261813-01	0.6565832513	1
