Sample ID	Score	Activity
NCGC00260957-01	1.323698225	1
NCGC00356953-01	1.23350247	1
NCGC00261260-01	1.204729367	1
NCGC00357288-01	1.10992884	1
NCGC00261737-01	1.045721129	1
NCGC00261739-01	1.033725627	1
NCGC00357110-01	1.029940674	1
NCGC00261495-01	0.984897638	1
NCGC00357218-01	0.968764192	1
NCGC00356989-01	0.967537126	1
NCGC00261183-01	0.966947	1
NCGC00261802-01	0.947349917	1
NCGC00357134-01	0.906149381	1
NCGC00260858-01	0.89099625	1
NCGC00261475-01	0.877750488	1
NCGC00357017-01	0.876194314	1
NCGC00261352-01	0.871253772	1
NCGC00261619-01	0.863390546	1
NCGC00261764-01	0.861896747	1
NCGC00357219-01	0.859420411	1
NCGC00261948-01	0.854174383	1
NCGC00357180-01	0.85219309	1
NCGC00261065-01	0.851294152	1
NCGC00357271-01	0.813286554	1
NCGC00260785-01	0.810636325	1
NCGC00261026-01	0.80890323	1
NCGC00261178-01	0.80660662	1
NCGC00261304-01	0.791834017	1
NCGC00261833-01	0.791428888	1
NCGC00357018-01	0.78680959	1
NCGC00261682-01	0.782180382	1
NCGC00357280-01	0.771247042	1
NCGC00357178-01	0.76944561	1
NCGC00261049-01	0.761778198	1
NCGC00357221-01	0.75403238	1
NCGC00261776-01	0.745587111	1
NCGC00261166-01	0.744482768	1
NCGC00261545-01	0.744040813	1
NCGC00261813-01	0.742206316	1
NCGC00261577-01	0.73936658	1
NCGC00261882-01	0.737258319	1
NCGC00357148-01	0.737252968	1
NCGC00261812-01	0.731900661	1
NCGC00357072-01	0.731900661	1
NCGC00261008-01	0.730373313	1
NCGC00261382-01	0.72634498	1
NCGC00261248-01	0.725705627	1
NCGC00357081-01	0.725697909	1
NCGC00357196-01	0.72444597	1
NCGC00357259-01	0.724240929	1
NCGC00260979-01	0.711165405	0
NCGC00261506-01	0.710609498	0
NCGC00260850-01	0.707708709	0
NCGC00356988-01	0.707600819	0
NCGC00261389-01	0.707572125	0
NCGC00261009-01	0.707240615	0
NCGC00357281-01	0.707045146	0
NCGC00260921-01	0.707014122	0
NCGC00260713-01	0.705454189	0
NCGC00357011-01	0.705320795	0
NCGC00261381-01	0.699202351	0
NCGC00261332-01	0.698900312	0
NCGC00261130-01	0.698135265	0
NCGC00356984-01	0.696522538	0
NCGC00260947-01	0.695083909	0
NCGC00260822-01	0.695031677	0
NCGC00261126-01	0.694612545	0
NCGC00357097-01	0.686096959	0
NCGC00357082-01	0.685841464	0
NCGC00261662-01	0.683145636	0
NCGC00260803-01	0.680032752	0
NCGC00261903-01	0.679426965	0
NCGC00261058-01	0.678993959	0
