Sample ID	Score	Activity
NCGC00261348-01	0.3136	0
NCGC00260693-01	0.2209	0
NCGC00261503-01	0.5031	1
NCGC00261119-01	0.6357	1
NCGC00260716-01	0.0236	0
NCGC00260703-01	0.1172	0
NCGC00260823-01	0.0762	0
NCGC00260731-01	0.6514	1
NCGC00261579-01	0.5575	1
NCGC00260782-01	0.1503	0
NCGC00261057-01	0.6395	1
NCGC00261683-01	0.5018	1
NCGC00261738-01	0.5215	1
NCGC00261313-01	0.1668	0
NCGC00260826-01	0.1117	0
NCGC00261633-01	0.1443	0
NCGC00260757-01	0.0666	0
NCGC00261052-01	0.5448	1
NCGC00261005-01	0.3682	0
NCGC00261190-01	0.4905	0
NCGC00260802-01	0.0691	0
NCGC00261842-01	0.4634	0
NCGC00261544-01	0.3236	0
NCGC00261541-01	0.2861	0
NCGC00261812-01	0.5151	1
NCGC00261662-01	0.9048	1
NCGC00261649-01	0.2425	0
NCGC00260831-01	0.5261	1
NCGC00261380-01	0.4113	0
NCGC00260869-01	0.6307	1
NCGC00261060-01	0.8076	1
NCGC00260846-01	0.5741	1
NCGC00261162-01	0.3697	0
NCGC00261395-01	0.4153	0
NCGC00261030-01	0.575	1
NCGC00261856-01	0.4719	0
NCGC00261935-01	0.5146	1
NCGC00261926-01	0.495	0
NCGC00261423-01	0.6097	1
NCGC00261183-01	0.4208	0
NCGC00261924-01	0.1744	0
NCGC00261069-01	0.6161	1
NCGC00260921-01	0.6496	1
NCGC00261110-01	0.5551	1
NCGC00261101-01	0.5913	1
NCGC00260889-01	0.3838	0
NCGC00261619-01	0.5658	1
NCGC00261165-01	0.237	0
NCGC00260698-01	0.3001	0
NCGC00261776-01	0.5008	1
NCGC00261861-01	0.4459	0
NCGC00261026-01	0.7593	1
NCGC00261079-01	0.4779	0
NCGC00260990-01	0.748	1
NCGC00261340-01	0.5988	1
NCGC00260811-01	0.2936	0
NCGC00261130-01	0.5489	1
NCGC00260980-01	0.5264	1
NCGC00261730-01	0.1298	0
NCGC00261716-01	0.1708	0
NCGC00260706-01	0.5715	1
NCGC00261816-01	0.3737	0
NCGC00261404-01	0.1508	0
NCGC00261565-01	0.5185	1
NCGC00261424-01	0.5591	1
NCGC00261507-01	0.3692	0
NCGC00261744-01	0.3031	0
NCGC00261367-01	0.2851	0
NCGC00261058-01	0.5685	1
NCGC00260789-01	0.5492	1
NCGC00261717-01	0.3642	0
NCGC00261420-01	0.5596	1
NCGC00261123-01	0.5713	1
NCGC00260742-01	0.1468	0
NCGC00261529-01	0.5049	1
NCGC00261597-01	0.5358	1
NCGC00261389-01	0.3026	0
NCGC00261169-01	0.4835	0
NCGC00261270-01	0.6073	1
NCGC00261826-01	0.3532	0
NCGC00261641-01	0.569	1
NCGC00260866-01	0.5165	1
NCGC00261624-01	0.3452	0
NCGC00261947-01	0.5084	1
NCGC00261025-01	0.2665	0
NCGC00261853-01	0.524	1
NCGC00261364-01	0.243	0
NCGC00261820-01	0.1212	0
NCGC00260852-01	0.6478	1
NCGC00260911-01	0.3317	0
NCGC00261817-01	0.4173	0
NCGC00261085-01	0.2189	0
NCGC00261189-01	0.508	1
NCGC00261704-01	0.5129	1
NCGC00261808-01	0.5504	1
NCGC00261290-01	0.557	1
NCGC00261342-01	0.5297	1
NCGC00261215-01	0.3502	0
NCGC00261866-01	0.5343	1
NCGC00260972-01	0.4449	0
NCGC00261304-01	0.5123	1
NCGC00261392-01	0.4108	0
NCGC00261638-01	0.585	1
NCGC00261170-01	0.3597	0
NCGC00261384-01	0.511	1
NCGC00260696-01	0.5189	1
NCGC00261113-01	0.1443	0
NCGC00261133-01	0.4664	0
NCGC00260940-01	0.576	1
NCGC00261327-01	0.1448	0
NCGC00261568-01	0.3707	0
NCGC00261178-01	0.5255	1
NCGC00261076-01	0.2154	0
NCGC00261399-01	0.4013	0
NCGC00261611-01	0.4584	0
NCGC00261602-01	0.3021	0
NCGC00260798-01	0.3672	0
NCGC00261506-01	0.5392	1
NCGC00261071-01	0.5856	1
NCGC00261160-01	0.6039	1
NCGC00261679-01	0.705	1
NCGC00261941-01	0.487	0
NCGC00260790-01	0.1233	0
NCGC00260830-01	0.1804	0
NCGC00261903-01	0.5349	1
NCGC00261081-01	0.3111	0
NCGC00261577-01	0.5753	1
NCGC00260850-01	0.3001	0
NCGC00261607-01	0.7302	1
NCGC00260708-01	0.0837	0
NCGC00260785-01	0.5248	1
NCGC00261192-01	0.1688	0
NCGC00261390-01	0.1278	0
NCGC00261782-01	0.5083	1
NCGC00260948-01	0.275	0
