Sample ID	Score	Activity
NCGC00261776-01	0.3322	1
NCGC00261380-01	-0.3348	0
NCGC00261842-01	-0.344	0
NCGC00261662-01	0.612	1
NCGC00261190-01	0.9318	1
NCGC00260731-01	-0.675	0
NCGC00261926-01	-0.5625	0
NCGC00261579-01	0.0682	1
NCGC00260921-01	0.4512	1
NCGC00261119-01	-0.0255	0
NCGC00261812-01	0.5967	1
NCGC00260831-01	0.4695	1
NCGC00261544-01	-0.2017	0
NCGC00261619-01	0.4003	1
NCGC00261395-01	0.3588	1
NCGC00261717-01	-0.008	0
NCGC00261947-01	0.633	1
NCGC00261424-01	0.4533	1
NCGC00261861-01	-0.171	0
NCGC00261924-01	-0.3531	0
NCGC00261026-01	0.9345	1
NCGC00261057-01	-0.7384	0
NCGC00261738-01	0.3225	1
NCGC00261348-01	-0.5604	0
NCGC00261503-01	0.5788	1
NCGC00260693-01	-0.9542	0
NCGC00260703-01	-0.9568	0
NCGC00260716-01	-0.5167	0
NCGC00260782-01	-0.6022	0
NCGC00260802-01	-0.7459	0
NCGC00260823-01	-0.4234	0
NCGC00260757-01	-0.7411	0
NCGC00260826-01	-0.6268	0
NCGC00260889-01	-0.3108	0
NCGC00260811-01	0.2226	1
NCGC00261165-01	-0.2502	0
NCGC00261060-01	0.656	1
NCGC00261541-01	-0.6206	0
NCGC00261649-01	0.2861	1
NCGC00261110-01	0.2044	1
NCGC00261130-01	0.3431	1
NCGC00260846-01	0.0722	1
NCGC00261030-01	0.3693	1
NCGC00261162-01	0.2634	1
NCGC00261058-01	-0.1738	0
NCGC00261404-01	0.525	1
NCGC00261423-01	-0.8984	0
NCGC00261856-01	-0.7578	0
NCGC00261342-01	-0.081	0
NCGC00261069-01	0.4871	1
NCGC00261101-01	-0.1855	0
NCGC00261716-01	-0.4907	0
NCGC00260742-01	-0.9387	0
NCGC00261529-01	-0.5691	0
NCGC00261170-01	-0.2127	0
NCGC00261565-01	-0.2272	0
NCGC00260990-01	0.0686	1
NCGC00261340-01	0.3495	1
NCGC00261079-01	-0.7343	0
NCGC00261389-01	-0.3311	0
NCGC00261744-01	0.1168	1
NCGC00261420-01	-0.2536	0
NCGC00261215-01	-0.6769	0
NCGC00261826-01	-0.3485	0
NCGC00261123-01	0.5553	1
NCGC00261367-01	-0.4795	0
NCGC00261507-01	-0.8741	0
NCGC00261169-01	-0.3704	0
NCGC00261730-01	-0.4118	0
NCGC00261624-01	-0.4373	0
NCGC00261641-01	-0.3873	0
NCGC00261853-01	-0.4863	0
NCGC00260911-01	0.3121	1
NCGC00261384-01	-0.1092	0
NCGC00260785-01	-0.1735	0
NCGC00261025-01	-0.9158	0
NCGC00260789-01	0.7103	1
NCGC00260866-01	0.7306	1
NCGC00261189-01	0.1541	1
NCGC00261270-01	0.0251	1
NCGC00261611-01	-0.1795	0
NCGC00261817-01	0.0062	1
NCGC00261866-01	0.1491	1
NCGC00260852-01	0.6055	1
NCGC00261290-01	0.0441	1
NCGC00261304-01	-0.0652	0
NCGC00261704-01	0.3851	1
NCGC00260850-01	-0.3161	0
NCGC00260972-01	-0.2863	0
NCGC00261392-01	-0.8523	0
NCGC00261638-01	0.4198	1
NCGC00261820-01	0.5355	1
NCGC00261808-01	0.2902	1
NCGC00260790-01	-0.016	0
NCGC00260940-01	-0.0074	0
NCGC00261081-01	-0.8539	0
NCGC00261506-01	0.4272	1
NCGC00261133-01	0.2611	1
NCGC00261399-01	0.3447	1
NCGC00260696-01	0.2364	1
NCGC00261903-01	0.2325	1
NCGC00261178-01	-0.0666	0
NCGC00261568-01	-0.186	0
NCGC00260830-01	-0.4586	0
NCGC00261113-01	-0.6267	0
NCGC00261327-01	-0.4325	0
NCGC00261602-01	-0.1188	0
NCGC00260858-01	0.6965	1
NCGC00261071-01	0.6635	1
NCGC00261076-01	-0.5545	0
NCGC00261192-01	-0.6375	0
NCGC00261577-01	0.4031	1
NCGC00261510-01	-0.4112	0
NCGC00261679-01	0.6164	1
NCGC00261941-01	0.1657	1
NCGC00261343-01	-0.3573	0
NCGC00261607-01	0.1047	1
NCGC00261782-01	0.0147	1
NCGC00261475-01	0.6077	1
NCGC00261764-01	0.3335	1
NCGC00261802-01	0.6775	1
NCGC00261813-01	-0.4072	0
NCGC00260795-01	-0.4506	0
NCGC00261352-01	0.7279	1
NCGC00261009-01	0.2483	1
NCGC00261944-01	-0.5467	0
NCGC00261166-01	0.3116	1
NCGC00261332-01	0.193	1
NCGC00261333-01	-0.3603	0
NCGC00261260-01	-0.1723	0
NCGC00261915-01	-0.2279	0
NCGC00261682-01	-0.1288	0
NCGC00260910-01	-0.1994	0
NCGC00261272-01	0.3978	1
NCGC00260708-01	-0.659	0
NCGC00261390-01	-0.5761	0
NCGC00260948-01	-0.5297	0
NCGC00261840-01	-0.7921	0
NCGC00261153-01	0.3828	1
NCGC00261406-01	-0.6823	0
NCGC00261053-01	-0.7242	0
NCGC00261129-01	-0.2429	0
NCGC00261381-01	-0.2319	0
NCGC00261426-01	0.0203	1
NCGC00260979-01	0.9246	1
NCGC00260993-01	0.8024	1
NCGC00261108-01	0.815	1
NCGC00261877-01	0.6492	1
NCGC00261542-01	0.0164	1
NCGC00261787-01	0.2407	1
NCGC00261065-01	0.0174	1
NCGC00261804-01	-0.301	0
NCGC00260875-01	0.4076	1
NCGC00261451-01	-0.4611	0
NCGC00261948-01	0.0555	1
NCGC00261382-01	-0.6164	0
NCGC00261297-01	-0.3369	0
NCGC00261321-01	0.0178	1
NCGC00261446-01	0.1148	1
NCGC00261474-01	-0.1773	0
NCGC00260803-01	0.6493	1
NCGC00260833-01	0.5399	1
NCGC00261008-01	0.4201	1
NCGC00261155-01	0.6679	1
NCGC00261643-01	0.6997	1
NCGC00261126-01	0.1179	1
NCGC00260871-01	0.4468	1
NCGC00260713-01	-0.442	0
NCGC00261487-01	-0.1822	0
NCGC00261545-01	-0.2315	0
NCGC00261480-01	-0.1597	0
NCGC00261838-01	-0.3183	0
NCGC00261627-01	-0.7206	0
NCGC00261177-01	-0.2891	0
NCGC00260775-01	-0.7238	0
NCGC00260707-01	-0.5117	0
NCGC00261554-01	0.8547	1
NCGC00261713-01	0.4199	1
NCGC00261737-01	0.3372	1
NCGC00261882-01	0.6325	1
NCGC00261933-01	0.1061	1
NCGC00261201-01	-0.3241	0
NCGC00261398-01	-0.0229	0
NCGC00261003-01	-0.1744	0
NCGC00261019-01	0.2671	1
NCGC00261519-01	-0.3479	0
NCGC00261732-01	-0.8233	0
NCGC00260982-01	-0.1217	0
NCGC00261176-01	-0.4295	0
NCGC00261657-01	-0.6525	0
NCGC00260822-01	-0.0453	0
NCGC00261142-01	-0.0376	0
NCGC00261582-01	-0.002	0
NCGC00261825-01	-0.0957	0
NCGC00261833-01	-0.4923	0
NCGC00261835-01	-0.3899	0
NCGC00261860-01	-0.1417	0
NCGC00261906-01	0.1142	1
NCGC00261916-01	0.3426	1
NCGC00261939-01	-0.4017	0
NCGC00261869-01	-0.9824	0
