Sample ID	Score	Activity
NCGC00261900	0.6124	1
NCGC00260869	0.586	0
NCGC00261776	0.523	0
NCGC00261380	0.5022	0
NCGC00261842	0.3528	0
NCGC00261662	0.7062	1
NCGC00261190	0.8004	1
NCGC00260731	0.483	0
NCGC00261926	0.5474	0
NCGC00261579	0.6592	1
NCGC00260921	0.6742	1
NCGC00261119	0.734	1
NCGC00260957	0.6406	1
NCGC00261812	0.6336	1
NCGC00260831	0.6596	1
NCGC00261544	0.6686	1
NCGC00261619	0.7176	1
NCGC00261633	0.5018	0
NCGC00261395	0.6696	1
NCGC00261717	0.4984	0
NCGC00261947	0.7478	1
NCGC00261424	0.8926	1
NCGC00261861	0.846	1
NCGC00261924	0.5002	0
NCGC00261052	0.6518	1
NCGC00261683	0.6136	1
NCGC00261026	0.6836	1
NCGC00261057	0.4862	0
NCGC00261738	0.6392	1
NCGC00261348	0.0938	0
NCGC00261503	0.3846	0
NCGC00260693	0.1666	0
NCGC00260703	0.2012	0
NCGC00260716	0.1056	0
NCGC00260782	0.2298	0
NCGC00260802	0.0876	0
NCGC00260823	0.2612	0
NCGC00261313	0.0442	0
NCGC00260757	0.2158	0
NCGC00260826	0.2704	0
NCGC00261005	0.2546	0
NCGC00260980	0.736	1
NCGC00261816	0.3858	0
NCGC00260698	0.5698	0
NCGC00260889	0.2984	0
NCGC00260811	0.604	1
NCGC00261165	0.5886	0
NCGC00261060	0.5668	0
NCGC00261541	0.2608	0
NCGC00261649	0.1662	0
NCGC00261110	0.7704	1
NCGC00261130	0.8174	1
NCGC00260846	0.6314	1
NCGC00261030	0.79	1
NCGC00261162	0.6608	1
NCGC00261058	0.4972	0
NCGC00261404	0.4056	0
NCGC00261423	0.429	0
NCGC00261856	0.4198	0
NCGC00261342	0.8034	1
NCGC00261935	0.1094	0
NCGC00261069	0.8032	1
NCGC00261101	0.5022	0
NCGC00261183	0.4782	0
NCGC00261716	0.4722	0
NCGC00260742	0.522	0
NCGC00261529	0.465	0
NCGC00261170	0.6196	1
NCGC00261565	0.5296	0
NCGC00260990	0.8918	1
NCGC00261340	0.5196	0
NCGC00261079	0.5748	0
NCGC00261389	0.627	1
NCGC00261744	0.2972	0
NCGC00261420	0.5508	0
NCGC00261215	0.6132	1
NCGC00261826	0.4836	0
NCGC00260706	0.5732	0
NCGC00261123	0.8624	1
NCGC00261367	0.4426	0
