Sample ID	Score	Activity
NCGC00260691	0.08485	0
NCGC00260692	0.07841	0
NCGC00260693	0.05925	0
NCGC00260696	0.39398	0
NCGC00260698	0.32751	0
NCGC00260703	0.04473	0
NCGC00260706	0.29906	0
NCGC00260707	0.29593	0
NCGC00260708	0.02828	0
NCGC00260713	0.52228	1
NCGC00260716	0.00616	0
NCGC00260728	0.05689	0
NCGC00260731	0.43249	0
NCGC00260742	0.38879	0
NCGC00260743	0.11784	0
NCGC00260751	0.03613	0
NCGC00260757	0.01700	0
NCGC00260770	0.22920	0
NCGC00260775	0.03673	0
NCGC00260782	0.09440	0
NCGC00260785	0.48021	0
NCGC00260789	0.33096	0
NCGC00260790	0.36505	0
NCGC00260795	0.45831	0
NCGC00260798	0.49827	0
NCGC00260802	0.02808	0
NCGC00260803	0.39655	0
NCGC00260811	0.25839	0
NCGC00260815	0.51767	1
NCGC00260817	0.11451	0
NCGC00260821	0.27607	0
NCGC00260822	0.69520	1
NCGC00260823	0.18203	0
NCGC00260826	0.03456	0
NCGC00260830	0.32938	0
NCGC00260831	0.50728	1
NCGC00260833	0.53641	1
NCGC00260834	0.51003	1
NCGC00260840	0.48786	0
NCGC00260846	0.27324	0
NCGC00260850	0.45759	0
NCGC00260852	0.35177	0
NCGC00260858	0.55509	1
NCGC00260866	0.34194	0
NCGC00260867	0.03127	0
NCGC00260869	0.44366	0
NCGC00260871	0.44631	0
NCGC00260875	0.42839	0
NCGC00260876	0.04592	0
NCGC00260881	0.17091	0
NCGC00260889	0.18947	0
NCGC00260890	0.23076	0
NCGC00260892	0.30186	0
NCGC00260910	0.42434	0
NCGC00260911	0.21912	0
NCGC00260921	0.54650	1
NCGC00260940	0.44014	0
NCGC00260947	0.54647	1
NCGC00260948	0.07105	0
NCGC00260957	0.65938	1
NCGC00260962	0.58071	1
NCGC00260972	0.50867	1
NCGC00260979	0.70103	1
NCGC00260980	0.56259	1
NCGC00260982	0.20178	0
NCGC00260990	0.55715	1
NCGC00260993	0.32374	0
NCGC00261003	0.40483	0
NCGC00261005	0.13834	0
NCGC00261007	0.13160	0
NCGC00261008	0.62469	1
NCGC00261009	0.54937	1
NCGC00261013	0.27712	0
NCGC00261018	0.12091	0
NCGC00261019	0.21335	0
NCGC00261025	0.15174	0
NCGC00261026	0.65817	1
NCGC00261028	0.36586	0
NCGC00261030	0.41310	0
NCGC00261037	0.23824	0
NCGC00261049	0.56423	1
NCGC00261052	0.23847	0
NCGC00261053	0.07099	0
NCGC00261057	0.29928	0
NCGC00261058	0.46635	0
NCGC00261060	0.15846	0
NCGC00261065	0.58134	1
NCGC00261071	0.62801	1
NCGC00261075	0.09065	0
NCGC00261076	0.16672	0
NCGC00261079	0.14922	0
NCGC00261080	0.49800	0
NCGC00261081	0.41284	0
NCGC00261085	0.11310	0
NCGC00261101	0.35743	0
NCGC00261108	0.32851	0
NCGC00261110	0.24137	0
NCGC00261113	0.32052	0
NCGC00261119	0.50439	1
NCGC00261123	0.61090	1
NCGC00261129	0.06334	0
NCGC00261130	0.47377	0
