Sample ID	Score	Activity
NCGC00261900-01	0.15644	0
NCGC00260869-01	0.17611	0
NCGC00261776-01	0.1374	0
NCGC00261380-01	0.08783	0
NCGC00261842-01	0.10403	0
NCGC00261662-01	0.11441	0
NCGC00261190-01	0.14286	0
NCGC00260731-01	0.0619	0
NCGC00261926-01	0.16761	0
NCGC00261579-01	0.07011	0
NCGC00260921-01	0.04322	0
NCGC00261119-01	0.06576	0
NCGC00260957-01	0.25707	0
NCGC00261812-01	0.16636	0
NCGC00260831-01	0.11978	0
NCGC00261544-01	0.07644	0
NCGC00261619-01	0.12656	0
NCGC00261633-01	0.01133	0
NCGC00261395-01	0.14711	0
NCGC00261717-01	0.17316	0
NCGC00261947-01	0.1606	0
NCGC00261424-01	0.36322	0
NCGC00261861-01	0.06501	0
NCGC00261924-01	0.02733	0
NCGC00261052-01	0.1108	0
NCGC00261683-01	0.19899	0
NCGC00261026-01	0.52022	1
NCGC00261057-01	0.10259	0
NCGC00261738-01	0.12582	0
NCGC00261348-01	0.02232	0
NCGC00261503-01	0.06133	0
NCGC00260693-01	0.04342	0
NCGC00260703-01	0.03947	0
NCGC00260716-01	0.00311	0
NCGC00260782-01	0.10533	0
NCGC00260802-01	0.04433	0
NCGC00260823-01	0.02484	0
NCGC00261313-01	0.00829	0
NCGC00260757-01	0.028	0
NCGC00260826-01	0.00692	0
NCGC00261005-01	0.04261	0
NCGC00260980-01	0.07888	0
NCGC00261816-01	0.06583	0
NCGC00260698-01	0.054	0
NCGC00260889-01	0.0848	0
NCGC00260811-01	0.07322	0
NCGC00261165-01	0.10114	0
NCGC00261060-01	0.08545	0
NCGC00261541-01	0.01482	0
NCGC00261649-01	0.0718	0
NCGC00261110-01	0.06811	0
NCGC00261130-01	0.15973	0
NCGC00260846-01	0.11333	0
NCGC00261030-01	0.03372	0
NCGC00261162-01	0.10833	0
NCGC00261058-01	0.16408	0
NCGC00261404-01	0.08506	0
NCGC00261423-01	0.13425	0
NCGC00261856-01	0.05444	0
NCGC00261342-01	0.18618	0
NCGC00261935-01	0.034	0
NCGC00261069-01	0.08406	0
NCGC00261101-01	0.05683	0
NCGC00261183-01	0.06457	0
NCGC00261716-01	0.0352	0
NCGC00260742-01	0.10293	0
NCGC00261529-01	0.05267	0
NCGC00261170-01	0.054	0
NCGC00261565-01	0.10168	0
NCGC00260990-01	0.11197	0
NCGC00261340-01	0.05183	0
NCGC00261079-01	0.05878	0
NCGC00261389-01	0.14291	0
NCGC00261744-01	0.15478	0
NCGC00261420-01	0.07689	0
NCGC00261215-01	0.09959	0
NCGC00261826-01	0.091	0
NCGC00260706-01	0.04598	0
NCGC00261123-01	0.14774	0
NCGC00261367-01	0.10418	0
NCGC00261507-01	0.07763	0
NCGC00261169-01	0.11978	0
NCGC00261730-01	0.03667	0
NCGC00261624-01	0.05528	0
NCGC00261641-01	0.04689	0
NCGC00261853-01	0.34908	0
NCGC00260911-01	0.12018	0
NCGC00260798-01	0.05087	0
NCGC00261384-01	0.10115	0
NCGC00260785-01	0.12958	0
NCGC00261597-01	0.16004	0
NCGC00261025-01	0.01867	0
NCGC00260789-01	0.19856	0
NCGC00260866-01	0.19357	0
NCGC00261189-01	0.05978	0
NCGC00261270-01	0.0685	0
NCGC00261611-01	0.11181	0
NCGC00261160-01	0.31673	0
NCGC00261085-01	0.02533	0
NCGC00261817-01	0.04844	0
NCGC00261866-01	0.07718	0
NCGC00260852-01	0.10283	0
NCGC00261290-01	0.12356	0
NCGC00261304-01	0.1687	0
NCGC00261704-01	0.15688	0
NCGC00260850-01	0.09442	0
NCGC00260972-01	0.139	0
NCGC00261364-01	0.01667	0
NCGC00261392-01	0.09027	0
NCGC00261638-01	0.10407	0
NCGC00261820-01	0.07644	0
NCGC00261808-01	0.06523	0
NCGC00260790-01	0.08433	0
NCGC00260940-01	0.12274	0
NCGC00261081-01	0.07483	0
NCGC00261506-01	0.14341	0
NCGC00261133-01	0.10489	0
NCGC00261399-01	0.1937	0
NCGC00260696-01	0.16394	0
NCGC00261903-01	0.0835	0
NCGC00261178-01	0.14881	0
NCGC00261568-01	0.11809	0
NCGC00260830-01	0.10589	0
NCGC00261113-01	0.0505	0
NCGC00261327-01	0.05804	0
NCGC00261602-01	0.05661	0
NCGC00260858-01	0.36267	0
NCGC00261071-01	0.16574	0
NCGC00261076-01	0.03756	0
NCGC00261192-01	0.18233	0
NCGC00261495-01	0.11322	0
NCGC00261577-01	0.17265	0
NCGC00261510-01	0.10067	0
NCGC00261679-01	0.04604	0
NCGC00261941-01	0.11056	0
NCGC00261343-01	0.0671	0
NCGC00261607-01	0.10855	0
NCGC00261782-01	0.10848	0
NCGC00261914-01	0.10246	0
NCGC00261475-01	0.20142	0
NCGC00261764-01	0.22026	0
NCGC00261802-01	0.25627	0
NCGC00261813-01	0.15556	0
NCGC00260795-01	0.03533	0
NCGC00261352-01	0.18089	0
NCGC00261009-01	0.13268	0
NCGC00261944-01	0.15882	0
NCGC00261166-01	0.20453	0
NCGC00261332-01	0.21004	0
NCGC00261333-01	0.17139	0
NCGC00261260-01	0.22323	0
NCGC00261915-01	0.10222	0
NCGC00261238-01	0.06423	0
NCGC00261682-01	0.13867	0
NCGC00261049-01	0.11613	0
NCGC00260910-01	0.11594	0
NCGC00261272-01	0.14789	0
NCGC00260708-01	0.0068	0
NCGC00261390-01	0.1363	0
NCGC00260948-01	0.0133	0
NCGC00261840-01	0.00826	0
NCGC00260881-01	0.00933	0
NCGC00261153-01	0.1107	0
NCGC00261406-01	0.00333	0
NCGC00261053-01	0.01422	0
NCGC00261129-01	0.04441	0
NCGC00261381-01	0.16212	0
NCGC00261426-01	0.17006	0
NCGC00260979-01	0.73619	1
NCGC00260993-01	0.214	0
NCGC00261108-01	0.26017	0
NCGC00261441-01	0.11987	0
NCGC00261877-01	0.05789	0
NCGC00260815-01	0.22127	0
NCGC00261542-01	0.10803	0
NCGC00261958-01	0.05128	0
NCGC00261787-01	0.06511	0
NCGC00261065-01	0.18142	0
NCGC00261804-01	0.10949	0
NCGC00260875-01	0.11675	0
NCGC00261451-01	0.001	0
NCGC00261739-01	0.23728	0
NCGC00261948-01	0.22044	0
NCGC00261382-01	0.20063	0
NCGC00261663-01	0.15766	0
NCGC00260892-01	0.11514	0
NCGC00261297-01	0.07151	0
NCGC00261321-01	0.08247	0
NCGC00261446-01	0.09623	0
NCGC00261474-01	0.04054	0
NCGC00260834-01	0.18593	0
NCGC00260840-01	0.3506	0
NCGC00260947-01	0.22	0
NCGC00261080-01	0.05733	0
NCGC00261563-01	0.19842	0
NCGC00261873-01	0.18533	0
NCGC00260803-01	0.26483	0
NCGC00260833-01	0.2541	0
NCGC00261008-01	0.38091	0
NCGC00261155-01	0.13911	0
NCGC00261643-01	0.18933	0
NCGC00261037-01	0.08783	0
NCGC00261126-01	0.448	0
NCGC00260871-01	0.06567	0
NCGC00260713-01	0.09889	0
NCGC00261487-01	0.11278	0
NCGC00261545-01	0.13544	0
NCGC00261480-01	0.07439	0
NCGC00261838-01	0.05133	0
NCGC00261627-01	0.02417	0
NCGC00261639-01	0.04295	0
NCGC00261177-01	0.02533	0
NCGC00260692-01	0.00533	0
NCGC00260775-01	0.00484	0
NCGC00260876-01	0.00067	0
NCGC00261598-01	0.006	0
NCGC00260707-01	0.08683	0
NCGC00261554-01	0.11355	0
NCGC00261713-01	0.10039	0
NCGC00261737-01	0.23917	0
NCGC00261882-01	0.09164	0
NCGC00261933-01	0.17761	0
NCGC00261201-01	0.07572	0
NCGC00261398-01	0.1608	0
NCGC00261601-01	0.04067	0
NCGC00261003-01	0.042	0
NCGC00261019-01	0.01583	0
NCGC00261519-01	0.05531	0
NCGC00261732-01	0.02444	0
NCGC00261718-01	0.01763	0
NCGC00260743-01	0.02067	0
NCGC00260751-01	0.004	0
NCGC00260867-01	0.06267	0
NCGC00260982-01	0.036	0
NCGC00261176-01	0.00667	0
NCGC00261289-01	0.00667	0
NCGC00261440-01	0.03133	0
NCGC00261657-01	0.00044	0
NCGC00260822-01	0.08118	0
NCGC00261142-01	0.16416	0
NCGC00261582-01	0.01183	0
NCGC00261825-01	0.24093	0
NCGC00261833-01	0.30178	0
NCGC00261835-01	0.03638	0
NCGC00261860-01	0.15606	0
NCGC00261906-01	0.225	0
NCGC00261916-01	0.14353	0
NCGC00261939-01	0.09972	0
NCGC00261869-01	0.0221	0
NCGC00261163-01	0.10517	0
NCGC00261653-01	0.03707	0
NCGC00261248-01	0.02667	0
NCGC00260770-01	0.03567	0
NCGC00261013-01	0.052	0
NCGC00261910-01	0.12533	0
NCGC00261686-01	0.00833	0
NCGC00261147-01	0.004	0
NCGC00261578-01	0.0	0
NCGC00261336-01	0.04158	0
NCGC00261593-01	0.1003	0
NCGC00260821-01	0.05233	0
NCGC00261007-01	0.04838	0
NCGC00261246-01	0.01267	0
NCGC00261949-01	0.01467	0
NCGC00260890-01	0.0644	0
NCGC00261294-01	0.03414	0
NCGC00261330-01	0.03717	0
NCGC00261470-01	0.08467	0
NCGC00260691-01	0.0525	0
NCGC00261693-01	0.10393	0
NCGC00261293-01	0.06467	0
NCGC00261018-01	0.05444	0
NCGC00261075-01	0.04933	0
NCGC00261150-01	0.03422	0
NCGC00261767-01	0.15361	0
NCGC00261824-01	0.04771	0
NCGC00261146-01	0.03067	0
NCGC00260817-01	0.0255	0
NCGC00261161-01	0.01567	0
NCGC00260728-01	0.03767	0
NCGC00261286-01	0.05561	0
NCGC00261254-01	0.1	0
NCGC00261261-01	0.07398	0
NCGC00261691-01	0.06178	0
NCGC00261921-01	0.10456	0
NCGC00260962-01	0.32094	0
NCGC00261028-01	0.07844	0
NCGC00261349-01	0.03833	0
NCGC00261583-01	0.06389	0
NCGC00261672-01	0.04239	0
NCGC00261620-01	0.11679	0
NCGC00261141-01	0.10159	0
NCGC00261752-01	0.1719	0
NCGC00261828-01	0.10174	0
NCGC00261913-01	0.03867	0
NCGC00261473-01	0.05889	0
NCGC00356953-01	0.04917	0
NCGC00357009-01	0.00467	0
NCGC00357188-01	0.027	0
NCGC00357201-01	0.05167	0
NCGC00357189-01	0.0422	0
NCGC00357163-01	0.006	0
NCGC00357001-01	0.09133	0
NCGC00357030-01	0.10356	0
NCGC00357123-01	0.0635	0
NCGC00357091-01	0.02733	0
NCGC00357004-01	0.0654	0
NCGC00357103-01	0.00478	0
NCGC00357289-01	0.03378	0
NCGC00357082-01	0.858	1
NCGC00356999-01	0.03598	0
NCGC00357116-01	0.0	0
NCGC00357010-01	0.05607	0
NCGC00357057-01	0.12744	0
NCGC00357171-01	0.0	0
NCGC00356964-01	0.01239	0
NCGC00356995-01	0.024	0
NCGC00357062-01	0	0
NCGC00357205-01	0.022	0
NCGC00357185-01	0.04185	0
NCGC00357028-01	0.01428	0
NCGC00357064-01	0.02133	0
NCGC00357196-01	0.04967	0
NCGC00357271-01	0.11834	0
NCGC00357213-01	0.04033	0
NCGC00357198-01	0.0	0
NCGC00357079-01	0.01733	0
NCGC00356984-01	0.05167	0
NCGC00357080-01	0.00622	0
NCGC00357173-01	0.00444	0
NCGC00357277-01	0.044	0
NCGC00357240-01	0.02533	0
NCGC00357145-01	0.00333	0
NCGC00357157-01	0.00198	0
NCGC00357160-01	0.1069	0
NCGC00357107-01	0.002	0
NCGC00357106-01	0.01368	0
NCGC00357047-01	0.0	0
NCGC00357174-01	0.0	0
NCGC00357090-01	0.0	0
NCGC00357204-01	0.00333	0
NCGC00357214-01	0.00533	0
NCGC00357124-01	0.00978	0
NCGC00356983-01	0.01982	0
NCGC00357092-01	0.00189	0
NCGC00357042-01	0.00133	0
NCGC00357036-01	0.00667	0
NCGC00357089-01	0.11072	0
NCGC00357170-01	0.02317	0
NCGC00357132-01	0.13978	0
NCGC00357265-01	0.00067	0
NCGC00357260-01	0.01422	0
NCGC00357023-01	0.02322	0
NCGC00357114-01	0.00333	0
NCGC00357033-01	0.002	0
NCGC00357120-01	0.02083	0
NCGC00356963-01	0.002	0
NCGC00357055-01	0.016	0
NCGC00357139-01	0.00667	0
NCGC00357026-01	0	0
NCGC00357242-01	0.03056	0
NCGC00357161-01	0.01696	0
NCGC00357279-01	0.00267	0
NCGC00357288-01	0.26028	0
NCGC00356973-01	0.02146	0
NCGC00357143-01	0.04386	0
NCGC00357182-01	0.01331	0
NCGC00356971-01	0.00533	0
NCGC00357084-01	0.0	0
NCGC00357112-01	0.002	0
NCGC00356962-01	0.00067	0
NCGC00356993-01	0.08693	0
NCGC00357284-01	0.05924	0
NCGC00357046-01	0.02083	0
NCGC00357000-01	0.04033	0
NCGC00357012-01	0.07862	0
NCGC00356939-01	0.02787	0
NCGC00356955-01	0.11072	0
NCGC00357262-01	0.048	0
NCGC00356991-01	0.0388	0
NCGC00357203-01	0.04687	0
NCGC00357049-01	0.014	0
NCGC00357164-01	0.01044	0
NCGC00357073-01	0.02371	0
NCGC00357043-01	0.02778	0
NCGC00357269-01	0.00067	0
NCGC00357266-01	0.01333	0
NCGC00357076-01	0.00047	0
NCGC00357153-01	0.032	0
NCGC00357138-01	0.002	0
NCGC00357071-01	0.00533	0
NCGC00357274-01	0.00933	0
NCGC00356981-01	0.002	0
NCGC00357278-01	0.01133	0
NCGC00357113-01	0.01467	0
NCGC00357218-01	0.518	1
NCGC00357018-01	0.01356	0
NCGC00357048-01	0.00067	0
NCGC00357162-01	0.00402	0
NCGC00356941-01	0.00067	0
NCGC00357184-01	0.00665	0
NCGC00357238-01	0.07599	0
NCGC00357220-01	0.03017	0
NCGC00357252-01	0.03311	0
NCGC00357159-01	0.00133	0
