Name	Score	Activity 
NCGC00357026	0.649056556	1
NCGC00357259	0.928926656	1
NCGC00357053	0.020891993	0
NCGC00261611	0.193825982	0
NCGC00261563	0.74265511	1
NCGC00261075	0.200255263	0
NCGC00357227	0.308847542	0
NCGC00261495	0.901741656	1
NCGC00357018	0.812165616	1
NCGC00261544	0.352367617	0
NCGC00261817	0.432486485	0
NCGC00357252	0.087549475	0
NCGC00357140	0.190527507	0
NCGC00357057	0.037603461	0
NCGC00356975	0.050604225	0
NCGC00357062	0.794614905	1
NCGC00357235	0.04587051	0
NCGC00260716	0.10972977	0
NCGC00261336	0.19141198	0
NCGC00357014	0.764789072	1
NCGC00261272	0.929874459	1
NCGC00261238	0.249304631	0
NCGC00261935	0.038355433	0
NCGC00357264	0.010232596	0
NCGC00357182	0.098378827	0
NCGC00357153	0.054554949	0
NCGC00261142	0.597963867	0
NCGC00261752	0.874263433	1
NCGC00356983	0.008117211	0
NCGC00357118	0.535944528	0
NCGC00261828	0.71599648	1
NCGC00357191	0.456463191	0
NCGC00357167	0.480604761	0
NCGC00260911	0.450454956	0
NCGC00357025	0.045592946	0
NCGC00357101	0.013164543	0
NCGC00261065	0.909646609	1
NCGC00357229	0.011885985	0
NCGC00261053	0.021006838	0
NCGC00261183	0.492531924	0
NCGC00357147	0.032481477	0
NCGC00357209	0.430870827	0
NCGC00260822	0.516751816	0
NCGC00356954	0.014970731	0
NCGC00261330	0.369559284	0
NCGC00261835	0.690130527	1
NCGC00357081	0.76928497	1
NCGC00261404	0.040115224	0
NCGC00260713	0.865984638	1
NCGC00357056	0.575714649	0
NCGC00357095	0.201738743	0
NCGC00357138	0.018525505	0
NCGC00261686	0.039572185	0
NCGC00357189	0.010288378	0
NCGC00261582	0.394622712	0
NCGC00260802	0.134574602	0
NCGC00261395	0.711933756	1
NCGC00356951	0.007339132	0
NCGC00261767	0.131851148	0
NCGC00357187	0.385837088	0
NCGC00261638	0.34765952	0
NCGC00261155	0.731571728	1
NCGC00356984	0.68623898	1
NCGC00261704	0.686741603	1
NCGC00357102	0.071877398	0
NCGC00357276	0.057780003	0
NCGC00357251	0.049630919	0
NCGC00260921	0.857363212	1
NCGC00356944	0.015625519	0
NCGC00357260	0.04424808	0
NCGC00261633	0.024418868	0
NCGC00357093	0.914580061	1
NCGC00356985	0.014677114	0
NCGC00357085	0.382410101	0
NCGC00260708	0.052837657	0
NCGC00356980	0.026940136	0
NCGC00357009	0.006716436	0
NCGC00357016	0.132090867	0
NCGC00356998	0.067332974	0
NCGC00260782	0.097327564	0
NCGC00357074	0.018610443	0
NCGC00357171	0.007962774	0
NCGC00357230	0.787558692	1
NCGC00357002	0.284417674	0
NCGC00261866	0.53529368	0
NCGC00261825	0.954266914	1
NCGC00356965	0.006879209	0
NCGC00356952	0.219086051	0
NCGC00261662	0.872006642	1
NCGC00260826	0.1139893	0
NCGC00357133	0.090619812	0
NCGC00357006	0.027935008	0
NCGC00261653	0.134419763	0
NCGC00261826	0.248899757	0
NCGC00357061	0.230641296	0
NCGC00357165	0.018796868	0
NCGC00357172	0.647345396	1
NCGC00260821	0.084216644	0
NCGC00261392	0.233540852	0
NCGC00261873	0.525030101	0
NCGC00357181	0.822818245	1
NCGC00357143	0.039755664	0
NCGC00357089	0.184333822	0
NCGC00357205	0.716054555	1
NCGC00357173	0.008868699	0
NCGC00357079	0.024189524	0
NCGC00260830	0.195438812	0
NCGC00261163	0.173469126	0
NCGC00357237	0.265235943	0
NCGC00357214	0.014140703	0
NCGC00357144	0.398975027	0
NCGC00357220	0.218412321	0
NCGC00261529	0.474398217	0
NCGC00261583	0.497756977	0
NCGC00260803	0.808016613	1
NCGC00261663	0.020853984	0
NCGC00260751	0.046678879	0
NCGC00356973	0.033754715	0
NCGC00260833	0.841182093	1
NCGC00357265	0.014279882	0
NCGC00357059	0.278711379	0
NCGC00356972	0.17230172	0
NCGC00261824	0.509005424	0
NCGC00357103	0.04890725	0
NCGC00357130	0.013064388	0
NCGC00260795	0.62090847	1
NCGC00261294	0.059162544	0
NCGC00261507	0.038876347	0
NCGC00260817	0.027886276	0
NCGC00357076	0.104791883	0
NCGC00357097	0.854259615	1
NCGC00357163	0.007967738	0
NCGC00357215	0.081439469	0
NCGC00357278	0.018491817	0
NCGC00260728	0.26146756	0
NCGC00356979	0.011036134	0
NCGC00357267	0.009447527	0
NCGC00357044	0.331054368	0
NCGC00357152	0.009693186	0
NCGC00261246	0.065946432	0
NCGC00356948	0.271058134	0
NCGC00261906	0.940685966	1
NCGC00357088	0.011117976	0
NCGC00261342	0.194135676	0
NCGC00357065	0.154190125	0
NCGC00357250	0.055545705	0
NCGC00357255	0.879267555	1
NCGC00261808	0.628179949	1
NCGC00357040	0.030461795	0
NCGC00261627	0.032871987	0
NCGC00261519	0.035192789	0
NCGC00357032	0.559934073	0
NCGC00261924	0.022932519	0
NCGC00356986	0.285907423	0
NCGC00261333	0.538720089	0
NCGC00357011	0.920953994	1
NCGC00357128	0.630050208	1
NCGC00261008	0.451476922	0
NCGC00261162	0.834815903	1
NCGC00357000	0.083092531	0
NCGC00356938	0.165111511	0
NCGC00357176	0.178039695	0
NCGC00261348	0.121073093	0
NCGC00261190	0.788071997	1
NCGC00260972	0.52485209	0
NCGC00357272	0.012186899	0
NCGC00357277	0.042996033	0
NCGC00357271	0.972729017	1
NCGC00260785	0.815600069	1
NCGC00261473	0.03408136	0
NCGC00261683	0.810552321	1
NCGC00261541	0.011750564	0
NCGC00260947	0.736167486	1
NCGC00260692	0.01231009	0
NCGC00357049	0.008847309	0
NCGC00357003	0.441991332	0
NCGC00260696	0.64975491	1
NCGC00261568	0.653490681	1
NCGC00357037	0.014985025	0
NCGC00357083	0.200381253	0
NCGC00357145	0.18823222	0
NCGC00357112	0.092167697	0
NCGC00356970	0.752490056	1
NCGC00261787	0.84149953	1
NCGC00357012	0.824588082	1
NCGC00356994	0.493736023	0
NCGC00261578	0.00913147	0
NCGC00357188	0.099492716	0
NCGC00261321	0.508297363	0
NCGC00260869	0.489261243	0
NCGC00261542	0.593658674	0
NCGC00357281	0.754511196	1
NCGC00356966	0.009565906	0
NCGC00261030	0.405789319	0
NCGC00357127	0.010790202	0
NCGC00261406	0.018983291	0
NCGC00261037	0.546684198	0
NCGC00357022	0.131882523	0
NCGC00261840	0.021089417	0
NCGC00357195	0.209209201	0
NCGC00356976	0.821405571	1
NCGC00357262	0.882507605	1
NCGC00261304	0.844536202	1
