Sample ID	Score	Activity
NCGC00261900-01	0.07357	0
NCGC00260869-01	0.07215	0
NCGC00261776-01	0.0731	0
NCGC00261380-01	0.06948	0
NCGC00261842-01	0.06588	0
NCGC00261662-01	0.07995	0
NCGC00261190-01	0.07244	0
NCGC00260731-01	0.05565	0
NCGC00261926-01	0.07165	0
NCGC00261579-01	0.0623	0
NCGC00260921-01	0.05541	0
NCGC00261119-01	0.06203	0
NCGC00260957-01	0.07344	0
NCGC00261812-01	0.07046	0
NCGC00260831-01	0.07385	0
NCGC00261544-01	0.06552	0
NCGC00261619-01	0.07503	0
NCGC00261633-01	0.05118	0
NCGC00261395-01	0.07367	0
NCGC00261717-01	0.07338	0
NCGC00261947-01	0.07347	0
NCGC00261424-01	0.11799	0
NCGC00261861-01	0.0648	0
NCGC00261924-01	0.05131	0
NCGC00261052-01	0.07493	0
NCGC00261683-01	0.07004	0
NCGC00261026-01	0.09374	0
NCGC00261057-01	0.06199	0
NCGC00261738-01	0.0682	0
NCGC00261348-01	0.04361	0
NCGC00261503-01	0.0606	0
NCGC00260693-01	0.05362	0
NCGC00260703-01	0.04746	0
NCGC00260716-01	0.02406	0
NCGC00260782-01	0.04984	0
NCGC00260802-01	0.03862	0
NCGC00260823-01	0.0311	0
NCGC00261313-01	0.03071	0
NCGC00260757-01	0.02079	0
NCGC00260826-01	0.01847	0
NCGC00261005-01	0.04114	0
NCGC00260980-01	0.06951	0
NCGC00261816-01	0.06736	0
NCGC00260698-01	0.06659	0
NCGC00260889-01	0.06242	0
NCGC00260811-01	0.06335	0
NCGC00261165-01	0.06994	0
NCGC00261060-01	0.06862	0
NCGC00261541-01	0.04495	0
NCGC00261649-01	0.0472	0
NCGC00261110-01	0.0612	0
NCGC00261130-01	0.07209	0
NCGC00260846-01	0.07199	0
NCGC00261030-01	0.0486	0
NCGC00261162-01	0.12808	0
NCGC00261058-01	0.07224	0
NCGC00261404-01	0.0652	0
NCGC00261423-01	0.07284	0
NCGC00261856-01	0.05373	0
NCGC00261342-01	0.07445	0
NCGC00261935-01	0.02862	0
NCGC00261069-01	0.06811	0
NCGC00261101-01	0.06787	0
NCGC00261183-01	0.06642	0
NCGC00261716-01	0.06576	0
NCGC00260742-01	0.06958	0
NCGC00261529-01	0.06035	0
NCGC00261170-01	0.05721	0
NCGC00261565-01	0.06397	0
NCGC00260990-01	0.07493	0
NCGC00261340-01	0.06116	0
NCGC00261079-01	0.06102	0
NCGC00261389-01	0.07208	0
NCGC00261744-01	0.06916	0
NCGC00261420-01	0.06124	0
NCGC00261215-01	0.07196	0
NCGC00261826-01	0.06694	0
NCGC00260706-01	0.05862	0
NCGC00261123-01	0.07681	0
NCGC00261367-01	0.06855	0
NCGC00261507-01	0.06612	0
NCGC00261169-01	0.06939	0
NCGC00261730-01	0.05402	0
NCGC00261624-01	0.05996	0
NCGC00261641-01	0.06341	0
NCGC00261853-01	0.10007	0
NCGC00260911-01	0.06464	0
NCGC00260798-01	0.06179	0
NCGC00261384-01	0.06816	0
NCGC00260785-01	0.07183	0
NCGC00261597-01	0.07111	0
NCGC00261025-01	0.04148	0
NCGC00260789-01	0.06248	0
NCGC00260866-01	0.08257	0
NCGC00261189-01	0.06887	0
NCGC00261270-01	0.07106	0
NCGC00261611-01	0.07248	0
NCGC00261160-01	0.07987	0
NCGC00261085-01	0.03592	0
NCGC00261817-01	0.06596	0
NCGC00261866-01	0.06739	0
NCGC00260852-01	0.06501	0
NCGC00261290-01	0.07461	0
NCGC00261304-01	0.0738	0
NCGC00261704-01	0.07671	0
NCGC00260850-01	0.06778	0
NCGC00260972-01	0.07023	0
NCGC00261364-01	0.03734	0
NCGC00261392-01	0.06609	0
NCGC00261638-01	0.07441	0
NCGC00261820-01	0.07071	0
NCGC00261808-01	0.06613	0
NCGC00260790-01	0.06664	0
NCGC00260940-01	0.07164	0
NCGC00261081-01	0.06802	0
NCGC00261506-01	0.07321	0
NCGC00261133-01	0.06315	0
NCGC00261399-01	0.07358	0
NCGC00260696-01	0.10601	0
NCGC00261903-01	0.06987	0
NCGC00261178-01	0.0697	0
NCGC00261568-01	0.07022	0
NCGC00260830-01	0.07031	0
NCGC00261113-01	0.06134	0
NCGC00261327-01	0.06306	0
NCGC00261602-01	0.06392	0
NCGC00260858-01	0.08502	0
NCGC00261071-01	0.07916	0
NCGC00261076-01	0.06038	0
NCGC00261192-01	0.07324	0
NCGC00261495-01	0.06196	0
NCGC00261577-01	0.07787	0
NCGC00261510-01	0.07094	0
