Sample ID	Score	Activity
NCGC00261900-01	-0.42452	0
NCGC00260869-01	0.60525	1
NCGC00261776-01	0.00103	1
NCGC00261380-01	0.3794	1
NCGC00261842-01	-0.98858	0
NCGC00261662-01	1.13364	1
NCGC00261190-01	-0.23348	0
NCGC00260731-01	-0.46882	0
NCGC00261926-01	-0.1569	0
NCGC00261579-01	-0.04637	0
NCGC00260921-01	0.65404	1
NCGC00261119-01	0.36615	1
NCGC00260957-01	0.42367	1
NCGC00261812-01	2.50496	1
NCGC00260831-01	0.49875	1
NCGC00261544-01	-0.47217	0
NCGC00261619-01	0.86073	1
NCGC00261633-01	-1.34854	0
NCGC00261395-01	0.27025	1
NCGC00261717-01	-0.15236	0
NCGC00261947-01	-0.46483	0
NCGC00261424-01	-0.02263	0
NCGC00261861-01	-0.43458	0
NCGC00261924-01	-1.16956	0
NCGC00261052-01	0.32604	1
NCGC00261683-01	2.24153	1
NCGC00261026-01	-0.68384	0
NCGC00261057-01	-0.54259	0
NCGC00261738-01	0.65004	1
NCGC00261348-01	-0.67004	0
NCGC00261503-01	-0.10644	0
NCGC00260693-01	-1.05278	0
NCGC00260703-01	-0.89539	0
NCGC00260716-01	-1.11661	0
NCGC00260782-01	-0.89716	0
NCGC00260802-01	-1.03396	0
NCGC00260823-01	-0.76153	0
NCGC00261313-01	-1.62513	0
NCGC00260757-01	-0.73337	0
NCGC00260826-01	-0.99015	0
NCGC00261005-01	-0.18893	0
NCGC00260980-01	-0.04974	0
NCGC00261816-01	-0.6138	0
NCGC00260698-01	-0.51007	0
NCGC00260889-01	-0.15306	0
NCGC00260811-01	0.514	1
NCGC00261165-01	-0.42821	0
NCGC00261060-01	-1.46044	0
NCGC00261541-01	-0.49696	0
NCGC00261649-01	-1.15402	0
NCGC00261110-01	-0.2081	0
NCGC00261130-01	0.15935	1
NCGC00260846-01	0.42911	1
NCGC00261030-01	0.37125	1
NCGC00261162-01	0.88271	1
NCGC00261058-01	-0.14641	0
NCGC00261404-01	0.29668	1
NCGC00261423-01	0.58718	1
NCGC00261856-01	0.28787	1
NCGC00261342-01	-0.1583	0
NCGC00261935-01	-0.45655	0
NCGC00261069-01	0.18961	1
NCGC00261101-01	-0.26198	0
NCGC00261183-01	-0.28425	0
NCGC00261716-01	-0.79548	0
NCGC00260742-01	-0.89593	0
NCGC00261529-01	-0.2581	0
NCGC00261170-01	0.58916	1
NCGC00261565-01	-0.36284	0
NCGC00260990-01	1.38365	1
NCGC00261340-01	1.66822	1
NCGC00261079-01	-1.20554	0
NCGC00261389-01	0.47702	1
NCGC00261744-01	-0.4688	0
NCGC00261420-01	0.05879	1
NCGC00261215-01	-0.51906	0
NCGC00261826-01	0.3994	1
NCGC00260706-01	-0.26429	0
NCGC00261123-01	0.71602	1
NCGC00261367-01	-0.02587	0
NCGC00261507-01	0.19959	1
NCGC00261169-01	0.42112	1
NCGC00261730-01	0.31188	1
NCGC00261624-01	0.22672	1
NCGC00261641-01	0.13574	1
NCGC00261853-01	0.05841	1
NCGC00260911-01	0.02103	1
NCGC00260798-01	-1.07471	0
NCGC00261384-01	-0.39141	0
NCGC00260785-01	0.59644	1
NCGC00261597-01	-0.15701	0
NCGC00261025-01	-0.9535	0
NCGC00260789-01	0.7484	1
NCGC00260866-01	1.18822	1
NCGC00261189-01	0.11957	1
NCGC00261270-01	0.73224	1
NCGC00261611-01	-0.09336	0
NCGC00261160-01	-0.61264	0
NCGC00261085-01	-0.15111	0
NCGC00261817-01	0.38696	1
NCGC00261866-01	0.28536	1
NCGC00260852-01	0.87687	1
NCGC00261290-01	0.61676	1
NCGC00261304-01	0.72234	1
NCGC00261704-01	1.29029	1
NCGC00260850-01	0.28312	1
NCGC00260972-01	0.60015	1
NCGC00261364-01	0.12699	1
NCGC00261392-01	0.26088	1
NCGC00261638-01	0.3291	1
NCGC00261820-01	-0.0534	0
NCGC00261808-01	0.46847	1
NCGC00260790-01	0.43898	1
NCGC00260940-01	1.29985	1
NCGC00261081-01	-0.06642	0
NCGC00261506-01	0.62831	1
NCGC00261133-01	1.17739	1
NCGC00261399-01	0.67635	1
NCGC00260696-01	-1.24613	0
NCGC00261903-01	0.59764	1
NCGC00261178-01	0.55144	1
NCGC00261568-01	0.78665	1
NCGC00260830-01	-0.39023	0
NCGC00261113-01	-0.52506	0
NCGC00261327-01	-0.57627	0
NCGC00261602-01	-0.08126	0
NCGC00260858-01	0.99444	1
NCGC00261071-01	1.33154	1
NCGC00261076-01	-0.81438	0
NCGC00261192-01	-0.89445	0
NCGC00261495-01	0.32099	1
NCGC00261577-01	0.27739	1
NCGC00261510-01	0.49515	1
NCGC00261679-01	0.72672	1
NCGC00261941-01	1.57826	1
NCGC00261343-01	0.00434	1
NCGC00261607-01	0.55312	1
NCGC00261782-01	0.3047	1
NCGC00261914-01	0.03482	1
NCGC00261475-01	0.95066	1
NCGC00261764-01	0.15908	1
NCGC00261802-01	1.40723	1
NCGC00261813-01	0.56947	1
NCGC00260795-01	-0.64354	0
NCGC00261352-01	1.05392	1
NCGC00261009-01	1.16822	1
NCGC00261944-01	0.43162	1
NCGC00261166-01	1.58359	1
NCGC00261332-01	0.82355	1
NCGC00261333-01	-0.0674	0
NCGC00261260-01	0.3821	1
NCGC00261915-01	0.51461	1
NCGC00261238-01	-0.13983	0
NCGC00261682-01	0.10317	1
NCGC00261049-01	0.29489	1
NCGC00260910-01	0.53172	1
NCGC00261272-01	0.72015	1
NCGC00260708-01	-1.263	0
NCGC00261390-01	-0.75467	0
NCGC00260948-01	-0.9565	0
NCGC00261840-01	-0.8625	0
NCGC00260881-01	-0.65616	0
NCGC00261153-01	0.00106	1
NCGC00261406-01	-0.89021	0
NCGC00261053-01	-0.63936	0
NCGC00261129-01	-0.0392	0
NCGC00261381-01	-0.55286	0
NCGC00261426-01	0.59992	1
NCGC00260979-01	1.50531	1
NCGC00260993-01	1.33379	1
NCGC00261108-01	1.50067	1
NCGC00261441-01	0.89051	1
NCGC00261877-01	0.75952	1
NCGC00260815-01	0.39901	1
NCGC00261542-01	-0.58605	0
NCGC00261958-01	-0.03838	0
NCGC00261787-01	0.23817	1
NCGC00261065-01	0.99394	1
NCGC00261804-01	-0.12011	0
NCGC00260875-01	0.59917	1
NCGC00261451-01	1.12274	1
NCGC00261739-01	0.11739	1
NCGC00261948-01	0.21432	1
NCGC00261382-01	-0.17024	0
NCGC00261663-01	-1.03201	0
NCGC00260892-01	-0.70904	0
NCGC00261297-01	0.11941	1
NCGC00261321-01	-0.05895	0
NCGC00261446-01	0.45192	1
NCGC00261474-01	-0.08851	0
NCGC00260834-01	0.55493	1
NCGC00260840-01	0.66803	1
NCGC00260947-01	0.73127	1
NCGC00261080-01	0.8861	1
NCGC00261563-01	0.67179	1
NCGC00261873-01	0.39095	1
NCGC00260803-01	1.29334	1
NCGC00260833-01	1.15566	1
NCGC00261008-01	0.50351	1
NCGC00261155-01	0.92949	1
NCGC00261643-01	0.99178	1
NCGC00261037-01	-0.75238	0
NCGC00261126-01	-0.45684	0
NCGC00260871-01	-0.88388	0
NCGC00260713-01	-0.48081	0
NCGC00261487-01	0.3353	1
NCGC00261545-01	0.15431	1
NCGC00261480-01	0.0121	1
NCGC00261838-01	0.38027	1
NCGC00261627-01	-1.24855	0
NCGC00261639-01	-0.87338	0
NCGC00261177-01	0.18882	1
NCGC00260692-01	0.17861	1
NCGC00260775-01	0.58323	1
NCGC00260876-01	0.0533	1
NCGC00261598-01	-1.36653	0
NCGC00260707-01	-0.20292	0
NCGC00261554-01	0.69482	1
NCGC00261713-01	0.84193	1
NCGC00261737-01	0.23034	1
NCGC00261882-01	0.54249	1
NCGC00261933-01	0.1774	1
NCGC00261201-01	-0.01212	0
NCGC00261398-01	0.44774	1
NCGC00261601-01	-0.1133	0
NCGC00261003-01	-0.20468	0
NCGC00261019-01	1.0887	1
NCGC00261519-01	-0.31458	0
NCGC00261732-01	-0.21716	0
NCGC00261718-01	-1.23428	0
NCGC00260743-01	-0.50996	0
NCGC00260751-01	-1.29419	0
