Sample ID	Score	Activity
NCGC00261900-01	0.160910914	0
NCGC00260869-01	0.114877123	0
NCGC00261776-01	0.112768294	0
NCGC00261380-01	0.046025735	0
NCGC00261842-01	0.046718998	0
NCGC00261662-01	0.553765130	1
NCGC00260731-01	0.086539645	0
NCGC00261926-01	0.051132653	0
NCGC00261579-01	0.389702052	0
NCGC00261119-01	0.172373039	0
NCGC00260957-01	0.155661168	0
NCGC00261812-01	0.164280757	0
NCGC00260831-01	0.441478162	0
NCGC00261544-01	0.067081909	0
NCGC00261619-01	0.363162795	0
NCGC00261633-01	0.026144945	0
NCGC00261395-01	0.164898095	0
NCGC00261717-01	0.102943461	0
NCGC00261947-01	0.278182122	0
NCGC00261424-01	0.177831496	0
NCGC00261861-01	0.057860522	0
NCGC00261924-01	0.047896645	0
NCGC00261683-01	0.258911572	0
NCGC00261026-01	0.507209200	1
NCGC00261057-01	0.032241187	0
NCGC00261738-01	0.040935877	0
NCGC00261348-01	0.027183550	0
NCGC00261503-01	0.096494788	0
NCGC00260693-01	0.044503014	0
NCGC00260703-01	0.034710794	0
NCGC00260716-01	0.013488291	0
NCGC00260782-01	0.008581229	0
NCGC00260802-01	0.006868740	0
NCGC00260823-01	0.022782283	0
NCGC00261313-01	0.007850633	0
NCGC00260757-01	0.007033999	0
NCGC00260826-01	0.010252119	0
NCGC00261005-01	0.020945961	0
NCGC00260980-01	0.048075949	0
NCGC00261816-01	0.035578822	0
NCGC00260698-01	0.029116737	0
NCGC00260889-01	0.034419278	0
NCGC00260811-01	0.032752317	0
NCGC00261165-01	0.044366027	0
NCGC00261060-01	0.060882414	0
NCGC00261541-01	0.004504571	0
NCGC00261649-01	0.033648263	0
NCGC00261110-01	0.012920944	0
NCGC00261130-01	0.061499913	0
NCGC00261162-01	0.082210615	0
NCGC00261058-01	0.065678783	0
NCGC00261404-01	0.013396785	0
NCGC00261423-01	0.020942543	0
NCGC00261856-01	0.054391958	0
NCGC00261342-01	0.054538975	0
NCGC00261935-01	0.078595633	0
NCGC00261101-01	0.037106960	0
NCGC00261183-01	0.049033587	0
NCGC00261716-01	0.040150037	0
NCGC00260742-01	0.023529948	0
NCGC00261529-01	0.092168432	0
NCGC00261170-01	0.054031148	0
NCGC00261565-01	0.032480895	0
NCGC00260990-01	0.155420932	0
NCGC00261340-01	0.233633080	0
NCGC00261079-01	0.025837617	0
NCGC00261389-01	0.092672428	0
NCGC00261744-01	0.037134958	0
NCGC00261420-01	0.028757150	0
NCGC00261215-01	0.040550749	0
NCGC00261826-01	0.061402897	0
NCGC00260706-01	0.048997406	0
NCGC00261123-01	0.179971685	0
NCGC00261367-01	0.039539133	0
NCGC00261507-01	0.047436678	0
NCGC00261169-01	0.026775820	0
NCGC00261730-01	0.132281399	0
NCGC00261624-01	0.040116082	0
NCGC00261641-01	0.014631869	0
NCGC00261853-01	0.164598142	0
NCGC00260911-01	0.047925869	0
NCGC00260798-01	0.119806652	0
NCGC00261384-01	0.024782431	0
NCGC00260785-01	0.179743650	0
NCGC00261597-01	0.136619694	0
NCGC00261025-01	0.016415403	0
NCGC00260789-01	0.049210971	0
NCGC00260866-01	0.022777684	0
NCGC00261189-01	0.046330001	0
NCGC00261270-01	0.220537713	0
NCGC00261611-01	0.120950031	0
NCGC00261160-01	0.683260715	1
NCGC00261085-01	0.004578785	0
NCGC00261817-01	0.082175737	0
NCGC00261866-01	0.083052060	0
NCGC00260852-01	0.057053593	0
NCGC00261290-01	0.218010596	0
NCGC00261304-01	0.247704510	0
NCGC00261704-01	0.142011735	0
NCGC00260850-01	0.106788675	0
NCGC00260972-01	0.082958913	0
NCGC00261364-01	0.010271109	0
NCGC00261392-01	0.005100003	0
NCGC00261820-01	0.028874479	0
NCGC00261808-01	0.058452024	0
NCGC00260790-01	0.020354354	0
NCGC00260940-01	0.301013380	0
NCGC00261081-01	0.020321417	0
NCGC00261506-01	0.120102866	0
NCGC00261133-01	0.116861128	0
NCGC00261399-01	0.098080643	0
NCGC00260696-01	0.032752119	0
NCGC00261903-01	0.091267650	0
NCGC00261178-01	0.188018550	0
NCGC00261568-01	0.144239511	0
NCGC00260830-01	0.032661337	0
NCGC00261113-01	0.017945064	0
NCGC00261327-01	0.010133997	0
NCGC00261602-01	0.042396492	0
NCGC00260858-01	0.276449749	0
NCGC00261071-01	0.181399521	0
NCGC00261076-01	0.030523339	0
NCGC00261192-01	0.037328838	0
NCGC00261577-01	0.286553204	0
NCGC00261510-01	0.054196866	0
NCGC00261941-01	0.252185079	0
NCGC00261343-01	0.051845932	0
NCGC00261607-01	0.112793689	0
NCGC00261782-01	0.116619820	0
NCGC00261914-01	0.040025244	0
NCGC00261475-01	0.122089347	0
NCGC00261764-01	0.394606983	0
NCGC00261813-01	0.287637402	0
NCGC00260795-01	0.074266673	0
NCGC00261352-01	0.454160715	0
NCGC00261009-01	0.168985527	0
NCGC00261944-01	0.096685899	0
NCGC00261166-01	0.556623209	1
NCGC00261332-01	0.339170657	0
NCGC00261333-01	0.076594402	0
NCGC00261260-01	0.420548863	0
NCGC00261915-01	0.041113350	0
NCGC00261238-01	0.024778795	0
NCGC00261682-01	0.160191399	0
NCGC00261049-01	0.048223457	0
NCGC00260910-01	0.035342398	0
NCGC00261272-01	0.367439257	0
NCGC00260708-01	0.010188456	0
NCGC00261390-01	0.001904255	0
NCGC00260948-01	0.024864905	0
NCGC00261840-01	0.032395266	0
NCGC00260881-01	0.023120383	0
NCGC00261153-01	0.037147921	0
NCGC00261406-01	0.004064336	0
NCGC00261053-01	0.020246490	0
NCGC00261129-01	0.012232624	0
NCGC00261381-01	0.349802238	0
NCGC00261426-01	0.068911213	0
NCGC00260979-01	0.701351008	1
NCGC00260993-01	0.080049177	0
NCGC00261108-01	0.108525307	0
NCGC00261441-01	0.057946801	0
NCGC00261877-01	0.026432653	0
NCGC00260815-01	0.117476111	0
NCGC00261542-01	0.054593573	0
NCGC00261958-01	0.047895362	0
NCGC00261787-01	0.086067426	0
NCGC00261065-01	0.206458802	0
NCGC00261804-01	0.340636719	0
NCGC00260875-01	0.295554551	0
NCGC00261739-01	0.208971586	0
NCGC00261948-01	0.222537254	0
NCGC00261382-01	0.100716033	0
NCGC00261663-01	0.027649059	0
NCGC00260892-01	0.028418696	0
NCGC00261297-01	0.030433693	0
NCGC00261321-01	0.052037964	0
NCGC00261446-01	0.099817319	0
NCGC00261474-01	0.055061179	0
NCGC00260834-01	0.125662226	0
NCGC00260840-01	0.059929955	0
NCGC00260947-01	0.191465341	0
NCGC00261080-01	0.106049215	0
NCGC00261563-01	0.066230676	0
NCGC00261873-01	0.079794985	0
NCGC00260803-01	0.151442276	0
NCGC00260833-01	0.250718571	0
NCGC00261008-01	0.215633923	0
NCGC00261155-01	0.248297840	0
NCGC00261643-01	0.090393352	0
NCGC00261037-01	0.028799251	0
NCGC00260871-01	0.060770062	0
NCGC00260713-01	0.134225196	0
NCGC00261487-01	0.110308018	0
NCGC00261545-01	0.032333295	0
NCGC00261480-01	0.085197340	0
NCGC00261838-01	0.039017284	0
NCGC00261627-01	0.041530320	0
NCGC00261639-01	0.002187512	0
NCGC00261177-01	0.031547282	0
NCGC00260692-01	0.025826551	0
NCGC00260775-01	0.044969035	0
NCGC00260876-01	0.028014368	0
NCGC00261598-01	0.004427268	0
NCGC00260707-01	0.046999450	0
NCGC00261713-01	0.121336801	0
NCGC00261737-01	0.759129118	1
NCGC00261882-01	0.183177481	0
NCGC00261933-01	0.148054496	0
NCGC00261201-01	0.050395477	0
NCGC00261398-01	0.058731047	0
NCGC00261601-01	0.189886208	0
NCGC00261003-01	0.064147713	0
NCGC00261019-01	0.046547207	0
NCGC00261519-01	0.002195923	0
NCGC00261732-01	0.002483264	0
NCGC00261718-01	0.020766228	0
NCGC00260743-01	0.023722496	0
NCGC00260751-01	0.033613748	0
NCGC00260867-01	0.005129992	0
NCGC00260982-01	0.085892614	0
NCGC00261176-01	0.018823514	0
