Sample ID	Score	Activity
NCGC00357267-01	-0.161	0
NCGC00357258-01	-0.1558	0
NCGC00357050-01	-0.1457	0
NCGC00357027-01	-0.1327	0
NCGC00356963-01	-0.1321	0
NCGC00357179-01	-0.1318	0
NCGC00357078-01	-0.1185	0
NCGC00261246-01	-0.1141	0
NCGC00356979-01	-0.1058	0
NCGC00356969-01	-0.1043	0
NCGC00357127-01	-0.1035	0
NCGC00356971-01	-0.1032	0
NCGC00357270-01	-0.0962	0
NCGC00356966-01	-0.0884	0
NCGC00357159-01	-0.088	0
NCGC00357069-01	-0.0844	0
NCGC00260691-01	-0.0803	0
NCGC00261390-01	-0.0785	0
NCGC00357048-01	-0.0785	0
NCGC00357071-01	-0.0749	0
NCGC00357088-01	-0.0741	0
NCGC00357239-01	-0.069	0
NCGC00357053-01	-0.064	0
NCGC00357101-01	-0.0637	0
NCGC00357232-01	-0.0593	0
NCGC00357265-01	-0.0582	0
NCGC00356975-01	-0.0551	0
NCGC00357063-01	-0.0541	0
NCGC00357173-01	-0.052	0
NCGC00356996-01	-0.0515	0
NCGC00357100-01	-0.0515	0
NCGC00357076-01	-0.0511	0
NCGC00357157-01	-0.048	0
NCGC00357131-01	-0.0471	0
NCGC00357254-01	-0.0435	0
NCGC00357274-01	-0.0434	0
NCGC00357222-01	-0.0415	0
NCGC00357184-01	-0.0407	0
NCGC00356954-01	-0.0404	0
NCGC00357166-01	-0.04	0
NCGC00357107-01	-0.0332	0
NCGC00357162-01	-0.0332	0
NCGC00357115-01	-0.0274	0
NCGC00357124-01	-0.0261	0
NCGC00357139-01	-0.0228	0
NCGC00357060-01	-0.021	0
NCGC00356981-01	-0.0202	0
NCGC00357084-01	-0.0184	0
NCGC00357039-01	-0.0169	0
NCGC00357186-01	-0.0166	0
NCGC00357260-01	-0.0165	0
NCGC00357092-01	-0.0113	0
NCGC00357049-01	-0.0103	0
NCGC00356941-01	-0.0076	0
NCGC00357171-01	-0.0065	0
NCGC00357272-01	-0.0061	0
NCGC00356944-01	-0.0049	0
NCGC00357182-01	-0.0016	0
NCGC00357061-01	-0.0009	0
NCGC00261025-01	-0.0007	0
NCGC00357037-01	0	0
NCGC00357035-01	0.0011	0
NCGC00357020-01	0.0049	0
NCGC00357216-01	0.005	0
NCGC00357068-01	0.0064	0
NCGC00357163-01	0.0076	0
NCGC00260757-01	0.0162	0
NCGC00261507-01	0.017	0
